,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1981,1,1.0,,,5.0,,1.0,,,,,,,1.0,,,,,,,,,,,,
1982,5,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1983,7,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1984,5,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,
1985,3,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,
1986,7,,,,,,,,,,,,,,,,,,,,,,,,,
1987,10,1.0,,,,,2.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,
1988,13,,,,2.0,,1.0,,,1.0,,,,,,1.0,,2.0,,,1.0,,,,,
1989,15,2.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,
1990,38,1.0,,2.0,,1.0,,,,2.0,,,,,,1.0,,1.0,,,1.0,,,,,
1991,20,,,1.0,2.0,,,,,,1.0,,,,,,,1.0,,,2.0,,,2.0,,
1992,29,,,,,,,,,4.0,,,,,,,1.0,1.0,,,,,,,,
1993,24,1.0,,2.0,1.0,,2.0,,,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,,,,,,,
1994,10,,1.0,,2.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,
1995,21,,,1.0,,,1.0,1.0,1.0,,,,,,2.0,,,2.0,1.0,,,,,,,
1996,21,,,,,,2.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,
1997,17,1.0,2.0,,1.0,,4.0,1.0,,,,,,,,,,3.0,,,,,,,,
1998,29,,,,1.0,,2.0,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,
1999,34,1.0,2.0,2.0,3.0,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,
2000,29,1.0,1.0,,5.0,,1.0,,,2.0,,,,,,3.0,,3.0,,,,,,,,
2001,33,4.0,2.0,2.0,2.0,,1.0,,,3.0,,,,,,,,1.0,,,1.0,,,,,
2002,36,,2.0,,4.0,1.0,1.0,1.0,2.0,3.0,,,,,1.0,,,1.0,,,,,,,,
2003,35,1.0,1.0,,7.0,,4.0,1.0,,2.0,,,1.0,,,,,1.0,,,,,,,,
