,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,8,4.0,5,9,3.0,3,5,,1.0,,,,1.0,1.0,3.0,,2.0,,,1,,1.0,,,,
1981,11,5.0,7,5,,1,1,3.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1,,1.0,1.0,,,5.0
1982,21,,12,6,2.0,2,2,3.0,1.0,2.0,,1.0,,,,,,,,4,,,,,,
1983,11,1.0,11,5,2.0,1,2,,2.0,,1.0,,1.0,,1.0,,,,,2,1.0,1.0,,,,2.0
1984,20,10.0,18,7,3.0,5,8,3.0,1.0,5.0,,,2.0,,2.0,,,1.0,,2,,,,1.0,,6.0
1985,35,4.0,6,8,1.0,5,6,2.0,1.0,2.0,,1.0,2.0,,3.0,,,2.0,2.0,4,1.0,4.0,,,,5.0
1986,21,5.0,19,3,1.0,3,3,1.0,,6.0,,,1.0,1.0,1.0,1.0,,1.0,,3,1.0,,,,,15.0
1987,22,7.0,17,1,3.0,3,5,,,4.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,2,,,1.0,,,6.0
1988,18,7.0,17,5,1.0,1,5,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,4,,1.0,,,,3.0
1989,18,7.0,15,4,3.0,5,3,,2.0,3.0,,,2.0,,,2.0,2.0,1.0,,4,1.0,2.0,3.0,,,4.0
1990,22,6.0,16,6,1.0,2,3,2.0,1.0,,1.0,,3.0,2.0,1.0,,3.0,,,6,1.0,2.0,1.0,,,8.0
1991,23,6.0,12,1,4.0,11,3,5.0,3.0,8.0,,,2.0,,2.0,,2.0,4.0,1.0,3,,4.0,1.0,1.0,,5.0
1992,15,7.0,14,8,2.0,6,6,,3.0,7.0,2.0,2.0,3.0,11.0,2.0,1.0,1.0,,2.0,9,,3.0,,,1.0,2.0
1993,22,7.0,11,12,2.0,5,5,2.0,3.0,1.0,2.0,,5.0,17.0,1.0,3.0,,,,5,,3.0,,1.0,,
1994,20,21.0,9,17,7.0,15,11,1.0,4.0,4.0,3.0,2.0,7.0,21.0,4.0,1.0,,1.0,1.0,12,,2.0,2.0,,2.0,
1995,27,7.0,15,36,7.0,19,8,3.0,2.0,4.0,3.0,7.0,13.0,19.0,2.0,1.0,3.0,1.0,1.0,8,1.0,8.0,,,1.0,
1996,24,24.0,5,26,7.0,21,15,5.0,6.0,2.0,6.0,12.0,12.0,21.0,5.0,3.0,2.0,1.0,2.0,7,,6.0,,,2.0,1.0
1997,33,31.0,6,36,1.0,31,19,3.0,8.0,5.0,4.0,14.0,14.0,48.0,6.0,2.0,3.0,2.0,8.0,22,,10.0,,,2.0,
1998,45,27.0,1,36,2.0,35,14,6.0,8.0,4.0,6.0,18.0,14.0,43.0,2.0,4.0,7.0,,1.0,19,1.0,6.0,,,5.0,
1999,22,26.0,9,40,4.0,22,24,7.0,15.0,2.0,4.0,16.0,14.0,33.0,7.0,5.0,4.0,,2.0,22,1.0,8.0,,,2.0,
2000,56,22.0,18,29,1.0,41,16,9.0,12.0,4.0,5.0,19.0,25.0,45.0,3.0,9.0,7.0,5.0,1.0,32,1.0,4.0,,,2.0,1.0
2001,74,37.0,7,36,16.0,43,25,7.0,9.0,10.0,6.0,18.0,27.0,30.0,6.0,6.0,20.0,,3.0,31,,3.0,4.0,,,
2002,51,47.0,11,87,5.0,112,21,11.0,9.0,17.0,6.0,25.0,39.0,47.0,2.0,6.0,21.0,3.0,3.0,25,,5.0,3.0,1.0,3.0,
