,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,214,48,136,267,64,28,241,37,16,6,167,6,7,231,65,94,329,29,8,39,13,3,1,14,39,4
1981,284,36,169,313,64,43,278,33,17,17,231,4,8,222,74,87,301,34,15,39,7,12,2,28,38,4
1982,269,33,173,295,64,66,251,20,12,15,204,3,14,201,69,81,300,32,11,39,7,6,2,27,46,12
1983,291,32,171,302,68,45,254,35,17,19,198,7,3,227,75,57,354,27,9,56,16,5,1,18,43,8
1984,303,43,174,345,65,61,270,31,21,7,203,3,9,222,80,99,316,33,12,60,11,9,2,13,36,7
1985,297,42,177,361,74,61,274,29,20,16,227,7,13,230,72,95,277,34,10,57,18,12,3,22,45,8
1986,356,45,200,328,76,71,294,22,15,17,195,5,17,249,74,85,308,41,18,97,14,7,2,18,44,11
1987,463,40,225,386,99,68,391,35,34,12,225,5,19,299,90,134,319,73,12,78,17,9,4,33,31,14
1988,575,54,257,372,105,80,457,60,25,25,225,8,23,316,99,152,309,95,15,100,25,9,2,25,32,21
1989,700,72,262,402,98,99,514,70,28,22,209,12,22,322,88,199,362,96,10,130,17,10,3,24,35,20
1990,1577,98,307,433,134,113,653,68,42,121,247,13,21,359,101,214,388,122,12,143,35,12,13,58,42,22
1991,1163,78,311,431,138,113,621,85,42,74,231,13,21,291,75,195,341,132,13,125,26,14,10,28,35,17
1992,1313,95,300,451,125,142,598,70,41,69,210,11,29,313,98,204,323,121,12,131,36,16,8,40,41,22
1993,1322,147,298,550,129,138,537,67,39,72,311,36,26,388,126,174,367,127,9,146,33,19,5,30,46,18
1994,1092,200,323,571,205,156,594,66,54,56,299,67,56,434,104,183,359,127,15,139,25,15,9,48,41,20
1995,1183,169,288,583,175,145,535,58,50,68,325,44,45,424,116,158,301,116,16,175,35,27,11,37,40,24
1996,1303,180,306,675,179,183,561,46,49,66,383,36,40,520,146,150,466,94,22,152,31,17,14,59,32,18
1997,1418,181,360,658,200,208,608,54,72,69,341,54,54,487,161,185,359,131,19,181,33,25,11,32,39,21
1998,1460,204,337,708,254,224,638,55,62,54,407,71,56,549,150,184,340,181,20,211,30,20,6,51,54,15
1999,1468,190,394,785,258,243,720,53,45,61,431,50,77,588,159,183,366,157,21,187,35,33,10,49,34,17
2000,1722,264,399,825,250,321,817,65,63,65,457,68,71,634,177,219,417,136,14,251,40,27,6,54,58,25
2001,1809,289,447,943,333,331,803,60,80,78,506,70,104,720,190,209,398,186,22,274,51,38,20,46,57,21
2002,1876,330,588,1093,379,591,786,74,83,77,541,73,113,802,203,204,477,191,25,261,67,47,17,57,54,25
2003,1950,351,650,1211,396,582,929,66,83,108,554,86,122,772,262,241,435,200,23,277,61,49,12,59,52,27
2004,2152,372,690,1273,477,642,1033,86,98,99,725,100,158,942,252,230,528,210,27,285,48,51,31,65,58,31
2005,2199,450,736,1575,480,725,1028,75,118,90,693,149,177,908,252,247,448,229,48,288,57,55,17,79,71,35
2006,2565,482,875,1908,693,850,1200,105,128,119,805,187,199,1106,325,272,568,253,46,311,64,67,32,83,64,34
2007,2612,592,932,1959,684,1019,1242,131,134,100,874,183,229,1039,356,303,568,264,65,345,65,79,31,69,84,38
2008,3108,623,1009,2046,725,1146,1410,172,170,166,974,214,269,1137,407,364,588,279,72,368,96,102,45,84,79,46
2009,3508,743,1138,2240,863,1193,1411,177,229,151,1033,208,275,1200,425,315,618,293,72,367,110,110,33,107,82,39
2010,3455,875,1224,2493,905,1219,1563,187,238,165,999,245,300,1301,467,331,644,317,101,399,76,120,39,79,82,43
2011,3397,1076,1254,2856,1003,1362,1611,227,247,196,1116,256,349,1409,461,318,707,304,141,437,93,160,43,117,88,45
2012,3776,1399,1264,3010,1077,1374,1664,257,369,241,1115,324,448,1519,549,356,716,281,133,413,86,150,43,88,99,54
2013,4011,1680,1637,3725,1250,1615,1723,362,453,219,1251,585,618,1491,682,405,724,329,148,472,99,196,43,122,109,52
2014,4200,2063,2063,4611,1524,1646,2040,413,556,308,1643,677,667,1629,776,390,868,394,202,429,120,265,48,125,108,67
2015,4596,2299,1896,4886,1641,1771,2018,467,711,296,1773,628,725,1668,804,463,881,338,194,475,132,276,62,134,118,55
2016,4679,2451,1845,5004,1683,1698,2075,505,712,310,1821,594,638,1725,871,473,796,356,209,509,132,232,59,146,115,65
2017,4913,2552,1835,4921,1645,1681,2028,515,729,344,1792,605,590,1816,808,457,815,378,246,421,125,269,45,135,109,52
2018,4950,2533,1874,4975,1742,1630,1990,524,697,367,1727,642,639,1857,759,464,797,377,233,436,132,262,57,114,97,49
2019,5419,2717,1992,5435,1843,1708,2160,590,805,463,1846,696,633,2005,863,467,832,416,262,519,111,295,67,127,107,59
2020,5819,2969,2290,5108,2215,1590,2209,713,926,452,2014,701,712,2013,963,488,820,409,297,494,123,310,81,133,99,64
2021,6200,3228,2421,4940,2345,1729,2290,820,911,472,1831,794,822,1825,941,559,775,432,289,478,155,330,90,128,120,60
2022,5693,2914,2277,4908,2274,1734,2135,797,910,443,1671,623,745,1748,838,484,600,421,319,536,123,308,86,116,104,59
2023,5689,3084,2296,4736,2369,1877,2096,777,911,437,1754,686,785,1956,878,530,669,400,318,537,118,287,78,118,94,59
2024,5811,2880,2295,5035,2405,1581,2243,817,730,461,1738,626,694,2070,875,540,629,394,306,508,126,264,67,103,125,62
