,Documents
1980,21619
1981,22722
1982,23253
1983,23911
1984,25155
1985,27097
1986,28506
1987,35803
1988,39679
1989,43158
1990,48648
1991,49200
1992,49787
1993,52786
1994,56477
1995,58509
1996,65564
1997,71490
1998,77272
1999,80055
2000,84729
2001,87328
2002,106600
2003,105651
2004,114056
2005,120590
2006,128885
2007,130422
2008,147137
2009,156502
2010,162646
2011,163042
2012,172190
2013,177829
2014,186095
2015,192055
2016,196131
2017,197163
2018,204973
2019,211347
2020,223699
2021,229870
2022,216563
2023,216016
2024,211601
