,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,948,92,92,191,72,47,275,32,36,27,76,15,10,219,89,126,102,73,3,41,29,13,27,16,8,7
1981,1019,70,106,218,95,42,307,34,30,29,88,12,21,246,85,142,152,82,9,32,28,10,14,13,10,9
1982,1081,61,110,245,100,61,327,48,36,43,86,11,18,231,97,126,106,80,9,44,24,23,12,21,10,6
1983,1155,79,109,211,114,62,331,42,48,47,93,12,20,272,88,112,115,84,10,37,31,12,17,12,11,6
1984,1225,93,136,223,110,57,364,57,46,40,72,13,27,245,126,143,106,98,6,41,30,14,19,19,12,1
1985,1367,93,129,236,109,55,399,67,70,49,84,14,31,215,119,141,77,89,12,45,42,16,32,17,12,6
1986,1390,100,125,234,124,62,410,77,53,57,87,21,41,267,122,146,93,113,8,62,37,23,29,25,12,7
1987,1731,119,137,246,144,77,438,78,46,54,109,18,43,234,119,151,125,132,7,64,36,11,26,17,22,2
1988,1938,122,141,269,136,99,561,93,63,68,94,26,50,304,141,168,133,138,8,58,64,23,27,26,15,12
1989,1930,131,151,320,125,104,508,69,45,79,116,23,45,248,125,177,146,156,11,79,51,24,41,32,13,8
1990,2308,166,144,294,157,135,595,115,79,153,98,34,57,329,156,196,120,154,11,52,42,30,44,36,26,9
1991,2319,181,179,402,205,142,661,106,84,107,122,46,50,287,161,203,146,154,8,59,47,26,45,47,27,16
1992,2202,188,186,428,239,189,686,132,91,118,160,45,76,365,174,216,179,152,13,80,45,29,58,33,31,19
1993,2370,218,217,484,243,161,768,107,92,151,148,52,78,400,213,194,154,179,16,63,65,42,44,44,28,17
1994,2537,266,236,575,296,214,751,148,122,127,158,76,78,441,247,216,186,167,8,76,58,45,52,27,37,17
1995,2393,253,277,507,294,213,853,113,124,155,153,54,86,477,223,203,186,166,13,96,63,45,48,45,32,27
1996,2473,293,312,612,327,248,879,139,145,144,182,79,110,544,241,205,203,176,20,86,68,52,41,49,36,20
1997,2490,355,307,680,368,256,932,158,145,171,207,129,128,629,300,216,243,217,27,98,65,43,49,49,38,45
1998,2684,410,349,663,397,255,969,187,149,161,209,119,188,571,347,237,253,204,27,96,66,68,42,33,35,28
1999,2613,473,346,713,403,295,978,185,163,182,261,159,165,530,354,263,279,211,18,116,65,71,46,58,45,29
2000,2793,524,388,755,453,339,1140,216,167,174,253,153,183,631,317,239,290,246,24,103,86,48,39,38,56,27
2001,2819,522,426,761,517,343,1063,220,217,180,257,181,229,603,383,255,322,195,30,121,63,72,54,40,48,38
2002,2792,667,397,1355,607,728,1157,271,219,209,301,258,257,666,396,259,306,214,25,103,67,73,53,55,42,36
2003,3033,696,448,1172,578,550,1367,299,212,209,291,265,285,624,408,259,312,228,37,155,79,98,72,40,37,47
2004,3449,857,510,1209,627,542,1366,329,264,295,309,259,269,625,412,270,302,268,40,152,95,86,54,37,34,47
2005,3578,910,508,1364,638,607,1408,331,269,259,308,315,304,633,422,316,358,241,44,150,69,119,58,60,46,45
2006,3995,1147,611,1501,766,680,1538,461,347,290,334,359,324,656,472,319,342,283,48,143,127,137,63,47,47,58
2007,4191,1269,733,1676,895,706,1705,511,365,325,369,431,356,681,510,363,359,298,59,140,89,152,66,60,51,61
2008,5011,1483,872,1640,982,787,1928,615,420,375,432,471,413,763,537,444,355,300,65,169,124,158,64,69,65,78
2009,5844,1737,945,1844,1149,800,2093,660,497,397,495,545,482,797,615,540,343,455,71,172,138,164,104,73,67,80
2010,5850,1944,938,2057,1167,1001,2124,861,539,502,576,611,432,962,573,499,373,348,70,185,144,161,73,75,66,100
2011,6814,3719,1239,2915,1632,1212,2477,1333,1085,678,718,1071,707,1093,764,556,424,399,144,220,202,298,128,108,102,132
2012,7695,4032,1383,3350,1808,1249,2533,1387,1129,753,749,1198,728,1127,789,587,410,444,200,230,199,340,106,136,112,132
2013,8573,4180,1284,3498,1917,1343,2702,1515,1082,752,785,1262,745,1187,832,712,434,522,186,214,204,326,97,152,106,105
2014,9344,4320,1314,3765,2052,1309,2844,1568,1159,880,887,1292,757,1253,883,704,451,537,234,244,209,400,108,114,107,156
2015,9876,4574,1458,3934,2067,1387,3000,1720,1180,872,894,1353,763,1363,946,756,471,574,240,230,216,375,127,122,114,156
2016,10002,4639,1522,4355,2334,1442,2921,1746,1238,925,951,1332,730,1477,966,762,409,593,226,233,246,373,120,144,111,127
2017,10327,4625,1478,4455,2209,1370,2898,1767,1445,994,939,1362,724,1351,909,904,419,556,259,227,242,364,170,119,126,144
2018,10710,4516,1345,4532,2312,1405,2855,1727,1310,1039,847,1340,715,1422,989,774,383,566,291,220,235,399,117,141,99,130
2019,11094,4290,1396,4606,2293,1453,2999,1807,1214,984,906,1197,693,1425,921,868,389,629,331,217,251,406,131,146,132,104
2020,11530,4142,1466,4723,2536,1496,3060,1649,960,914,866,1327,744,1420,1070,781,391,573,324,261,248,379,123,143,142,128
2021,12246,4052,1532,4600,2802,1642,3075,1830,1020,926,788,1227,808,1347,1081,920,387,573,286,275,260,353,143,128,117,97
2022,12208,3855,1476,4532,2659,1711,3061,1634,912,1050,776,1180,763,1384,889,907,338,616,337,285,241,375,108,129,141,160
2023,11992,3905,1615,4768,2854,1799,3037,1637,890,1101,866,1115,746,1557,855,921,377,602,370,308,277,389,151,135,151,150
2024,12294,3638,1538,4455,2640,1860,2921,1651,889,1045,799,992,659,1408,817,800,361,573,341,293,241,392,133,153,141,101
