,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,2.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1988,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1989,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1990,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0
1991,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1992,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1993,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1994,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
1995,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1996,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
1997,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0
1998,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1999,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2000,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
2002,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2003,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,
2004,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,
2005,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,
2006,,2.0,,,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,
2007,3.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,
2008,4.0,2.0,2.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,
2009,2.0,3.0,,2.0,,1.0,,2.0,,,,,,,,3.0,,,,,,,,,,
2010,5.0,,,,1.0,1.0,1.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,
2011,3.0,1.0,1.0,1.0,1.0,,3.0,2.0,,2.0,,,1.0,,,2.0,,,,,,,,,,
2012,12.0,2.0,,1.0,1.0,,4.0,2.0,,,,,,,1.0,3.0,,,,,,,,,,
2013,7.0,2.0,,1.0,1.0,,1.0,6.0,,,,,,,,2.0,,1.0,,,1.0,1.0,,,,
2014,15.0,2.0,,1.0,1.0,,1.0,3.0,,1.0,,,,,1.0,1.0,,,,,,,,,,
2015,25.0,1.0,1.0,4.0,1.0,,2.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,
2016,34.0,5.0,,,3.0,,3.0,4.0,,3.0,,,,,,1.0,1.0,1.0,,1.0,,3.0,,2.0,,
2017,26.0,6.0,1.0,,2.0,,3.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
2018,23.0,1.0,1.0,1.0,2.0,1.0,8.0,5.0,2.0,,2.0,,,,,1.0,,2.0,,,1.0,,,,,
2019,13.0,4.0,,,2.0,,,1.0,1.0,1.0,,,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,
2020,15.0,1.0,1.0,1.0,7.0,1.0,3.0,3.0,,1.0,,1.0,1.0,,,,,,1.0,2.0,,1.0,,,,
2021,29.0,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,2.0,1.0,,,,1.0,,
2022,24.0,1.0,,,3.0,,5.0,1.0,,1.0,,1.0,,,,,,2.0,,,,,1.0,3.0,,
2023,23.0,7.0,,1.0,2.0,,2.0,1.0,,3.0,,,1.0,,,,,3.0,,,,,,,,
2024,15.0,,1.0,1.0,3.0,1.0,1.0,3.0,,5.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,
