,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,378,180,160,175,105,47,249,36,108,17,127,18,42,193,49,38,191,17,11,88,10,9,1.0,13,23,6
1981,441,169,202,182,105,51,265,35,128,14,153,8,35,225,58,69,228,25,19,39,9,9,,11,28,4
1982,427,182,209,232,126,64,334,43,130,11,165,16,30,255,62,72,291,33,21,45,16,13,,18,29,5
1983,508,222,220,233,124,57,398,57,200,23,181,17,58,284,68,55,372,28,19,72,20,20,2.0,16,43,6
1984,642,239,272,294,141,70,372,56,229,28,267,19,76,343,93,94,457,31,24,90,18,11,,20,72,8
1985,864,268,320,365,155,89,478,49,230,23,274,20,71,401,96,122,515,36,30,105,36,24,3.0,23,81,11
1986,968,292,441,435,222,96,637,71,241,29,331,15,67,527,126,160,613,68,32,162,43,23,5.0,40,89,12
1987,1451,338,496,539,270,139,812,73,286,62,348,23,86,565,151,203,814,112,38,157,37,34,5.0,37,74,23
1988,1996,393,521,541,292,139,1022,114,328,83,434,47,106,679,172,242,868,127,42,199,71,35,9.0,28,87,20
1989,2051,382,621,672,353,179,1052,120,353,68,486,33,107,766,175,299,904,176,46,217,63,44,20.0,48,129,33
1990,3520,499,681,711,465,204,1277,140,435,171,462,47,139,900,251,326,1014,235,47,238,96,40,52.0,73,104,31
1991,3999,492,758,837,504,264,1433,193,531,181,565,56,95,982,293,392,989,263,76,260,106,45,52.0,90,101,41
1992,4466,614,958,1018,621,354,1519,215,632,194,647,63,153,1097,323,434,1152,278,55,290,141,53,25.0,84,98,40
1993,4447,727,1061,1214,643,399,1664,228,659,224,689,67,183,1303,381,518,1256,298,64,346,141,61,26.0,107,142,54
1994,4605,768,1139,1227,670,483,1830,227,682,173,816,76,203,1367,371,524,1329,332,67,396,129,76,27.0,106,119,49
1995,5285,868,1188,1423,765,500,1986,278,787,215,845,115,227,1480,418,505,1345,328,72,456,154,69,33.0,115,160,66
1996,6109,1027,1436,1719,916,657,2328,268,930,242,1084,164,280,1694,491,623,1732,454,74,533,169,100,41.0,146,217,67
1997,6486,1190,1528,1862,979,772,2311,346,1023,312,1148,152,349,1894,581,723,1786,450,88,635,191,117,56.0,144,178,74
1998,7135,1410,1586,2030,1142,947,2583,374,1064,283,1207,208,413,2157,599,714,1762,474,108,642,218,134,59.0,139,169,84
1999,7473,1432,1721,2410,1208,1056,2696,466,1190,378,1343,262,474,2153,669,804,1957,489,104,744,197,170,66.0,165,230,80
2000,9432,1657,1860,2482,1360,1246,2919,548,1229,439,1444,340,557,2292,759,821,2175,584,103,787,240,164,66.0,181,227,88
2001,10410,1824,1893,2832,1533,1426,3113,581,1270,543,1594,464,707,2572,767,894,2162,587,134,860,203,214,89.0,186,233,107
2002,10850,2180,2159,4934,1683,3598,3282,707,1449,615,1700,599,785,2798,869,876,2300,641,149,916,225,294,115.0,196,261,94
2003,11909,2519,2444,4514,2005,2759,3590,735,1416,709,1773,719,1075,2933,930,994,2234,687,127,1119,251,307,127.0,217,260,107
2004,13532,2839,2658,4548,2212,2796,3793,818,1601,856,1977,788,1069,3215,1016,967,2442,673,175,1031,337,291,142.0,243,301,115
2005,13735,3428,2757,5272,2516,3540,3964,901,1923,777,2146,978,1165,3527,1102,1018,2536,677,196,1072,282,339,186.0,209,310,126
2006,14906,4117,3191,6127,2956,4029,4633,1133,2008,882,2259,1081,1275,3845,1311,1123,2620,818,214,1095,320,446,228.0,225,338,143
2007,15680,4436,3114,6541,3314,4209,4593,1281,2158,941,2378,1285,1402,4063,1445,1206,2584,793,254,1280,314,498,202.0,212,355,127
2008,17845,5399,3376,6717,3612,4859,5219,1496,2629,1154,2575,1453,1520,4067,1566,1296,2481,885,286,1290,325,569,233.0,254,374,130
2009,19839,6611,3839,7953,3986,5178,5654,1714,3090,1348,2766,1630,1687,4637,1731,1355,2502,1003,319,1377,380,627,245.0,263,377,146
2010,20608,7417,4074,8442,4300,5954,6015,1919,3642,1293,2990,1756,1651,5055,1806,1509,2592,999,407,1317,380,607,296.0,266,382,183
2011,22519,9359,4547,9182,4804,5922,6380,2278,4498,1706,3184,2020,2165,5291,1972,1663,2822,1076,511,1511,459,716,380.0,277,432,168
2012,23563,10884,4547,9502,5198,6492,6641,2483,5292,1754,3259,2114,2092,5857,2151,1687,2671,1192,527,1434,438,746,355.0,305,479,162
2013,24750,12285,4761,9839,5512,6325,6834,2653,6699,1817,3378,2136,2065,5654,2187,1849,2814,1256,655,1505,464,738,362.0,313,469,183
2014,26402,13823,4856,10559,5906,6815,7138,3136,6925,2210,3592,2402,2239,5436,2474,1879,2710,1302,718,1522,501,831,351.0,325,463,185
2015,28046,14569,5004,10601,5946,6483,7416,3251,8047,2386,3564,2362,2309,5339,2404,1983,2649,1347,735,1594,524,878,431.0,358,443,186
2016,29010,15835,4948,10766,6390,6300,7268,3574,7739,2507,3737,2618,2328,6191,2413,1892,2604,1348,896,1495,467,840,433.0,364,462,176
2017,31270,16586,5223,11448,6530,6309,7550,3933,8737,2759,3671,2638,2481,5627,2439,2131,2466,1428,829,1359,521,926,437.0,342,438,193
2018,31588,18138,5459,11814,6971,6408,7500,3786,10087,2894,3648,2833,2421,5553,2449,1993,2491,1463,972,1435,579,955,467.0,349,474,186
2019,34136,18136,5669,12347,7256,6644,7895,4277,9614,3082,3713,3069,2590,5547,2518,2210,2357,1681,998,1437,561,1029,523.0,378,429,180
2020,40225,19707,6422,12675,8575,7365,8393,5210,9733,3608,3984,3416,2952,5907,3142,2357,2395,1719,1142,1727,732,1090,716.0,382,526,248
2021,41622,20070,6715,12935,8945,7368,8798,6111,9357,3410,3769,3277,2907,5398,3247,2620,2225,1739,1079,1857,682,1007,776.0,358,459,245
