,Documents
1980,2303
1981,2519
1982,2843
1983,3325
1984,3980
1985,4705
1986,5760
1987,7180
1988,8611
1989,9419
1990,12173
1991,13675
1992,15723
1993,17127
1994,17997
1995,19909
1996,23878
1997,25794
1998,28078
1999,30360
2000,34329
2001,37491
2002,44571
2003,46687
2004,50710
2005,54977
2006,61649
2007,64968
2008,71903
2009,80544
2010,86147
2011,96059
2012,101975
2013,107642
2014,114920
2015,119001
2016,122635
2017,128274
2018,133034
2019,138307
2020,154431
2021,157031
2022,148217
2023,153842
2024,150961
