,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,11,4,6,1.0,3,,6.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,
1981,11,4,4,1.0,3,1.0,2.0,,1.0,3.0,,1.0,,,,,,1.0,,3.0,,,,1.0,,
1982,18,8,7,2.0,5,,3.0,3.0,3.0,1.0,,1.0,1.0,1.0,5.0,1.0,4.0,,,1.0,,,,,,
1983,16,2,3,2.0,5,,2.0,,1.0,,,1.0,1.0,,1.0,1.0,11.0,1.0,,,,,2.0,1.0,,
1984,15,5,6,4.0,11,,,1.0,,1.0,1.0,1.0,,1.0,,,5.0,,,5.0,,,,1.0,,
1985,14,5,6,3.0,6,,8.0,,2.0,,4.0,1.0,1.0,1.0,,,5.0,2.0,,1.0,1.0,,,,,3.0
1986,20,10,6,,9,,5.0,3.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,,1.0,2.0,,,,,2.0
1987,26,4,15,3.0,5,2.0,9.0,,1.0,3.0,5.0,,,,,1.0,7.0,4.0,,3.0,3.0,,,1.0,,1.0
1988,33,9,9,4.0,14,2.0,9.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,,,8.0,4.0,,,5.0,2.0,,1.0,1.0,1.0
1989,34,7,13,2.0,14,2.0,16.0,,1.0,3.0,,1.0,2.0,2.0,3.0,,1.0,8.0,,,,,,,,1.0
1990,92,7,9,5.0,15,1.0,16.0,2.0,4.0,2.0,2.0,,3.0,4.0,1.0,1.0,2.0,9.0,,1.0,6.0,1.0,1.0,3.0,2.0,
1991,68,18,22,4.0,15,1.0,22.0,2.0,3.0,5.0,2.0,,2.0,8.0,4.0,2.0,3.0,9.0,2.0,1.0,5.0,1.0,,2.0,,
1992,90,17,17,9.0,9,2.0,16.0,2.0,2.0,5.0,1.0,,3.0,3.0,5.0,1.0,1.0,15.0,,2.0,3.0,,2.0,3.0,,
1993,98,10,22,5.0,14,4.0,14.0,1.0,3.0,4.0,5.0,2.0,1.0,,2.0,1.0,3.0,21.0,,1.0,7.0,,1.0,3.0,,2.0
1994,94,11,27,6.0,15,3.0,19.0,1.0,3.0,4.0,1.0,4.0,1.0,,2.0,2.0,5.0,9.0,,1.0,6.0,,2.0,7.0,,3.0
1995,114,36,30,9.0,14,3.0,22.0,2.0,4.0,8.0,3.0,4.0,5.0,,1.0,,4.0,13.0,,2.0,12.0,,2.0,2.0,1.0,
1996,112,27,33,13.0,14,3.0,20.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,11.0,1.0,7.0,17.0,,1.0,5.0,1.0,1.0,2.0,1.0,1.0
1997,140,32,37,15.0,11,3.0,37.0,5.0,6.0,7.0,1.0,6.0,3.0,2.0,6.0,1.0,6.0,17.0,,,8.0,4.0,1.0,4.0,1.0,1.0
1998,170,23,36,15.0,12,2.0,38.0,6.0,2.0,11.0,4.0,5.0,7.0,3.0,8.0,5.0,10.0,12.0,,3.0,6.0,2.0,2.0,5.0,,3.0
1999,185,33,39,20.0,19,2.0,33.0,16.0,4.0,10.0,8.0,6.0,2.0,5.0,11.0,5.0,5.0,22.0,1.0,3.0,7.0,1.0,4.0,4.0,,1.0
2000,264,66,69,34.0,59,17.0,62.0,4.0,11.0,21.0,9.0,18.0,19.0,7.0,10.0,4.0,8.0,28.0,2.0,5.0,19.0,30.0,4.0,4.0,,5.0
