,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1982,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1983,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
1984,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
1985,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1986,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1988,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1990,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1992,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
1995,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1996,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
1997,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1998,,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,
1999,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
2000,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,
2001,2.0,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,
2002,2.0,,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,
2003,,1.0,8.0,,10.0,,,,,,,,,,,,,,,,,,,,,
2004,,,3.0,,8.0,,1.0,,,,,,,,,,,,,,,,,,,
2005,,,6.0,,12.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
2006,,,2.0,,13.0,,,,,,,,,,,,,,,,,,,,,
2007,1.0,,5.0,,15.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,
2008,,,9.0,,7.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
2009,,,,,14.0,,,,,,,,,,,,,,,,,,,,,
2010,,,7.0,,19.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
2011,1.0,,4.0,,11.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
2012,1.0,,6.0,,12.0,,3.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,
2013,,,6.0,,16.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
2014,1.0,,3.0,,13.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,
2015,2.0,,7.0,,19.0,,,,,,,,,,1.0,,,,,,,,,,,
2016,,,2.0,,15.0,,4.0,,2.0,,,,,,1.0,,,,,,,,,,,
2017,1.0,2.0,3.0,,16.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
2018,,,4.0,,25.0,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,
2019,3.0,2.0,9.0,,20.0,1.0,3.0,,,,,,,,1.0,,,,,,1.0,,,,,
2020,,,4.0,,17.0,,1.0,1.0,1.0,1.0,,,,,7.0,,,,,,,,,,,
2021,1.0,1.0,10.0,,24.0,1.0,1.0,,,,,,,,3.0,,,,,,,,1.0,,,
2022,1.0,3.0,3.0,,21.0,,2.0,,,,,,1.0,,7.0,,,,,,,,,,,
2023,1.0,,5.0,2.0,19.0,,2.0,,,,,,,,9.0,,,,,,,,,,,
2024,4.0,,1.0,,12.0,,,,,,,,,,5.0,,,1.0,,,,,,,,
