,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
1988,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1989,2.0,3.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
1990,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1991,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1992,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
1994,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
1995,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1996,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,
1997,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1999,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2000,,2.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
2001,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
2002,,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
2003,1.0,2.0,,,5.0,3.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,
2004,3.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,
2005,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2006,2.0,3.0,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,
2007,3.0,2.0,1.0,,4.0,,1.0,1.0,1.0,5.0,,,,,,,2.0,,,,,,,,,
2008,2.0,4.0,,,5.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,
2009,4.0,6.0,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,
2010,4.0,3.0,4.0,1.0,4.0,,1.0,,,2.0,,2.0,,,1.0,,,,,1.0,,,,,,
2011,,1.0,,1.0,3.0,,2.0,,1.0,,,2.0,,,,,,,,,,,,,1.0,
2012,4.0,2.0,,,2.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,
2013,1.0,1.0,1.0,1.0,6.0,,,,,2.0,,,,,,,,,,,,,1.0,,,
2014,5.0,3.0,1.0,1.0,6.0,,2.0,,,,,,,,1.0,,,3.0,,,1.0,,,,,
2015,1.0,4.0,,1.0,7.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,
2016,8.0,3.0,,1.0,3.0,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,
2017,6.0,3.0,1.0,,5.0,,3.0,,,3.0,,1.0,,,1.0,,,,,,,,2.0,,,
2018,11.0,6.0,2.0,,5.0,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,
2019,4.0,7.0,2.0,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,
2020,8.0,2.0,4.0,,5.0,,1.0,1.0,,4.0,,2.0,,2.0,2.0,,,2.0,,,1.0,1.0,1.0,,,
2021,3.0,1.0,,,6.0,,,4.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,
2022,2.0,7.0,,,8.0,,,,,3.0,,1.0,,1.0,,,1.0,,,,,,,,,
2023,3.0,3.0,,,11.0,,3.0,1.0,,1.0,,2.0,,,1.0,,1.0,,,,,,,,,
2024,4.0,2.0,2.0,,6.0,2.0,2.0,,,2.0,,1.0,,,,,,,,,,,,,,
