,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1845,361,706,1598,377,323,1610,82,198,79,1125,47,90,1649,392,412,1347,234,79,283,73,48,10,103,127,38
1981,2123,309,774,1639,384,322,1748,92,199,65,1147,62,107,1624,469,435,1463,249,77,299,93,48,6,93,138,35
1982,2220,353,789,1716,409,369,1786,111,260,77,1119,42,107,1664,562,478,1301,291,73,276,82,49,11,82,134,44
1983,2291,394,858,1817,456,382,1816,110,258,70,1208,51,117,1729,489,555,1390,308,79,339,101,54,9,122,126,44
1984,2771,413,887,1878,461,415,2080,122,268,95,1184,65,127,2013,672,598,1275,393,69,371,109,50,12,114,143,38
1985,3060,460,871,2093,492,484,2066,109,333,109,1319,47,130,2130,633,608,1425,425,89,427,113,79,28,119,123,40
1986,3445,465,940,2203,598,527,2370,146,381,129,1397,87,145,2184,725,675,1382,485,95,417,127,83,12,122,127,37
1987,5774,576,1107,2545,634,621,3011,169,416,204,1557,79,153,2418,789,835,2066,581,109,456,170,86,35,201,160,65
1988,7852,631,1286,2673,694,616,3689,246,417,328,1796,110,151,2621,840,1041,2094,771,96,520,229,75,54,242,174,44
1989,8340,667,1344,2858,736,787,3975,239,501,338,1863,106,186,2735,934,978,2122,817,116,504,204,78,47,251,176,65
1990,9966,866,1405,3013,819,883,4187,299,527,406,1818,113,203,2863,1071,1134,2262,931,99,577,246,76,88,286,209,71
1991,10017,955,1497,3422,837,995,4590,263,552,432,2079,135,210,3168,1029,1178,2429,986,103,649,248,113,105,302,214,71
1992,10804,1099,1615,3928,951,1241,4814,297,642,462,2338,187,282,3345,1032,1269,2575,1072,101,683,302,117,58,268,233,89
1993,10937,1190,1661,4292,972,1207,5046,342,738,429,2537,193,298,3620,1069,1256,2592,1244,118,674,307,90,55,276,219,87
1994,11241,1360,1923,4868,1116,1437,5252,428,889,561,2622,264,376,3989,1245,1424,2738,1147,102,765,287,137,70,285,280,91
1995,12034,1527,1981,4819,1253,1524,5645,390,957,587,2688,272,449,4144,1237,1381,2812,1288,111,863,286,145,59,345,271,113
1996,12431,1670,2065,5787,1272,1785,5927,467,1107,559,3036,306,478,4571,1379,1501,3117,1310,135,1021,289,174,58,308,259,98
1997,13010,1896,2163,6145,1476,1984,6107,456,1232,712,3341,326,540,5131,1669,1540,3199,1432,108,1380,314,176,57,315,335,100
1998,13994,2211,2319,6468,1610,2121,6757,549,1214,881,3525,376,595,5291,1810,1729,3457,1600,143,1450,373,190,87,321,308,119
1999,13946,2534,2350,6747,1791,2175,6879,557,1353,925,3692,436,763,5243,1889,1654,3389,1536,162,1553,325,202,82,310,274,102
2000,14355,3024,2433,6893,2004,2335,6835,677,1684,934,4088,530,855,5702,2041,1727,3402,1509,154,1619,325,268,101,289,324,108
2001,14285,4234,2479,7110,2061,2450,6848,838,2470,1104,4138,598,1001,5972,1989,1636,3314,1511,147,1731,303,263,85,372,318,133
2002,14350,4928,2547,12743,2447,7409,6953,1005,2520,1187,4626,718,1199,7040,2476,1807,3427,1435,184,1926,309,378,85,287,363,155
2003,15401,5470,2704,10424,2521,4927,7367,1055,2891,1343,4541,854,1407,6957,2445,1864,3291,1556,197,2082,357,408,104,281,343,125
2004,19694,6699,2964,10160,2669,4573,7832,1484,3802,2136,4854,910,1484,7397,2571,2006,3313,1678,202,1961,375,353,124,321,382,139
2005,19804,7902,3138,11604,3131,5771,7889,1430,4246,1867,5103,1207,1624,7817,2735,2025,3467,1711,250,2182,396,427,135,311,442,151
2006,21183,9090,3408,13309,3292,6197,8164,1622,5097,2264,5497,1472,1778,8294,2965,2210,3325,1717,274,2287,391,560,113,304,443,167
2007,22155,9952,3466,13270,3558,6442,8377,1765,5582,2296,5434,1497,2074,8383,3189,2299,3512,1759,327,2309,418,576,124,358,458,164
2008,25025,11205,3912,14396,3881,7058,9186,2115,6040,2891,5721,1792,2276,8556,3335,2595,3612,1907,331,2586,430,705,142,313,465,158
2009,25967,11821,4142,14775,4458,7341,9354,2119,6248,2777,6018,1967,2517,9013,3514,2447,3550,2237,384,2614,443,738,193,355,489,194
2010,25435,12465,4176,15260,4648,7563,9145,2532,6539,2894,6193,1999,2522,9512,3611,2702,3630,1899,443,2671,423,808,192,344,505,183
2011,27863,14023,4666,15944,5072,7353,9510,2528,6933,3148,6336,2285,2934,9562,3812,2913,3698,1929,542,2750,524,863,203,407,506,200
2012,30183,15278,4894,16631,5319,7126,10158,2858,7454,3714,6449,2727,3031,10129,3931,2949,3632,2136,587,2752,453,899,226,396,504,225
2013,32458,16741,5168,17275,5777,7625,10290,3035,8961,3857,6709,2791,3094,9866,4242,3195,3795,2164,680,2840,499,989,222,424,543,223
2014,34109,16718,5437,18045,6027,8142,10651,3125,8332,4183,7010,2952,3265,10033,4645,3227,3829,2228,779,2979,544,1082,288,470,564,214
2015,34316,17836,5394,17726,6359,8139,10903,3344,8669,4066,6956,3057,3289,10103,4789,3304,3722,2259,860,3005,488,1150,271,473,553,235
2016,35674,18612,5617,17888,6580,7706,11041,3534,9589,4671,6922,3099,3204,10797,4715,3209,3722,2247,846,3030,514,1058,296,581,556,195
2017,35905,19057,5692,18098,6743,7686,10292,3685,9692,4843,6752,3278,3137,10031,4627,3204,3300,2289,891,2661,513,1074,425,512,577,218
2018,37218,21001,5920,18294,7178,8093,10562,4004,10547,5598,6770,3495,3387,9525,4768,3274,3247,2286,926,2766,575,1073,389,532,534,224
2019,37532,21780,6315,18704,7461,8057,11057,4076,10793,5514,6814,3605,3323,9749,5061,3305,3316,2369,1071,2654,533,1173,460,517,560,210
2020,40892,20109,6491,18311,8419,7661,10910,4284,9654,5885,6819,3445,3324,9741,5875,3235,3236,2434,1043,2892,599,1176,416,468,560,246
2021,40665,21757,6602,18132,8675,7864,10942,4667,10162,5170,6462,3681,3345,9206,5804,3401,3140,2461,1060,2851,568,1182,374,453,564,232
2022,37995,20771,7039,19028,8166,8170,10445,4699,9783,4771,6188,3359,3424,9250,4601,3272,2848,2255,1158,3148,523,1221,310,507,552,302
2023,37895,23317,7338,20840,8631,9252,10107,4681,10404,5066,6375,3925,3571,9420,4719,3278,2958,2323,1344,2890,565,1282,333,481,617,353
2024,37058,22089,7982,22142,8930,9811,10018,4524,9376,5297,6397,3826,3297,9376,4562,3080,2922,2194,1316,2881,495,1358,341,466,607,307
