,Documents
1980,13290
1981,14060
1982,14457
1983,15223
1984,16706
1985,17872
1986,19371
1987,24890
1988,29391
1989,31062
1990,34542
1991,36682
1992,39936
1993,41619
1994,45131
1995,47456
1996,51518
1997,55547
1998,59910
1999,61352
2000,64659
2001,67867
2002,83041
2003,81440
2004,90499
2005,97162
2006,105919
2007,110206
2008,121089
2009,126094
2010,128688
2011,136850
2012,144932
2013,153872
2014,159286
2015,161660
2016,166407
2017,165638
2018,172632
2019,176589
2020,178572
2021,180048
2022,174686
2023,183255
2024,181830
