,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,7979,3016,1859,3895,1423,878,3457,866,1588,634,1312,336,737,2109,996,1097,1421,536,150,687,271,268,138,249,192,102
1981,8876,3376,2081,4016,1482,884,3768,1032,1624,644,1318,338,742,2420,1110,1187,1509,571,147,663,310,247,121,261,212,130
1982,9088,3259,2061,4133,1551,1017,3841,1013,1732,703,1178,366,843,2353,1090,1308,1479,589,158,621,330,280,125,258,190,134
1983,9638,3530,2240,4359,1616,1116,3868,1121,1714,652,1290,405,874,2407,1146,1355,1580,630,168,664,307,309,128,242,186,153
1984,10967,3597,2413,4507,1733,1113,4115,1201,1786,798,1357,438,933,2576,1297,1399,1510,709,163,703,311,314,149,271,174,160
1985,11634,3744,2508,4759,1770,1212,4500,1221,1846,873,1359,494,992,2504,1329,1522,1539,834,157,717,352,332,148,296,197,161
1986,12152,3838,2526,4970,1840,1287,4748,1286,1953,985,1407,521,1014,2685,1374,1511,1554,839,177,702,374,346,171,288,199,173
1987,14739,4044,2738,5348,1971,1574,5302,1470,1992,1105,1587,539,1145,2993,1563,1610,2466,1106,158,741,463,351,196,359,243,199
1988,16271,4437,2721,6036,1945,1819,5708,1691,2251,1314,1595,661,1173,3172,1512,1763,2496,1155,179,763,457,420,255,398,271,206
1989,17071,4555,2761,6088,1993,2038,6008,1645,2412,1414,1776,732,1214,3199,1580,1899,2355,1270,152,802,501,439,281,400,248,212
1990,18151,4813,2897,6331,2119,2091,6509,1815,2494,1760,1747,781,1360,3465,1572,1974,2409,1350,165,761,497,434,365,443,240,230
