,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,4,1.0,1.0,6,1.0,,2,,1.0,,3,,,15,4,,5,,,,,,,,,
1981,3,,,3,,1.0,3,,,,9,,1.0,14,2,2.0,3,,,,1.0,,,,,
1982,3,,,13,1.0,1.0,1,,,1.0,8,1.0,1.0,14,1,3.0,5,,,,,,,,,
1983,2,1.0,2.0,6,1.0,,2,1.0,,,4,,,14,3,1.0,4,,,2.0,,,,,,
1984,2,1.0,,9,,,1,1.0,1.0,,9,,1.0,15,3,2.0,9,,,2.0,1.0,,,2.0,1.0,
1985,2,1.0,1.0,3,,,2,1.0,,,8,,2.0,13,1,,14,,,2.0,,,,,,
1986,5,2.0,1.0,7,1.0,1.0,3,1.0,,,10,1.0,2.0,16,3,3.0,4,,,1.0,,,,1.0,,
1987,12,5.0,1.0,4,2.0,2.0,4,,,,10,,1.0,19,2,3.0,7,3.0,,3.0,,1.0,,,1.0,
1988,6,2.0,,5,1.0,2.0,4,1.0,,1.0,3,,,16,1,4.0,10,2.0,,1.0,,,,,,
1989,4,1.0,2.0,10,2.0,,6,,1.0,,7,1.0,,23,1,1.0,9,,,5.0,,1.0,1.0,,1.0,
1990,8,2.0,2.0,6,2.0,1.0,3,,,1.0,4,,2.0,21,2,4.0,7,1.0,,2.0,,,,,1.0,
1991,13,7.0,2.0,9,3.0,1.0,4,,3.0,1.0,9,,,26,2,2.0,12,,,7.0,,,,1.0,,
1992,6,5.0,3.0,15,1.0,4.0,6,,1.0,1.0,8,,,48,3,4.0,6,2.0,,8.0,,,,,,
1993,10,4.0,7.0,11,1.0,4.0,3,,,,3,,2.0,48,8,,10,2.0,,10.0,,,,,,
1994,7,3.0,3.0,18,2.0,14.0,4,,,1.0,9,,1.0,48,2,1.0,11,1.0,,51.0,,2.0,,,1.0,
1995,13,6.0,1.0,23,2.0,10.0,3,,1.0,,12,,,56,4,,12,1.0,1.0,47.0,,,,1.0,,
1996,17,3.0,5.0,21,2.0,11.0,6,,1.0,1.0,5,,3.0,41,5,2.0,10,1.0,1.0,50.0,,2.0,,,,
1997,19,5.0,4.0,31,2.0,14.0,12,,1.0,,11,1.0,4.0,69,3,3.0,7,1.0,1.0,46.0,,1.0,,1.0,,
1998,26,6.0,1.0,40,5.0,12.0,12,1.0,1.0,,14,,3.0,68,6,3.0,12,3.0,,48.0,,,1.0,1.0,,
1999,21,12.0,1.0,38,3.0,7.0,8,2.0,6.0,1.0,13,1.0,5.0,74,6,4.0,8,3.0,,49.0,,1.0,,,,
2000,25,10.0,8.0,31,3.0,7.0,9,2.0,4.0,1.0,15,1.0,6.0,83,10,6.0,16,4.0,,32.0,,,,1.0,,1.0
2001,37,14.0,7.0,22,13.0,11.0,17,2.0,4.0,,13,1.0,5.0,89,4,5.0,8,1.0,1.0,34.0,1.0,1.0,,1.0,,
2002,32,12.0,7.0,59,1.0,13.0,14,4.0,2.0,2.0,18,1.0,4.0,92,2,3.0,19,4.0,2.0,39.0,2.0,1.0,,1.0,,
2003,31,7.0,4.0,46,7.0,10.0,15,2.0,5.0,,16,3.0,12.0,92,7,4.0,16,9.0,,47.0,,3.0,,,,
2004,49,7.0,5.0,47,3.0,16.0,16,5.0,4.0,2.0,17,3.0,6.0,103,11,7.0,13,8.0,1.0,64.0,1.0,2.0,,2.0,,
2005,106,14.0,14.0,48,9.0,14.0,35,2.0,3.0,13.0,18,3.0,5.0,87,9,14.0,20,9.0,1.0,55.0,,2.0,1.0,2.0,,1.0
2006,100,9.0,11.0,63,7.0,17.0,28,2.0,8.0,5.0,27,1.0,11.0,105,23,10.0,18,5.0,,61.0,,2.0,1.0,2.0,,
2007,63,18.0,13.0,40,6.0,15.0,24,3.0,12.0,1.0,30,5.0,11.0,109,18,11.0,19,4.0,1.0,52.0,2.0,,,2.0,1.0,
2008,83,19.0,11.0,46,7.0,27.0,26,5.0,9.0,4.0,11,6.0,14.0,103,10,19.0,13,6.0,,51.0,1.0,,,1.0,,
2009,92,21.0,15.0,70,12.0,34.0,34,7.0,12.0,5.0,30,9.0,10.0,100,17,20.0,21,6.0,2.0,58.0,2.0,11.0,1.0,2.0,1.0,1.0
2010,91,33.0,25.0,39,18.0,27.0,27,12.0,12.0,8.0,16,4.0,12.0,118,17,16.0,24,5.0,3.0,39.0,1.0,5.0,,3.0,,
2011,120,38.0,27.0,48,18.0,20.0,39,10.0,20.0,6.0,24,5.0,13.0,202,20,17.0,19,3.0,1.0,54.0,1.0,2.0,3.0,2.0,,
2012,105,103.0,16.0,48,16.0,31.0,44,11.0,22.0,13.0,31,21.0,42.0,305,16,11.0,20,5.0,5.0,67.0,1.0,3.0,,1.0,,3.0
2013,143,108.0,26.0,72,18.0,23.0,31,16.0,38.0,7.0,21,14.0,44.0,243,20,11.0,21,11.0,1.0,78.0,2.0,6.0,3.0,4.0,,
2014,166,123.0,32.0,70,18.0,46.0,60,27.0,33.0,7.0,30,18.0,53.0,258,26,20.0,20,17.0,5.0,62.0,2.0,11.0,5.0,4.0,1.0,1.0
2015,215,97.0,50.0,60,39.0,55.0,41,26.0,33.0,14.0,28,21.0,48.0,269,41,17.0,27,18.0,3.0,74.0,2.0,11.0,3.0,4.0,1.0,2.0
2016,209,143.0,69.0,109,47.0,43.0,53,40.0,46.0,16.0,23,14.0,73.0,317,30,19.0,12,17.0,4.0,94.0,6.0,10.0,7.0,5.0,1.0,2.0
2017,226,166.0,70.0,117,63.0,51.0,83,50.0,35.0,24.0,28,17.0,124.0,315,51,21.0,20,14.0,10.0,57.0,4.0,8.0,3.0,3.0,,3.0
2018,252,160.0,94.0,105,74.0,35.0,50,41.0,49.0,32.0,24,25.0,147.0,342,47,20.0,19,20.0,12.0,62.0,2.0,14.0,3.0,6.0,,1.0
2019,281,218.0,96.0,115,93.0,42.0,73,49.0,60.0,20.0,31,27.0,137.0,327,54,30.0,21,23.0,4.0,63.0,2.0,8.0,5.0,7.0,,
2020,384,255.0,103.0,145,117.0,64.0,75,51.0,65.0,32.0,42,31.0,171.0,323,45,35.0,25,12.0,13.0,57.0,2.0,12.0,9.0,7.0,1.0,
2021,615,389.0,143.0,166,133.0,79.0,96,128.0,99.0,64.0,39,54.0,204.0,277,70,25.0,23,21.0,16.0,44.0,2.0,18.0,11.0,11.0,2.0,
2022,502,512.0,139.0,143,146.0,71.0,82,80.0,177.0,44.0,53,75.0,244.0,241,52,27.0,26,17.0,15.0,73.0,9.0,13.0,20.0,11.0,2.0,1.0
2023,633,662.0,156.0,148,149.0,131.0,107,108.0,245.0,64.0,69,77.0,265.0,273,83,27.0,27,31.0,15.0,70.0,7.0,22.0,12.0,14.0,5.0,5.0
2024,655,600.0,164.0,231,146.0,131.0,135,74.0,234.0,70.0,73,115.0,217.0,254,65,29.0,38,38.0,24.0,54.0,5.0,19.0,13.0,10.0,4.0,
