,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,23,69,24,13,33,4.0,10,12,28,,4.0,11,18,12,10,10.0,6,2.0,,13.0,1,6,,,,
1981,20,82,29,15,21,2.0,13,15,27,5.0,9.0,9,16,14,10,8.0,8,,1.0,8.0,2,6,,,2.0,
1982,22,73,26,17,28,7.0,9,7,21,4.0,2.0,4,15,10,6,6.0,6,,,2.0,1,4,,2.0,1.0,
1983,28,72,22,12,26,6.0,12,10,29,1.0,2.0,8,12,5,13,9.0,7,3.0,2.0,6.0,3,4,,,1.0,
1984,31,75,23,14,25,4.0,10,15,24,5.0,5.0,8,17,5,11,4.0,4,2.0,,7.0,1,1,,1.0,,
1985,25,68,29,11,16,10.0,10,12,22,6.0,4.0,17,14,6,6,3.0,4,3.0,,4.0,5,6,,1.0,,1.0
1986,35,56,18,16,27,6.0,5,11,31,8.0,3.0,6,9,11,9,4.0,4,4.0,,4.0,2,6,,2.0,,
1987,38,71,24,11,31,10.0,3,13,22,7.0,4.0,13,18,5,5,7.0,2,8.0,,8.0,5,3,,,,1.0
1988,29,72,22,7,29,8.0,11,17,46,11.0,1.0,16,9,10,4,6.0,1,6.0,1.0,4.0,4,5,,1.0,,
1989,35,69,16,11,30,9.0,14,18,28,5.0,2.0,11,12,9,7,7.0,4,,1.0,6.0,3,5,,2.0,,1.0
1990,37,66,26,18,28,16.0,11,14,29,9.0,1.0,13,11,12,5,8.0,3,2.0,,2.0,3,2,,2.0,,
1991,31,87,17,13,38,6.0,15,17,27,2.0,5.0,14,18,9,3,4.0,2,1.0,2.0,3.0,2,4,,,,2.0
1992,35,72,25,18,30,6.0,11,16,22,6.0,8.0,12,14,9,3,5.0,6,4.0,,3.0,1,2,1.0,2.0,,3.0
