,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,18,6,13,1.0,1.0,,5,3.0,2,2,1.0,,1.0,,,,,,,,6,,2.0,,,
1981,21,11,16,2.0,2.0,,4,,4,5,,,,1.0,,,1.0,,1.0,,7,,,,,
1982,19,12,16,2.0,5.0,,3,2.0,6,9,1.0,3.0,1.0,,1.0,,,,,1.0,23,,,,,
1983,23,18,8,1.0,1.0,,2,,3,4,,1.0,1.0,,1.0,,,,,,7,1.0,,,,
1984,23,21,11,4.0,3.0,,6,2.0,5,4,,,,,1.0,,,1.0,1.0,1.0,2,,,,,
1985,18,27,14,2.0,1.0,,3,2.0,7,6,,1.0,3.0,1.0,,,,1.0,,,7,,,1.0,,
1986,11,11,11,1.0,,,3,2.0,1,4,,3.0,3.0,,1.0,1.0,,2.0,,,9,,,,,
1987,37,16,26,2.0,,2.0,6,2.0,3,2,,2.0,4.0,,,3.0,,1.0,,,5,,,1.0,,
1988,16,24,11,2.0,1.0,,2,4.0,1,3,,5.0,3.0,1.0,,2.0,2.0,5.0,,,7,1.0,,,,
1989,29,15,15,2.0,4.0,2.0,3,,5,8,,,1.0,,2.0,,1.0,,1.0,2.0,9,,,,,1.0
1990,34,22,12,,5.0,,9,2.0,3,10,,1.0,1.0,,,1.0,,,1.0,,4,,,,1.0,1.0
1991,49,14,9,,4.0,2.0,4,2.0,2,7,2.0,,1.0,,2.0,,,,1.0,,7,1.0,,1.0,,
1992,45,12,11,1.0,4.0,,4,4.0,4,5,,1.0,2.0,,3.0,,,2.0,,,8,2.0,,1.0,,1.0
1993,52,16,16,1.0,4.0,1.0,3,3.0,8,13,,3.0,1.0,,3.0,1.0,,2.0,,2.0,5,,,1.0,,
1994,48,21,13,1.0,10.0,1.0,9,3.0,10,7,,4.0,5.0,,,2.0,1.0,6.0,,1.0,3,1.0,,1.0,,
1995,56,14,8,3.0,4.0,1.0,7,4.0,4,3,,,2.0,,2.0,1.0,,5.0,,1.0,7,1.0,,,,
1996,52,30,15,2.0,9.0,2.0,12,7.0,4,14,,2.0,4.0,,,1.0,1.0,5.0,,1.0,4,1.0,2.0,1.0,,
1997,75,26,5,1.0,6.0,2.0,10,4.0,8,15,,,4.0,,4.0,2.0,,2.0,1.0,1.0,4,2.0,,,,
1998,71,29,13,1.0,8.0,3.0,7,4.0,11,13,1.0,1.0,6.0,,1.0,4.0,1.0,8.0,,,4,,2.0,,,
1999,75,31,19,3.0,3.0,1.0,11,4.0,10,9,,2.0,4.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,4,1.0,2.0,,,2.0
2000,71,24,13,1.0,6.0,4.0,6,6.0,5,7,,1.0,4.0,1.0,2.0,2.0,,5.0,,,2,2.0,1.0,1.0,,3.0
2001,78,15,16,2.0,9.0,4.0,13,7.0,6,8,1.0,,2.0,,,1.0,1.0,3.0,,,3,,2.0,,,
2002,83,14,14,,7.0,2.0,7,7.0,3,15,,3.0,1.0,,3.0,4.0,1.0,6.0,,3.0,2,1.0,3.0,2.0,,1.0
2003,87,18,17,2.0,5.0,,10,4.0,7,21,,4.0,6.0,1.0,3.0,7.0,1.0,6.0,1.0,1.0,5,1.0,1.0,,,
2004,91,17,26,6.0,12.0,1.0,12,5.0,5,21,,3.0,3.0,,3.0,4.0,2.0,7.0,,1.0,3,1.0,3.0,1.0,,1.0
2005,108,33,26,3.0,12.0,2.0,18,8.0,12,15,1.0,3.0,6.0,2.0,5.0,3.0,1.0,2.0,,1.0,2,,7.0,2.0,,
2006,133,28,15,14.0,18.0,1.0,13,4.0,8,25,1.0,11.0,6.0,1.0,3.0,3.0,,2.0,,1.0,4,1.0,,,,1.0
2007,109,44,14,5.0,11.0,8.0,17,9.0,6,29,,8.0,6.0,3.0,5.0,2.0,,5.0,,,6,4.0,4.0,,,
2008,119,38,21,5.0,13.0,5.0,7,5.0,9,30,2.0,7.0,16.0,,5.0,7.0,1.0,7.0,2.0,3.0,11,1.0,4.0,4.0,,1.0
2009,170,59,26,15.0,14.0,14.0,18,14.0,10,29,,15.0,31.0,7.0,4.0,6.0,1.0,5.0,1.0,5.0,15,4.0,5.0,1.0,,1.0
2010,174,55,32,12.0,17.0,13.0,21,5.0,17,22,1.0,5.0,20.0,4.0,2.0,1.0,,5.0,2.0,3.0,9,2.0,4.0,3.0,,1.0
2011,205,69,24,10.0,28.0,10.0,23,14.0,11,49,,15.0,20.0,3.0,9.0,6.0,1.0,11.0,2.0,3.0,5,3.0,2.0,2.0,,3.0
2012,218,76,33,13.0,35.0,5.0,16,14.0,10,38,,16.0,33.0,5.0,11.0,2.0,1.0,10.0,2.0,1.0,11,2.0,7.0,4.0,,3.0
2013,238,124,42,9.0,36.0,12.0,21,17.0,53,29,,15.0,22.0,1.0,4.0,5.0,,15.0,2.0,4.0,10,8.0,3.0,,,
2014,228,115,54,20.0,41.0,10.0,30,9.0,19,45,5.0,21.0,26.0,,7.0,2.0,1.0,13.0,2.0,2.0,15,3.0,7.0,5.0,,
2015,297,111,54,19.0,56.0,21.0,19,20.0,32,68,1.0,24.0,30.0,7.0,13.0,7.0,,24.0,3.0,2.0,10,5.0,2.0,4.0,1.0,4.0
2016,267,160,63,22.0,50.0,20.0,22,14.0,36,58,3.0,17.0,27.0,8.0,9.0,8.0,3.0,15.0,3.0,4.0,17,5.0,11.0,3.0,1.0,1.0
2017,293,180,86,18.0,51.0,28.0,32,41.0,32,71,4.0,25.0,41.0,6.0,15.0,7.0,3.0,17.0,5.0,4.0,21,6.0,6.0,1.0,,5.0
2018,310,206,90,35.0,71.0,31.0,20,25.0,42,75,7.0,31.0,64.0,4.0,12.0,8.0,4.0,18.0,6.0,3.0,14,9.0,11.0,3.0,,1.0
2019,344,200,77,45.0,64.0,38.0,36,35.0,40,62,7.0,26.0,47.0,4.0,18.0,8.0,4.0,22.0,6.0,2.0,12,5.0,9.0,2.0,,1.0
2020,444,255,94,45.0,93.0,64.0,33,50.0,40,66,3.0,33.0,92.0,6.0,28.0,11.0,4.0,27.0,2.0,23.0,16,9.0,17.0,2.0,2.0,2.0
2021,458,244,69,39.0,107.0,83.0,57,53.0,42,85,2.0,19.0,50.0,7.0,29.0,14.0,2.0,28.0,4.0,14.0,21,5.0,25.0,3.0,1.0,4.0
2022,549,276,83,36.0,108.0,66.0,54,72.0,33,84,6.0,26.0,61.0,7.0,19.0,21.0,6.0,20.0,4.0,10.0,12,6.0,20.0,3.0,,3.0
2023,519,314,84,55.0,108.0,94.0,55,74.0,40,102,3.0,48.0,82.0,9.0,27.0,18.0,2.0,21.0,2.0,7.0,15,10.0,15.0,2.0,1.0,1.0
2024,522,310,102,71.0,117.0,94.0,59,89.0,47,100,5.0,41.0,52.0,8.0,17.0,9.0,10.0,31.0,3.0,3.0,19,2.0,7.0,1.0,,3.0
