,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,4,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0
1981,2.0,2,5.0,,1.0,1.0,1.0,,,,,2.0,,,2.0,,1.0,,,,,2.0,,,,
1982,,4,3.0,1.0,1.0,,3.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,
1983,1.0,4,3.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,
1984,1.0,3,2.0,,1.0,,2.0,1.0,1.0,,,1.0,,,1.0,,,,,,,2.0,,,,
1985,1.0,4,7.0,,2.0,,1.0,,,2.0,,,,,,,,,,,,1.0,,,,
1986,,2,8.0,,4.0,,,3.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,
1987,2.0,4,3.0,,4.0,,1.0,,,,,,,,1.0,,,,,,,2.0,1.0,,,
1988,1.0,5,4.0,1.0,3.0,,,2.0,1.0,,,,,,7.0,,,,,,,,1.0,,,
1989,2.0,5,6.0,1.0,4.0,,3.0,2.0,2.0,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,
1990,3.0,4,5.0,,2.0,,2.0,,1.0,,,,,,3.0,,,,,,,,,,,
1991,1.0,7,15.0,,,,4.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,
1992,1.0,9,6.0,,5.0,,2.0,1.0,3.0,,,2.0,,,2.0,,,1.0,,,,,,,,
1993,6.0,8,6.0,1.0,2.0,,4.0,3.0,3.0,1.0,1.0,,,,7.0,1.0,,,1.0,,,,,,,
1994,8.0,9,7.0,2.0,5.0,,5.0,1.0,,,,,3.0,,3.0,2.0,,,,1.0,,,,,,
1995,4.0,14,7.0,1.0,4.0,1.0,2.0,,2.0,,,1.0,1.0,,4.0,,,1.0,,,,1.0,,,,
1996,3.0,5,8.0,,4.0,1.0,2.0,,,2.0,,,1.0,,5.0,,1.0,,,,,,,,,
1997,6.0,9,4.0,1.0,8.0,,4.0,2.0,2.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,
1998,5.0,5,2.0,,3.0,1.0,6.0,1.0,1.0,,,,,,5.0,,,,1.0,,,,,,,
1999,6.0,13,5.0,,4.0,1.0,4.0,1.0,1.0,1.0,,2.0,2.0,,5.0,,,,,1.0,,,,,,
2000,9.0,12,2.0,,8.0,2.0,4.0,,,1.0,1.0,,,,3.0,,1.0,,,,1.0,,,,,
2001,5.0,8,5.0,1.0,13.0,3.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,,5.0,,,,,3.0,,1.0,,,,
2002,9.0,11,7.0,1.0,14.0,,5.0,1.0,,2.0,,3.0,1.0,,4.0,,,1.0,,,,,,,,
2003,6.0,13,8.0,,6.0,1.0,9.0,,1.0,,,1.0,1.0,,3.0,1.0,1.0,,1.0,2.0,,,,,,
2004,6.0,9,9.0,,3.0,1.0,3.0,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,
2005,3.0,13,34.0,1.0,15.0,2.0,10.0,2.0,,1.0,,3.0,,,1.0,,,,,2.0,,2.0,1.0,,,
2006,4.0,11,11.0,1.0,10.0,3.0,3.0,2.0,,3.0,,1.0,,1.0,6.0,1.0,,,,,,,,,,
2007,5.0,10,4.0,1.0,8.0,2.0,3.0,2.0,2.0,3.0,,2.0,5.0,,2.0,,1.0,1.0,,,,1.0,,,,
2008,12.0,12,4.0,1.0,5.0,3.0,4.0,2.0,,2.0,,6.0,,,4.0,1.0,1.0,,,,,2.0,1.0,,,
2009,8.0,9,9.0,,12.0,2.0,8.0,2.0,,2.0,1.0,1.0,,1.0,3.0,,1.0,,,,,,,,,
2010,9.0,11,11.0,2.0,9.0,,5.0,4.0,,1.0,1.0,3.0,3.0,1.0,5.0,1.0,,,,,,2.0,1.0,,,
2011,9.0,15,14.0,1.0,15.0,2.0,7.0,4.0,2.0,1.0,1.0,1.0,,1.0,3.0,,2.0,,,,1.0,2.0,2.0,,,
2012,11.0,15,15.0,4.0,13.0,1.0,9.0,6.0,3.0,7.0,1.0,5.0,,,6.0,,,,,,1.0,2.0,3.0,,,
2013,12.0,27,14.0,,18.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,,3.0,,,,,,,3.0,,,,
2014,12.0,25,17.0,1.0,11.0,1.0,5.0,,6.0,2.0,4.0,3.0,,,5.0,,,,,,1.0,,7.0,,,
2015,17.0,11,12.0,1.0,10.0,3.0,7.0,6.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,,,,,,3.0,3.0,,,
2016,7.0,19,15.0,1.0,15.0,8.0,3.0,11.0,4.0,8.0,2.0,2.0,4.0,3.0,3.0,1.0,,,,2.0,3.0,3.0,,,,
2017,20.0,27,17.0,2.0,14.0,2.0,6.0,6.0,1.0,1.0,1.0,7.0,1.0,,8.0,1.0,1.0,1.0,,1.0,1.0,3.0,3.0,1.0,,
2018,14.0,23,14.0,12.0,14.0,,4.0,4.0,3.0,4.0,6.0,10.0,,,7.0,1.0,1.0,,2.0,,,4.0,1.0,1.0,,
2019,14.0,21,17.0,6.0,13.0,5.0,9.0,3.0,2.0,4.0,2.0,7.0,1.0,,6.0,1.0,2.0,,,,,3.0,3.0,,,
2020,27.0,27,24.0,9.0,25.0,8.0,7.0,9.0,3.0,7.0,1.0,7.0,7.0,,4.0,1.0,,1.0,,1.0,2.0,1.0,10.0,,,
2021,36.0,35,18.0,3.0,29.0,4.0,9.0,6.0,4.0,11.0,2.0,9.0,11.0,,6.0,,1.0,4.0,1.0,,3.0,,1.0,,,1.0
2022,21.0,24,12.0,3.0,33.0,1.0,4.0,11.0,2.0,3.0,7.0,7.0,2.0,1.0,6.0,,2.0,1.0,1.0,2.0,3.0,1.0,2.0,,,
2023,25.0,23,14.0,8.0,35.0,3.0,7.0,8.0,6.0,7.0,2.0,8.0,2.0,1.0,7.0,3.0,,2.0,,2.0,2.0,2.0,2.0,1.0,,
2024,25.0,20,11.0,10.0,41.0,3.0,6.0,9.0,5.0,7.0,3.0,9.0,3.0,1.0,5.0,1.0,,,,1.0,4.0,3.0,2.0,,,
