,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,38,3,2,,2.0,,1.0,,,3.0,,1.0,4.0,,1.0,,,1.0,,,,,1.0,,,1.0
1981,41,3,3,,,,1.0,1.0,,3.0,,,1.0,,,,,1.0,,,,,,,,
1982,13,3,3,1.0,1.0,,2.0,,1.0,1.0,,1.0,2.0,,,1.0,,,,,1.0,,1.0,1.0,,
1983,11,5,3,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,
1984,15,6,4,,,,,2.0,4.0,,,,,,,,,4.0,,,,,,,,
1985,15,1,19,,5.0,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,,,,,1.0
1986,23,7,9,1.0,4.0,,1.0,,,2.0,,2.0,1.0,,,,,1.0,,,,,,,,
1987,15,9,11,,6.0,2.0,3.0,,2.0,6.0,,3.0,2.0,,,,,,,,,,,,,1.0
1988,8,4,7,1.0,1.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,
1989,9,3,8,,1.0,,1.0,,2.0,1.0,,1.0,2.0,,,,,1.0,,,,,,,,
1990,10,4,8,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,2.0,,,,,,,,
1991,44,1,8,,4.0,,2.0,1.0,,2.0,,,2.0,,1.0,,,3.0,1.0,,,,1.0,,,
1992,20,4,6,,1.0,,3.0,,3.0,3.0,,,,1.0,,,,1.0,,,,,,,,
1993,23,5,10,1.0,3.0,,1.0,1.0,1.0,5.0,,2.0,,1.0,,,1.0,4.0,,,,1.0,1.0,,,
1994,12,5,9,1.0,3.0,,4.0,2.0,1.0,5.0,,,2.0,,1.0,,,1.0,,,1.0,,,,,
1995,20,8,21,,5.0,,2.0,1.0,2.0,6.0,,5.0,1.0,3.0,1.0,,,,,,1.0,,,,,
1996,23,9,6,,3.0,,4.0,1.0,2.0,1.0,,,2.0,,,,,1.0,,,2.0,,,,,1.0
1997,29,4,36,1.0,5.0,,4.0,,,3.0,,1.0,,,2.0,,,1.0,1.0,,,,,,,
1998,22,10,11,,3.0,2.0,5.0,,,5.0,,1.0,4.0,,2.0,1.0,,2.0,,,1.0,,,,,
1999,21,5,28,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,2.0,1.0,,,,
2000,23,8,22,3.0,1.0,1.0,4.0,1.0,1.0,3.0,,1.0,1.0,,,,,1.0,,,,2.0,,,,
2001,19,7,7,1.0,7.0,3.0,3.0,2.0,3.0,8.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,
2002,31,13,12,2.0,5.0,1.0,2.0,2.0,1.0,3.0,,3.0,2.0,,1.0,,1.0,,,,,1.0,,,,
2003,31,15,14,,5.0,,5.0,3.0,1.0,5.0,,2.0,2.0,,2.0,,,1.0,,,,,4.0,1.0,,
2004,25,14,12,3.0,2.0,3.0,4.0,3.0,2.0,4.0,,16.0,2.0,,,,,6.0,,,1.0,1.0,1.0,,,
2005,33,14,14,3.0,3.0,1.0,3.0,6.0,2.0,9.0,,5.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,,
2006,26,15,21,4.0,4.0,1.0,3.0,,6.0,7.0,,3.0,5.0,1.0,,,1.0,2.0,,3.0,2.0,1.0,,,,
2007,25,22,12,2.0,5.0,4.0,3.0,3.0,2.0,8.0,,2.0,3.0,,1.0,,,2.0,,1.0,1.0,,,,,
2008,43,19,12,3.0,7.0,4.0,3.0,3.0,3.0,4.0,,4.0,4.0,3.0,2.0,2.0,,2.0,,,1.0,1.0,,,,2.0
2009,60,26,20,1.0,6.0,6.0,8.0,4.0,5.0,7.0,,1.0,4.0,7.0,5.0,1.0,1.0,2.0,,2.0,2.0,,,,,
2010,60,21,22,6.0,14.0,1.0,3.0,3.0,7.0,11.0,,5.0,4.0,2.0,2.0,3.0,,3.0,2.0,,2.0,2.0,,,,
2011,59,42,11,3.0,10.0,5.0,9.0,3.0,5.0,14.0,,3.0,4.0,4.0,2.0,1.0,,1.0,,,1.0,,,1.0,,1.0
2012,67,51,180,5.0,21.0,5.0,19.0,8.0,9.0,13.0,2.0,9.0,5.0,3.0,13.0,2.0,1.0,3.0,1.0,,2.0,1.0,1.0,2.0,,
2013,70,65,34,11.0,27.0,8.0,7.0,6.0,4.0,14.0,2.0,6.0,10.0,3.0,1.0,,2.0,6.0,,1.0,3.0,3.0,,,,
2014,76,41,122,5.0,23.0,5.0,18.0,6.0,8.0,13.0,,6.0,5.0,,3.0,1.0,,4.0,1.0,,,3.0,,,,
2015,119,87,263,13.0,49.0,13.0,32.0,15.0,15.0,25.0,,25.0,24.0,2.0,16.0,3.0,3.0,4.0,4.0,,3.0,3.0,1.0,1.0,,
2016,83,63,32,12.0,32.0,12.0,12.0,7.0,16.0,24.0,,6.0,16.0,4.0,8.0,4.0,,7.0,1.0,,1.0,2.0,,2.0,,
2017,99,71,25,16.0,23.0,12.0,14.0,13.0,18.0,19.0,2.0,11.0,15.0,5.0,3.0,5.0,1.0,9.0,3.0,1.0,2.0,3.0,1.0,,,2.0
2018,146,90,47,14.0,33.0,8.0,20.0,9.0,11.0,32.0,1.0,14.0,16.0,13.0,10.0,5.0,2.0,8.0,8.0,,4.0,2.0,,2.0,,1.0
2019,187,100,56,38.0,41.0,21.0,25.0,15.0,16.0,68.0,2.0,11.0,17.0,12.0,9.0,6.0,3.0,8.0,3.0,3.0,3.0,11.0,6.0,1.0,,
2020,183,109,83,50.0,68.0,37.0,15.0,20.0,7.0,48.0,4.0,18.0,34.0,5.0,9.0,7.0,3.0,8.0,10.0,5.0,6.0,6.0,5.0,,,1.0
2021,241,116,69,27.0,57.0,29.0,17.0,36.0,20.0,48.0,2.0,15.0,35.0,7.0,8.0,6.0,5.0,9.0,6.0,3.0,5.0,5.0,6.0,2.0,,1.0
2022,213,116,67,44.0,70.0,36.0,18.0,30.0,15.0,42.0,1.0,25.0,40.0,10.0,7.0,4.0,4.0,12.0,5.0,4.0,3.0,3.0,6.0,6.0,,
