,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,25,16,13,13,8,2,5,1,6,2,1,4,3,2,9,,3,3,,3.0,,1.0,,,,1.0
1981,40,21,19,11,10,3,7,5,6,6,4,1,6,2,4,5.0,5,3,2.0,2.0,6.0,,,,,2.0
1982,36,16,16,30,11,5,7,3,6,4,7,2,4,9,7,1.0,6,5,1.0,4.0,4.0,2.0,,,,
1983,76,21,19,34,12,1,14,6,7,1,6,1,4,2,3,3.0,1,5,,5.0,4.0,1.0,,1.0,2.0,1.0
1984,51,31,27,38,16,8,13,7,16,4,6,2,5,12,7,1.0,7,1,3.0,8.0,2.0,2.0,,2.0,,
1985,82,25,26,43,17,5,9,6,7,6,11,4,6,10,11,2.0,6,2,,5.0,3.0,,2.0,,1.0,
1986,44,31,25,32,17,4,10,9,17,10,12,5,4,7,13,2.0,4,1,,7.0,3.0,,1.0,1.0,2.0,1.0
1987,47,35,33,47,21,5,11,5,11,2,5,6,15,8,5,1.0,6,3,,,3.0,1.0,,,1.0,
1988,52,33,46,48,17,7,11,6,12,11,6,11,14,2,14,1.0,7,2,2.0,2.0,5.0,,,1.0,3.0,1.0
1989,66,28,27,42,24,10,10,6,6,9,9,13,8,5,37,2.0,7,7,3.0,6.0,5.0,1.0,3.0,4.0,3.0,1.0
1990,64,55,55,45,19,2,18,4,11,11,8,9,8,5,17,1.0,18,5,,2.0,5.0,6.0,5.0,4.0,2.0,5.0
1991,114,50,45,57,22,12,18,6,13,20,6,12,35,18,17,3.0,16,5,7.0,3.0,12.0,1.0,1.0,6.0,1.0,5.0
1992,112,54,51,41,22,8,25,4,8,15,5,5,19,3,10,3.0,9,3,2.0,4.0,8.0,,2.0,2.0,,1.0
