,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,762,217,237,496,128,132,434,88,52,33,159,30,78,429,76,100,183,86,28,126,17,37,13,23,21,5
1981,790,227,299,570,143,152,437,90,67,48,201,40,83,434,83,141,199,82,28,149,11,43,21,11,20,6
1982,930,244,329,535,126,192,475,102,76,43,186,39,83,460,104,133,172,101,38,174,27,43,16,17,18,4
1983,999,251,327,578,163,194,523,119,62,40,192,41,116,481,101,132,174,91,30,172,23,54,17,19,26,13
1984,1086,248,355,609,179,252,538,125,60,52,164,47,102,505,97,142,174,106,24,174,18,54,36,28,20,5
1985,1196,266,321,673,159,221,534,135,88,70,172,61,119,479,96,163,202,105,41,179,35,53,25,18,30,4
1986,1327,272,409,676,169,269,515,149,87,73,213,80,125,507,119,171,187,88,31,209,43,50,39,18,29,9
1987,1551,319,393,720,184,288,594,160,95,74,206,74,116,546,134,208,271,121,27,190,34,45,30,32,21,8
1988,1873,335,349,712,191,313,640,205,95,84,208,65,128,603,111,185,250,153,37,219,52,77,35,29,23,8
1989,1788,333,389,754,177,342,688,208,114,94,220,81,115,661,139,210,261,157,31,221,31,70,47,33,22,4
1990,1942,367,412,746,202,348,754,214,113,100,199,72,108,636,129,226,225,191,35,217,45,70,49,42,30,7
1991,2015,343,398,774,210,403,698,196,98,130,217,83,112,633,124,237,293,166,41,197,45,61,71,31,25,10
1992,2170,392,406,741,229,406,829,213,133,148,211,72,111,667,133,238,240,204,27,226,49,55,50,25,29,17
1993,2242,401,404,933,231,459,853,270,115,145,215,85,127,841,162,277,279,222,39,284,53,67,51,28,24,11
1994,2285,423,374,924,193,525,841,248,151,147,284,84,138,959,142,277,243,190,26,321,47,87,62,28,29,13
1995,2482,449,418,987,212,504,885,266,176,155,278,77,126,898,152,310,242,210,26,324,21,74,41,30,24,10
1996,2580,524,374,1058,235,604,918,257,175,148,312,120,164,984,181,318,332,205,35,398,38,89,71,21,39,10
1997,2759,582,414,1178,253,583,965,266,166,155,352,116,157,1019,152,362,349,208,30,360,48,102,68,36,47,14
1998,2805,559,434,1063,275,654,1060,301,154,132,396,118,174,1074,175,344,335,197,42,336,54,83,72,41,48,9
1999,2991,566,412,1119,279,626,1072,317,178,155,432,116,154,1102,152,405,312,241,33,380,61,92,75,39,38,13
2000,3271,654,440,1132,325,585,1154,339,175,180,435,147,187,1088,172,405,408,239,42,364,63,103,66,58,36,6
2001,3268,664,468,1150,328,650,1226,363,180,167,477,150,212,1113,172,414,339,226,36,387,45,109,63,47,41,13
2002,3475,681,471,2017,378,1948,1339,397,191,211,538,188,228,1317,225,455,386,273,54,427,70,157,68,40,38,18
2003,3843,813,502,1610,412,1311,1423,400,231,213,497,221,281,1316,192,456,383,249,52,395,82,167,106,38,41,13
2004,4122,796,525,1624,423,1163,1556,419,242,244,538,226,216,1230,221,463,326,275,32,400,78,132,77,52,50,13
2005,3877,876,482,1768,404,1280,1487,437,217,257,552,233,233,1273,217,449,334,288,35,454,61,150,77,55,62,15
