,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1.0,,1.0,1.0,3.0,,,,,1.0,,,,,,3.0,,,,,,,,,,
1981,,,3.0,,3.0,,,,1.0,1.0,,,2.0,,3.0,,,,,,,,,,,1.0
1982,2.0,1.0,,,1.0,,1.0,,,,,,,,4.0,1.0,,,,,,,,,,
1983,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,
1984,1.0,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,
1985,1.0,1.0,,,3.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
1986,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,
1987,2.0,,1.0,,2.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,
1988,,2.0,,,2.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,
1989,2.0,3.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,2.0,,,,,,,,,1.0,,
1990,1.0,1.0,1.0,,2.0,,,2.0,2.0,2.0,,,,,,,,,,1.0,,,,,,
1991,,,,,3.0,,,,,1.0,,,,,2.0,,,,,,2.0,,,,,
1992,2.0,,,1.0,5.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
1993,5.0,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,
1994,6.0,1.0,1.0,,3.0,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,
1995,3.0,3.0,1.0,,3.0,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,
1996,2.0,,1.0,,6.0,,,,,4.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,
1997,2.0,3.0,1.0,2.0,2.0,,1.0,,,2.0,,,,,1.0,,,,,1.0,1.0,,,,,
1998,9.0,3.0,,1.0,3.0,,1.0,,1.0,2.0,1.0,,,,3.0,,,,,,,,,,,
1999,2.0,1.0,,1.0,5.0,,3.0,1.0,1.0,2.0,,,1.0,,3.0,,,1.0,,1.0,,,,,,
2000,2.0,1.0,,,6.0,,,,1.0,2.0,,1.0,,,1.0,,,,1.0,,,,,,,
2001,2.0,6.0,,1.0,5.0,,1.0,2.0,,5.0,,,,,3.0,,,,,3.0,,1.0,,,,
2002,3.0,2.0,,3.0,8.0,,3.0,2.0,1.0,,,1.0,,,3.0,1.0,,,,2.0,,2.0,,,,
2003,2.0,4.0,,,5.0,,,,,1.0,,,1.0,,2.0,,,,,1.0,,,,,,
2004,2.0,,,,1.0,,,,,1.0,,2.0,3.0,,5.0,,,,,,1.0,,,,,
2005,4.0,1.0,,4.0,4.0,,1.0,,,2.0,,,,,2.0,,,,,,,,,,,
2006,4.0,1.0,1.0,2.0,4.0,,1.0,,,2.0,,1.0,,,2.0,,,,,,,1.0,,,,
2007,8.0,3.0,1.0,1.0,5.0,1.0,1.0,,,2.0,,,2.0,2.0,2.0,,,,,,,,,,,
2008,9.0,5.0,,,3.0,1.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,
2009,7.0,2.0,1.0,,6.0,,1.0,1.0,2.0,4.0,,,1.0,,2.0,,,1.0,,,,1.0,,,,
2010,6.0,2.0,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,
2011,3.0,1.0,,4.0,6.0,,,1.0,,1.0,3.0,,,2.0,,,,,,,,2.0,,,,
2012,5.0,2.0,1.0,4.0,2.0,,1.0,1.0,1.0,2.0,,,2.0,,2.0,,,,,,,3.0,,,,
2013,6.0,1.0,1.0,,6.0,,1.0,,,2.0,1.0,,,,1.0,,,,,,,2.0,,,1.0,
2014,7.0,3.0,,1.0,8.0,,,,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,,,,
2015,9.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,
2016,13.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,,,,2.0,,1.0,,,,,,,,,,,
2017,10.0,4.0,1.0,2.0,4.0,2.0,,3.0,1.0,4.0,,,,,,,,,2.0,,,,,,,
2018,18.0,3.0,3.0,2.0,4.0,,1.0,2.0,2.0,2.0,,,,,1.0,,,,,,,,,,,
2019,13.0,4.0,,1.0,6.0,2.0,5.0,1.0,1.0,3.0,,,,,,1.0,,,,,,,1.0,,,
2020,9.0,1.0,,1.0,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,
2021,10.0,3.0,,2.0,5.0,,2.0,,,3.0,,,2.0,,,,,,,,,,,,,
2022,5.0,1.0,1.0,3.0,1.0,,,,3.0,1.0,,,3.0,,,,1.0,1.0,,,,,,,,
2023,6.0,1.0,1.0,1.0,4.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,
2024,3.0,6.0,,,4.0,1.0,,,1.0,,,,4.0,,,,,,,,,,,,,
