,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1014,165,893,1519,403,223,676,81,67,53,756,36,49,876,267,74,738,63,55,213,76,44,9,55,125,18
1981,1042,222,951,1614,421,225,756,86,75,57,913,48,48,881,312,98,807,63,80,191,88,62,19,57,118,33
1982,1064,220,960,1660,419,245,792,102,75,51,843,39,61,882,308,80,792,84,90,214,83,47,7,49,128,26
1983,1189,203,948,1681,444,279,718,74,74,53,979,58,71,939,285,80,804,72,86,268,89,48,14,55,140,30
1984,1165,258,1038,1672,524,287,843,87,83,48,913,50,83,1009,314,103,838,82,93,242,83,54,24,63,146,15
1985,1165,276,983,1655,476,279,758,93,102,49,937,68,66,1032,344,99,841,81,85,231,86,72,19,89,123,25
1986,1306,268,1047,1836,489,279,820,86,89,71,1036,62,87,1139,386,69,833,75,83,243,97,61,17,56,128,17
1987,1634,280,1144,1889,546,303,1004,78,84,76,1061,53,106,1272,408,74,1252,123,85,231,92,63,15,88,106,28
1988,1927,252,1213,1918,600,296,1107,113,100,65,1022,65,78,1348,350,124,1211,157,112,239,119,82,27,109,124,27
1989,2086,244,1223,1999,562,306,1145,100,111,74,1095,45,114,1368,337,124,1334,139,91,273,124,75,26,125,161,40
1990,3033,312,1385,1951,692,372,1376,103,94,146,1085,79,116,1365,350,162,1456,191,94,276,161,94,46,148,159,34
1991,3146,359,1334,2283,632,398,1372,112,135,135,1180,84,139,1570,382,173,1497,188,117,300,181,108,43,151,163,29
1992,3363,372,1385,2455,686,407,1485,125,106,132,1231,102,148,1482,366,159,1407,223,108,284,170,137,40,149,146,31
1993,3392,365,1229,2320,672,431,1337,109,127,170,1269,112,178,1557,385,172,1310,216,88,302,185,137,54,139,130,43
1994,3454,403,1183,2337,652,479,1562,128,134,185,1267,103,141,1607,370,155,1366,223,107,293,195,119,49,167,157,38
1995,3371,434,1172,2212,697,477,1454,125,130,151,1187,96,165,1544,352,155,1402,198,88,319,188,89,41,153,141,43
1996,3642,490,1263,2334,705,536,1676,127,148,178,1463,116,173,1757,450,162,1559,213,99,322,177,88,44,146,163,40
1997,3792,470,1212,2350,697,543,1539,142,162,180,1410,136,194,1723,444,187,1548,245,91,342,192,115,43,168,162,39
1998,4195,611,1370,2440,760,567,1701,145,199,190,1389,159,246,1792,426,211,1503,285,84,303,194,127,96,184,158,51
1999,4436,675,1447,2715,786,620,1832,158,238,201,1567,179,235,1775,469,224,1694,281,106,339,240,141,62,196,160,58
2000,4990,751,1830,2659,961,678,1991,170,224,245,1725,224,305,1874,444,217,1772,322,81,355,194,135,98,199,177,56
2001,5144,842,2570,2967,1008,680,2151,209,269,272,1958,222,301,1950,544,248,2010,317,94,336,223,147,69,197,191,44
2002,5642,843,1977,4533,1140,1982,2334,225,226,256,2284,325,364,2170,583,266,2272,340,123,451,263,164,84,224,209,30
2003,6530,909,2258,4379,1280,1553,2574,200,272,323,2518,330,409,2108,634,266,2583,397,133,503,266,184,95,245,269,42
2004,7363,891,2307,4422,1372,1622,2674,264,341,351,2653,340,391,2148,620,285,2913,429,152,456,307,167,95,343,295,60
2005,8225,911,2914,5638,1688,2197,3135,260,318,432,2905,459,430,2323,755,320,3172,483,206,488,279,217,162,396,328,88
2006,9560,1086,3063,7111,2036,2841,3452,282,382,454,3546,594,617,2733,932,371,3785,535,232,569,336,274,186,476,384,74
2007,10645,1275,3303,7180,2176,3078,3927,304,407,517,4040,733,620,2773,911,416,4186,630,265,642,417,292,255,518,366,102
2008,11774,1363,3655,8562,2298,3673,4314,354,444,553,4630,892,743,2889,941,515,4060,724,305,704,404,372,316,662,456,103
2009,13538,1633,4000,9245,2772,4656,4798,460,481,606,5044,1157,951,3225,951,526,4422,734,379,776,493,460,410,741,397,112
2010,15902,1945,4671,11079,3067,6648,5380,634,585,792,5611,1432,1052,3569,1202,608,5014,797,453,898,547,609,714,944,543,133
2011,18873,2298,5402,14133,3523,7559,6466,736,818,1038,7380,1926,1257,4219,1404,746,6039,982,734,1193,654,645,1290,1163,569,157
2012,23561,3003,6580,17123,4141,10691,7512,994,1028,1370,8033,2402,1591,4598,1432,898,6418,1299,868,1306,743,882,1725,1291,606,188
2013,27649,3726,7921,19659,4861,11670,8578,1423,1120,1614,9689,2786,1921,4864,1631,1122,7288,1317,1178,2015,946,1064,2024,1568,799,223
2014,32555,4181,9191,24079,5525,14407,9749,1625,1304,1893,10423,3050,1961,5349,1774,1325,7889,1579,1610,2056,1049,1200,2457,1583,789,232
2015,34865,4537,9928,25841,5757,16343,10134,1915,1480,2103,10676,3372,2187,5363,1911,1469,7340,1635,1733,2010,1147,1320,2316,1498,795,238
2016,40968,5237,10742,31087,6260,18105,10715,2322,1650,2371,11593,3830,2445,6073,1939,1677,7059,1794,2343,2358,1290,1539,2197,1616,906,279
2017,43821,6039,14406,34111,7112,18788,10995,2628,1735,2683,12441,4480,2759,5915,2018,1808,6522,1885,2545,2444,1531,1701,2404,1682,902,277
2018,44633,6173,14827,39389,7817,19214,11112,2600,1775,2922,13763,4688,2726,6259,2108,2082,6454,1871,2919,2517,1528,1832,2239,1812,938,288
2019,46572,6854,13930,40577,8480,19878,11038,2754,1859,3306,14241,5239,3113,6455,2347,2245,6679,1972,2973,2829,1563,2079,2510,1850,981,259
2020,61427,8181,19782,46834,10925,21493,13289,4468,2254,4399,15841,5585,4336,6978,2808,2643,6962,2234,3739,4391,1961,2244,3870,2082,1113,327
2021,68615,10019,19359,50358,13171,25161,14252,5574,2804,4866,16244,6090,4599,6968,3236,3273,7346,2491,4314,4863,1982,2617,4517,2497,1137,316
2022,68853,11182,22393,56986,14300,30362,15176,5663,4073,5402,17618,6928,5019,7704,3201,3658,8255,2797,4978,5083,2111,2965,4428,2722,1166,361
2023,71136,12687,25855,62544,15394,36458,15990,5963,3442,6178,19081,8442,5458,8113,3082,4700,8789,3069,5273,4791,2266,3578,4445,2878,1236,366
2024,74951,14617,30728,66823,16504,39180,18114,6709,3770,7219,21119,9943,5655,8201,3300,5584,9872,2887,5906,4898,2500,3979,4907,2932,1392,360
