,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,38,13,28,43,8,10,11,5,3,1.0,12,2.0,,23.0,7,6.0,20,6,2.0,6,4.0,2.0,4.0,4.0,,2.0
1981,30,13,21,30,4,5,15,5,1,4.0,9,2.0,1.0,9.0,12,5.0,19,2,1.0,9,4.0,1.0,4.0,3.0,,
1982,20,15,11,22,8,8,8,1,3,5.0,2,1.0,2.0,,7,,11,3,1.0,7,3.0,2.0,3.0,2.0,,3.0
1983,23,16,8,17,5,2,13,2,1,1.0,6,1.0,3.0,7.0,10,,21,1,,3,4.0,2.0,5.0,1.0,1.0,
1984,17,12,8,14,4,6,17,5,1,2.0,4,,5.0,5.0,5,,19,4,,2,1.0,,2.0,1.0,,
1985,27,16,10,24,3,7,3,2,4,,10,2.0,2.0,5.0,3,3.0,12,2,1.0,12,,1.0,,1.0,,4.0
1986,30,10,4,34,5,11,23,5,1,1.0,10,3.0,4.0,17.0,5,6.0,25,2,3.0,7,2.0,3.0,5.0,2.0,1.0,
1987,53,15,11,34,9,5,25,2,3,2.0,12,,3.0,10.0,9,4.0,25,1,6.0,6,3.0,,4.0,2.0,1.0,1.0
1988,73,15,27,50,5,11,17,2,6,6.0,9,2.0,1.0,11.0,9,4.0,21,1,1.0,6,,1.0,2.0,1.0,2.0,1.0
1989,74,23,21,40,5,5,17,7,5,2.0,7,3.0,4.0,9.0,4,3.0,28,1,1.0,7,2.0,2.0,2.0,5.0,3.0,1.0
1990,73,31,31,64,4,7,27,12,8,6.0,6,2.0,3.0,17.0,5,2.0,38,5,,9,1.0,3.0,2.0,2.0,3.0,1.0
1991,85,28,21,79,10,11,19,5,5,7.0,16,1.0,4.0,14.0,2,8.0,42,10,2.0,6,1.0,2.0,2.0,6.0,6.0,5.0
1992,81,19,29,90,9,7,29,14,11,7.0,7,3.0,7.0,18.0,6,7.0,44,4,3.0,15,1.0,9.0,5.0,,2.0,5.0
1993,135,26,34,94,7,10,41,9,10,9.0,21,4.0,6.0,22.0,10,4.0,35,14,4.0,19,5.0,7.0,3.0,1.0,5.0,2.0
1994,132,44,43,124,12,18,39,9,13,11.0,33,3.0,5.0,24.0,13,10.0,48,7,1.0,16,3.0,5.0,2.0,2.0,5.0,7.0
1995,177,43,57,141,16,19,41,9,12,9.0,20,6.0,6.0,36.0,14,7.0,69,9,1.0,28,5.0,4.0,3.0,6.0,4.0,6.0
1996,240,42,60,129,34,23,68,11,14,8.0,32,4.0,7.0,48.0,10,22.0,96,18,2.0,28,1.0,10.0,4.0,11.0,11.0,4.0
1997,194,78,56,181,35,37,55,23,23,14.0,29,5.0,6.0,55.0,17,15.0,114,11,6.0,34,5.0,6.0,1.0,9.0,8.0,5.0
1998,242,43,78,191,44,26,74,17,21,7.0,51,5.0,12.0,90.0,14,17.0,171,25,5.0,43,8.0,5.0,3.0,8.0,28.0,10.0
1999,261,47,97,232,43,48,79,23,26,18.0,78,19.0,22.0,91.0,23,28.0,336,23,2.0,60,4.0,17.0,7.0,19.0,24.0,7.0
2000,385,117,170,398,69,77,129,84,34,20.0,106,41.0,24.0,149.0,26,48.0,316,20,8.0,75,9.0,23.0,21.0,13.0,46.0,6.0
2001,405,96,179,382,64,81,116,40,24,34.0,109,14.0,10.0,148.0,38,23.0,403,21,6.0,93,15.0,14.0,10.0,17.0,74.0,4.0
2002,572,95,227,833,83,267,151,55,41,46.0,148,18.0,11.0,245.0,53,46.0,528,28,10.0,126,8.0,24.0,26.0,28.0,86.0,13.0
2003,875,128,329,1110,101,264,262,70,57,48.0,258,22.0,17.0,256.0,77,63.0,665,59,13.0,162,23.0,43.0,19.0,37.0,124.0,15.0
2004,1187,164,378,1500,193,413,350,85,47,57.0,320,29.0,37.0,308.0,93,92.0,775,64,18.0,213,48.0,63.0,48.0,54.0,141.0,18.0
2005,1688,213,524,1967,260,573,438,103,78,88.0,387,50.0,46.0,405.0,122,123.0,1029,94,24.0,297,47.0,82.0,44.0,58.0,186.0,29.0
2006,2477,260,692,3054,312,1100,548,187,89,115.0,598,87.0,57.0,605.0,169,184.0,1163,139,43.0,389,57.0,136.0,112.0,87.0,191.0,48.0
2007,3338,305,1057,3225,469,1328,791,292,136,157.0,772,121.0,58.0,627.0,214,229.0,1385,200,50.0,502,89.0,180.0,153.0,103.0,199.0,72.0
2008,4136,406,1120,4684,570,1848,853,360,146,241.0,1128,202.0,85.0,811.0,227,272.0,1608,231,84.0,602,125.0,240.0,233.0,109.0,272.0,79.0
2009,4658,523,1414,5407,791,2131,1145,431,210,276.0,1378,325.0,121.0,989.0,305,277.0,1747,253,144.0,752,140.0,365.0,286.0,113.0,300.0,67.0
2010,5471,805,1778,7217,1102,2547,1327,735,334,366.0,1814,456.0,195.0,1169.0,366,378.0,1998,329,203.0,925,187.0,469.0,338.0,157.0,338.0,86.0
