,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1656,114,312,675,191,182,708,36,85,27,332,19,50,864,159,241,529,119,33,158,47,31,7,52,60,10
1981,2035,121,335,687,152,166,977,42,65,38,361,16,37,1006,193,293,533,119,38,169,31,22,8,45,58,16
1982,2208,113,352,800,188,240,953,48,79,41,329,19,62,1028,174,334,556,134,39,204,50,26,9,50,66,12
1983,2426,127,395,890,244,275,1065,54,71,35,426,31,61,1224,189,385,692,165,40,214,53,27,10,42,83,11
1984,2851,157,347,1030,220,291,1167,71,117,51,485,32,73,1260,261,412,761,180,37,243,63,41,18,66,74,11
1985,3107,168,338,1095,244,342,1208,84,99,53,456,36,79,1223,219,445,695,215,33,303,64,40,12,46,80,8
1986,3318,157,351,1065,271,327,1296,105,100,65,422,50,86,1295,205,455,657,277,35,276,65,32,18,54,89,16
1987,4828,166,430,1240,317,381,1618,99,122,75,604,38,93,1531,272,520,1044,344,32,373,92,39,22,92,96,22
1988,6292,208,501,1377,409,450,2135,134,140,115,658,29,118,1662,252,789,1262,418,40,405,129,60,24,142,107,20
1989,6898,239,529,1625,437,521,2116,156,166,122,680,49,161,1917,318,734,1284,516,32,416,111,64,38,138,104,17
1990,8672,277,625,1683,457,698,2627,162,203,234,691,74,184,2019,407,1042,1281,505,37,446,169,58,161,156,108,21
1991,9500,298,680,1888,500,749,2705,162,208,302,775,77,187,2145,430,926,1368,596,43,483,160,46,176,155,118,25
1992,9860,366,722,2098,574,856,2942,242,281,218,891,92,215,2436,431,1098,1438,700,51,478,165,67,88,169,124,28
1993,9808,433,842,2271,578,856,2955,217,246,236,956,112,223,2627,524,985,1461,669,55,528,161,82,87,167,144,30
1994,10131,412,934,2562,615,1056,3158,239,351,239,1019,112,280,2908,555,1024,1552,728,49,579,186,103,98,175,140,35
1995,10691,432,929,2611,708,1105,3285,234,303,247,1114,121,262,3182,592,1082,1626,730,50,628,197,90,84,178,140,37
1996,11927,486,1131,3190,836,1300,3704,300,355,276,1367,126,329,3332,656,1157,1756,812,63,706,209,127,120,169,181,29
1997,12266,491,1028,3219,768,1249,3529,307,329,313,1262,157,314,3671,729,1187,1687,873,60,729,187,110,128,171,162,40
1998,12325,550,1028,3378,928,1409,3737,317,356,275,1426,188,493,3870,764,1281,1733,836,77,798,199,133,129,177,186,47
1999,12488,563,1057,3629,897,1607,3926,320,376,307,1517,199,444,4122,901,1366,1812,838,63,819,214,155,122,196,147,42
2000,13082,619,1151,3892,1127,1757,4109,382,419,386,1665,246,611,4318,1026,1453,1924,950,80,850,197,156,122,174,209,45
2001,13263,737,1171,4179,1128,1798,4073,409,402,389,1779,287,755,4887,971,1390,2000,787,75,979,196,171,141,194,199,57
2002,14121,939,1388,9223,1482,6142,4253,447,552,430,2136,394,800,5849,1377,1487,2048,872,100,1132,221,317,173,210,258,68
2003,15959,1013,1557,7373,1749,4120,5165,490,610,454,2290,427,1032,5975,1421,1655,2123,933,104,1167,271,288,190,219,284,83
2004,17281,1251,1806,7067,1934,3771,5363,557,691,511,2303,486,1038,6189,1538,1694,2143,1033,108,1147,296,307,225,247,287,81
2005,18182,1440,2014,7625,1958,4246,5416,635,751,572,2333,594,1283,6421,1562,1652,2064,1069,150,1259,331,297,237,234,300,99
2006,19982,1696,2171,8923,2356,4748,5859,715,915,673,2487,670,1404,6862,1701,1850,2069,1088,152,1406,336,437,304,196,305,95
2007,20825,1925,2542,8478,2518,4892,6387,790,1028,661,2524,813,1588,6810,1832,1900,2022,1154,198,1510,346,451,348,237,327,141
2008,24246,2313,2666,9596,2737,5001,6914,1058,1188,764,2592,1029,1888,6685,2035,2249,2069,1307,239,1530,395,528,358,287,333,131
2009,25663,2743,2889,9842,3033,5242,7196,1079,1439,818,2938,1207,1945,6960,2136,2197,2066,1467,328,1523,432,581,442,275,346,151
2010,25549,3136,3066,10678,3254,5586,7189,1310,1649,863,3022,1276,2090,7277,2229,2486,1958,1325,338,1539,389,604,527,285,291,128
2011,26642,3560,3310,11145,3544,5305,7485,1375,1829,930,3116,1520,2299,7075,2187,2452,1981,1354,430,1687,408,697,529,293,344,132
2012,29147,4117,3360,12023,3736,5653,8165,1615,2303,1039,3237,1753,2590,7707,2506,2685,1900,1341,527,1675,445,729,681,344,388,173
2013,31703,4569,3866,13006,4524,5852,8258,1782,2506,1210,3338,1935,2623,7624,2640,2837,1985,1520,662,1846,489,800,614,303,360,204
2014,32509,5104,3897,14745,4881,6152,8537,2001,2760,1297,3798,1966,2709,7937,2767,2897,1952,1583,741,1803,499,844,591,326,418,202
2015,34619,5667,4335,15402,5024,6086,9071,2194,3295,1420,3892,2110,2705,7815,2880,3041,1941,1592,812,1783,531,858,564,338,433,225
2016,35228,6038,4648,15400,5448,5990,8973,2091,3400,1487,3956,2191,2861,8849,2981,2780,1946,1516,835,1878,601,864,589,345,392,191
2017,36317,6679,4425,16462,5378,6079,8818,2373,3802,1545,3803,2387,2810,8357,3220,3050,1720,1612,828,1703,629,966,638,351,463,208
2018,38503,6996,4545,16535,5826,6166,9040,2384,4150,1618,3824,2602,2854,8143,3144,3004,1684,1623,798,1750,634,903,675,364,447,230
2019,41469,7952,5174,17749,6183,6553,9706,2681,4249,1871,4003,2718,2888,8166,3372,3349,1811,1831,839,1840,684,911,816,408,467,213
2020,52375,8980,6026,18336,7728,6859,10886,3731,4232,2287,4229,3035,3407,8208,4175,3621,1997,1999,982,2411,819,1017,1101,430,470,332
2021,53714,9039,6133,18933,8067,6945,11060,4205,4124,2235,4073,3047,3283,8065,4129,3958,1852,2048,983,2494,779,948,1052,464,477,320
2022,50696,8501,5909,19032,7598,7227,10544,4089,3846,2018,3802,2890,3207,8524,3477,3596,1810,2053,1010,2662,711,979,1020,425,459,319
2023,48843,8660,5845,20762,7886,7975,10043,3780,3987,2162,3906,3037,3186,8618,3497,3500,1801,2042,1064,2358,654,1000,999,404,497,323
2024,49267,8899,6257,21645,8011,8447,10083,3914,3895,2374,4012,3088,3052,8142,3482,3452,1801,1873,1054,2289,694,1130,1002,415,510,289
