,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,10,5,3,4,1.0,4,2,1.0,2.0,1.0,4.0,1.0,,,1,,5,,,3.0,,,,,1.0,
1981,10,2,4,13,3.0,3,1,,3.0,,,,1.0,4.0,3,,3,,,3.0,,2.0,,1.0,1.0,
1982,11,8,3,15,,5,4,2.0,1.0,,4.0,1.0,,6.0,2,,4,,,2.0,1.0,1.0,,1.0,2.0,
1983,17,2,2,12,5.0,1,6,3.0,,1.0,5.0,,,9.0,2,,5,,1.0,4.0,,2.0,,,3.0,1.0
1984,10,15,11,14,4.0,3,4,3.0,5.0,3.0,7.0,1.0,1.0,9.0,6,,6,1.0,,,,2.0,1.0,,,
1985,15,7,13,15,7.0,4,3,5.0,3.0,4.0,2.0,1.0,,4.0,7,1.0,15,,1.0,6.0,,1.0,,4.0,4.0,1.0
1986,30,9,16,31,8.0,7,6,4.0,3.0,2.0,9.0,,3.0,7.0,3,2.0,16,1.0,5.0,7.0,3.0,,1.0,2.0,3.0,1.0
1987,26,8,8,60,6.0,5,11,5.0,4.0,2.0,7.0,1.0,,20.0,7,1.0,30,1.0,5.0,6.0,3.0,2.0,1.0,2.0,4.0,2.0
1988,65,12,15,53,7.0,10,15,5.0,4.0,3.0,9.0,1.0,2.0,13.0,9,3.0,34,1.0,4.0,12.0,1.0,2.0,,4.0,11.0,
1989,41,16,14,61,11.0,4,11,2.0,5.0,1.0,15.0,4.0,,3.0,4,2.0,44,1.0,5.0,9.0,2.0,2.0,3.0,9.0,2.0,1.0
1990,43,9,13,71,8.0,9,19,1.0,,5.0,10.0,,,8.0,6,2.0,39,1.0,9.0,4.0,3.0,5.0,1.0,2.0,3.0,4.0
1991,35,4,23,54,4.0,12,14,3.0,3.0,9.0,17.0,1.0,1.0,6.0,5,2.0,27,1.0,5.0,8.0,1.0,3.0,1.0,3.0,2.0,1.0
1992,38,12,18,45,7.0,4,8,6.0,5.0,5.0,8.0,1.0,,8.0,9,3.0,20,2.0,9.0,13.0,1.0,1.0,,3.0,4.0,2.0
1993,46,15,10,55,8.0,10,10,3.0,3.0,2.0,10.0,,,11.0,6,3.0,15,2.0,9.0,12.0,,2.0,1.0,,1.0,1.0
1994,44,17,22,62,10.0,15,16,1.0,7.0,7.0,7.0,2.0,,15.0,5,1.0,15,4.0,8.0,13.0,2.0,2.0,4.0,1.0,,
1995,58,10,30,70,16.0,9,18,6.0,7.0,5.0,16.0,4.0,3.0,10.0,8,2.0,16,2.0,8.0,9.0,1.0,5.0,5.0,3.0,3.0,
1996,59,14,63,63,27.0,13,23,4.0,7.0,5.0,14.0,2.0,,15.0,8,1.0,27,2.0,9.0,12.0,6.0,1.0,5.0,2.0,4.0,2.0
1997,71,16,28,79,22.0,13,25,3.0,9.0,9.0,16.0,4.0,4.0,15.0,4,2.0,35,6.0,10.0,16.0,,4.0,8.0,6.0,5.0,
1998,87,13,42,118,23.0,21,30,6.0,6.0,8.0,23.0,4.0,1.0,16.0,11,2.0,19,5.0,11.0,9.0,8.0,1.0,13.0,8.0,4.0,
1999,127,15,41,111,35.0,21,25,3.0,9.0,6.0,14.0,10.0,5.0,15.0,11,4.0,40,3.0,9.0,14.0,4.0,4.0,10.0,8.0,2.0,3.0
2000,127,10,37,103,34.0,24,43,8.0,10.0,8.0,20.0,6.0,2.0,25.0,20,8.0,35,7.0,7.0,22.0,2.0,8.0,7.0,5.0,5.0,1.0
2001,115,21,49,116,36.0,21,25,3.0,8.0,10.0,15.0,4.0,3.0,27.0,13,1.0,35,5.0,8.0,22.0,5.0,6.0,14.0,8.0,6.0,1.0
2002,126,21,63,185,55.0,58,34,2.0,7.0,11.0,29.0,12.0,5.0,40.0,15,5.0,41,6.0,5.0,37.0,3.0,9.0,27.0,6.0,7.0,1.0
2003,124,21,79,181,57.0,55,42,3.0,14.0,13.0,33.0,15.0,11.0,37.0,21,10.0,42,6.0,11.0,36.0,6.0,10.0,19.0,7.0,8.0,4.0
2004,168,22,55,192,57.0,62,37,8.0,15.0,19.0,24.0,12.0,10.0,36.0,19,7.0,48,7.0,11.0,46.0,11.0,6.0,24.0,7.0,2.0,4.0
2005,155,37,63,219,58.0,109,44,13.0,6.0,23.0,42.0,21.0,16.0,47.0,22,6.0,64,9.0,11.0,48.0,8.0,11.0,25.0,9.0,4.0,1.0
2006,193,33,73,240,80.0,150,52,17.0,10.0,25.0,44.0,23.0,11.0,49.0,36,10.0,49,5.0,9.0,65.0,6.0,21.0,46.0,17.0,7.0,1.0
2007,227,52,84,236,98.0,139,58,11.0,19.0,18.0,64.0,17.0,21.0,42.0,29,9.0,73,21.0,17.0,79.0,6.0,13.0,27.0,14.0,11.0,4.0
2008,279,68,81,267,99.0,198,83,16.0,19.0,28.0,44.0,36.0,6.0,54.0,25,10.0,79,18.0,17.0,57.0,12.0,15.0,36.0,16.0,17.0,4.0
2009,311,92,81,299,113.0,220,89,35.0,13.0,52.0,58.0,34.0,20.0,64.0,26,11.0,87,17.0,19.0,84.0,16.0,26.0,42.0,8.0,10.0,6.0
2010,372,116,118,316,108.0,284,99,25.0,40.0,53.0,72.0,82.0,26.0,60.0,30,12.0,72,19.0,19.0,73.0,14.0,43.0,44.0,21.0,14.0,3.0
2011,376,157,95,319,93.0,287,97,51.0,61.0,43.0,75.0,97.0,25.0,82.0,30,14.0,81,17.0,19.0,107.0,12.0,40.0,42.0,12.0,7.0,1.0
