,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,1.0,45,8,7,,12,2.0,,,1.0,,,,1.0,,1.0,3.0,,,3.0,,,,,1.0
1981,4,2.0,28,5,5,1.0,13,,,,2.0,2.0,,1.0,,,3.0,1.0,,,5.0,,,,1.0,
1982,3,5.0,45,4,7,,5,,,1.0,4.0,2.0,2.0,2.0,3.0,,,3.0,,,,,,1.0,,
1983,8,2.0,29,7,11,,6,2.0,2.0,,2.0,1.0,,,,,1.0,4.0,1.0,,1.0,,,,1.0,1.0
1984,7,1.0,40,9,9,1.0,11,1.0,1.0,,2.0,,1.0,,3.0,,,3.0,,,3.0,,,,,2.0
1985,7,2.0,25,3,9,,10,2.0,,2.0,1.0,1.0,,,,3.0,2.0,1.0,,,3.0,1.0,,,,3.0
1986,9,1.0,20,6,9,,6,,,,1.0,,1.0,1.0,1.0,,4.0,2.0,,,4.0,,,,,
1987,9,1.0,22,3,9,,4,2.0,1.0,,2.0,,,1.0,,,3.0,4.0,,,9.0,,,,,
1988,14,,23,8,11,1.0,14,,1.0,1.0,2.0,,1.0,2.0,2.0,3.0,2.0,1.0,,,5.0,,,,,
1989,11,2.0,27,4,11,1.0,14,2.0,1.0,2.0,1.0,,,1.0,,2.0,4.0,1.0,,,4.0,,,1.0,,1.0
1990,27,4.0,26,6,15,1.0,16,4.0,1.0,1.0,3.0,,,,2.0,1.0,8.0,,,,,,,1.0,,
1991,30,3.0,21,5,8,1.0,26,1.0,,2.0,3.0,,1.0,1.0,2.0,2.0,3.0,5.0,,1.0,3.0,1.0,,1.0,,
1992,27,1.0,26,5,13,2.0,15,2.0,1.0,3.0,,,2.0,,1.0,1.0,2.0,3.0,,,1.0,,,,2.0,1.0
1993,21,3.0,16,10,8,1.0,9,,,2.0,,,3.0,2.0,2.0,,3.0,2.0,1.0,,3.0,,,,,
1994,16,5.0,18,6,6,,13,3.0,1.0,2.0,,1.0,2.0,,1.0,,1.0,,,2.0,3.0,,1.0,,,
1995,18,5.0,23,2,5,1.0,18,,2.0,5.0,3.0,3.0,3.0,1.0,3.0,,3.0,3.0,,,4.0,,1.0,3.0,,1.0
1996,14,4.0,19,7,7,4.0,16,1.0,,,5.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,,,5.0,1.0,1.0,1.0,,1.0
1997,24,8.0,15,5,3,2.0,12,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,,3.0,2.0,1.0,,1.0,,1.0,2.0,,2.0
1998,29,4.0,23,9,7,2.0,21,7.0,,2.0,2.0,,1.0,2.0,2.0,,1.0,6.0,,,4.0,1.0,,,1.0,1.0
1999,37,7.0,21,10,9,2.0,17,1.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,4.0,8.0,,1.0,4.0,,,,1.0,
2000,45,12.0,14,10,13,3.0,15,2.0,5.0,6.0,2.0,1.0,4.0,1.0,3.0,2.0,,5.0,,1.0,4.0,1.0,,1.0,1.0,
2001,26,8.0,15,18,10,4.0,12,2.0,3.0,6.0,1.0,4.0,2.0,3.0,1.0,3.0,2.0,6.0,1.0,1.0,5.0,,,,1.0,1.0
2002,43,13.0,14,22,8,3.0,10,8.0,1.0,5.0,8.0,1.0,1.0,7.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,3.0,
2003,49,25.0,9,13,10,10.0,9,8.0,1.0,4.0,9.0,,3.0,9.0,4.0,3.0,3.0,4.0,1.0,3.0,,3.0,,1.0,1.0,
2004,54,30.0,17,21,12,14.0,13,10.0,5.0,4.0,8.0,4.0,6.0,7.0,2.0,9.0,4.0,11.0,,6.0,1.0,3.0,1.0,1.0,,2.0
2005,68,27.0,11,27,17,11.0,16,7.0,6.0,2.0,11.0,8.0,5.0,5.0,1.0,3.0,4.0,10.0,1.0,2.0,1.0,3.0,,1.0,,
2006,76,30.0,18,38,20,24.0,25,16.0,7.0,8.0,10.0,5.0,4.0,6.0,6.0,8.0,13.0,8.0,,6.0,3.0,,1.0,2.0,1.0,2.0
2007,71,26.0,13,32,18,24.0,8,9.0,6.0,11.0,3.0,8.0,7.0,6.0,1.0,2.0,3.0,7.0,,1.0,2.0,3.0,1.0,1.0,,1.0
2008,84,24.0,13,19,27,34.0,11,4.0,4.0,8.0,3.0,6.0,2.0,3.0,5.0,3.0,8.0,13.0,,6.0,4.0,2.0,,1.0,1.0,1.0
