,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,17,4,4,7,5,2,6,1.0,,2,4,,,5.0,4,1.0,12,4.0,1,6,,,,1.0,1.0,
1981,21,4,5,23,11,4,8,,,2,5,1.0,,3.0,5,2.0,7,1.0,2,7,1.0,,,1.0,2.0,
1982,23,2,9,37,8,3,8,1.0,1.0,2,3,,1.0,9.0,7,2.0,16,1.0,1,12,1.0,1.0,1.0,1.0,,
1983,44,3,7,40,11,2,12,,2.0,2,7,,,9.0,7,1.0,11,1.0,1,6,,1.0,1.0,2.0,1.0,
1984,48,4,8,48,9,8,13,1.0,1.0,5,8,,1.0,10.0,10,1.0,8,,4,13,,4.0,,,1.0,1.0
1985,60,6,8,40,12,7,11,3.0,,3,9,2.0,,7.0,6,,12,3.0,7,20,2.0,4.0,,1.0,,1.0
1986,77,10,10,68,10,9,18,1.0,3.0,4,10,4.0,3.0,6.0,5,5.0,12,3.0,2,16,1.0,3.0,,4.0,2.0,8.0
1987,81,6,10,86,32,15,33,4.0,4.0,3,14,1.0,2.0,10.0,13,1.0,21,3.0,6,13,3.0,5.0,1.0,,5.0,4.0
1988,133,7,22,53,19,13,40,4.0,3.0,6,9,1.0,4.0,11.0,12,6.0,28,14.0,9,19,2.0,3.0,,1.0,2.0,13.0
1989,150,5,14,111,41,15,51,9.0,4.0,5,9,2.0,6.0,12.0,11,8.0,17,10.0,14,18,4.0,3.0,,2.0,3.0,11.0
1990,162,15,24,91,28,9,47,8.0,2.0,8,16,3.0,2.0,16.0,12,7.0,19,4.0,6,26,4.0,4.0,1.0,,2.0,6.0
1991,92,8,18,46,33,18,16,9.0,1.0,5,11,,4.0,8.0,8,4.0,14,4.0,7,18,3.0,1.0,1.0,1.0,2.0,1.0
1992,79,4,5,33,13,8,5,3.0,2.0,6,3,1.0,2.0,,5,2.0,5,3.0,2,13,1.0,3.0,,1.0,2.0,1.0
1993,63,11,4,44,18,9,11,7.0,1.0,2,16,1.0,4.0,,9,1.0,3,7.0,4,9,,1.0,2.0,,1.0,
1994,73,10,8,83,23,18,13,5.0,1.0,6,18,1.0,4.0,3.0,8,3.0,5,3.0,5,14,2.0,1.0,3.0,1.0,1.0,
1995,86,9,10,88,31,31,21,3.0,1.0,8,21,3.0,8.0,6.0,7,1.0,23,13.0,6,11,3.0,3.0,1.0,2.0,2.0,
1996,114,6,9,135,23,29,22,3.0,3.0,3,20,4.0,5.0,7.0,16,3.0,23,11.0,10,28,5.0,2.0,1.0,3.0,3.0,
1997,103,11,13,167,29,22,29,12.0,4.0,5,22,4.0,1.0,13.0,11,10.0,27,9.0,5,31,9.0,7.0,1.0,1.0,6.0,1.0
1998,165,11,20,144,36,39,40,18.0,2.0,8,25,6.0,5.0,10.0,14,4.0,25,11.0,3,20,7.0,6.0,,3.0,3.0,5.0
1999,195,19,23,161,36,32,43,11.0,2.0,9,21,7.0,3.0,16.0,11,7.0,34,17.0,7,26,8.0,12.0,5.0,2.0,3.0,1.0
2000,178,5,15,143,35,36,29,10.0,1.0,6,17,5.0,2.0,15.0,13,7.0,22,10.0,7,30,9.0,12.0,8.0,2.0,3.0,2.0
2001,177,14,19,139,50,33,39,11.0,2.0,17,19,5.0,3.0,10.0,18,4.0,29,12.0,4,30,7.0,11.0,7.0,1.0,2.0,1.0
2002,172,29,19,183,33,76,39,25.0,8.0,14,24,12.0,5.0,11.0,5,6.0,31,5.0,9,17,4.0,14.0,10.0,1.0,3.0,2.0
2003,220,17,14,168,29,39,51,21.0,5.0,13,12,17.0,10.0,6.0,16,13.0,47,9.0,3,25,6.0,5.0,11.0,1.0,1.0,1.0
2004,229,15,7,150,35,43,56,19.0,3.0,6,13,11.0,10.0,17.0,14,16.0,36,8.0,3,13,6.0,7.0,11.0,7.0,3.0,1.0
2005,254,25,11,182,33,49,63,24.0,3.0,14,18,19.0,14.0,11.0,20,8.0,47,11.0,10,24,,7.0,22.0,6.0,9.0,2.0
2006,255,26,22,192,36,48,33,19.0,5.0,15,32,22.0,8.0,14.0,12,17.0,32,8.0,2,20,2.0,10.0,26.0,6.0,7.0,2.0
2007,290,37,24,239,39,66,44,20.0,4.0,19,30,24.0,8.0,14.0,28,8.0,41,15.0,11,21,2.0,18.0,17.0,11.0,4.0,1.0
2008,379,45,17,205,59,83,74,31.0,2.0,13,32,22.0,17.0,24.0,17,15.0,58,24.0,7,11,10.0,8.0,9.0,8.0,3.0,3.0
2009,326,50,17,240,54,100,51,22.0,5.0,22,31,31.0,13.0,21.0,31,6.0,42,13.0,10,24,5.0,19.0,14.0,1.0,3.0,2.0
2010,316,50,20,232,56,109,61,13.0,13.0,16,43,30.0,8.0,19.0,23,11.0,34,18.0,16,20,7.0,23.0,17.0,5.0,3.0,4.0
2011,335,64,20,278,53,106,61,23.0,16.0,27,25,36.0,22.0,23.0,22,9.0,30,15.0,12,30,7.0,16.0,20.0,5.0,8.0,3.0
2012,327,67,30,256,63,90,52,24.0,12.0,27,43,54.0,25.0,20.0,27,13.0,40,17.0,10,26,4.0,17.0,21.0,4.0,14.0,
2013,399,82,21,301,68,123,73,33.0,14.0,24,38,53.0,20.0,26.0,23,16.0,40,25.0,18,31,7.0,26.0,17.0,1.0,6.0,2.0
2014,438,81,18,326,40,123,80,34.0,17.0,34,38,66.0,29.0,36.0,38,19.0,28,28.0,15,27,7.0,21.0,27.0,1.0,5.0,2.0
