,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,1.0,1.0,3,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,
1981,,,,12,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,
1982,,,,7,,,,,,,5.0,,,,,,,,,,,,,,,
1983,,,,10,1.0,,,,,,2.0,,1.0,,1.0,,3.0,,,,,,,,,
1984,,,,11,,,,,,,2.0,,,,1.0,,,,,,,,,,,
1985,,,,7,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,
1986,3.0,,,13,,,,,,,1.0,,,,1.0,,,,,,,,,,,
1987,,,,7,,1.0,,1.0,,,2.0,,,2.0,,,1.0,,1.0,,1.0,,,,,
1988,1.0,,,5,1.0,,,,,,4.0,1.0,,1.0,3.0,,,,,,,,,,,
1989,2.0,2.0,,8,,,1.0,,2.0,,6.0,,,,1.0,,,,,,,,,,,
1990,2.0,2.0,,8,,,,2.0,,,5.0,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,,1.0,
1991,,1.0,,7,2.0,,,3.0,4.0,,1.0,,,,,,,,,,,1.0,,,,
1992,2.0,,,10,,,1.0,1.0,1.0,,1.0,1.0,,3.0,,,,2.0,,,,1.0,,,,
1993,1.0,,,11,,,,3.0,,1.0,3.0,,,,,,,,1.0,,,,,,,
1994,,1.0,,10,,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,3.0,,,1.0,,1.0,,,,
1995,4.0,3.0,,10,,,,,,,,,,2.0,1.0,,5.0,,,,,,2.0,,,
1996,2.0,1.0,,2,1.0,,,1.0,,,2.0,1.0,,,,,1.0,,,,,1.0,1.0,,,
1997,2.0,5.0,,8,,3.0,,,1.0,,2.0,,1.0,1.0,,,6.0,,,1.0,,,2.0,,,
1998,1.0,1.0,1.0,1,,1.0,,,,,5.0,,,,,,2.0,,,,,,,,,
1999,3.0,3.0,,13,,1.0,,1.0,,,3.0,,1.0,1.0,,,8.0,1.0,,,,,1.0,,,
2000,1.0,1.0,,20,,,2.0,,1.0,,2.0,,,,,1.0,2.0,,,,,,4.0,,,
2001,1.0,1.0,,7,,,,1.0,1.0,,2.0,1.0,,1.0,,,3.0,,,,,,1.0,,,
2002,2.0,,,12,,1.0,1.0,1.0,,,1.0,4.0,,1.0,,,2.0,1.0,,,,,2.0,1.0,1.0,
2003,1.0,5.0,,9,,,,1.0,,,2.0,,,,,,2.0,,1.0,,,1.0,3.0,,,
2004,4.0,2.0,4.0,11,2.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,,1.0,3.0,,,,,,5.0,,,
2005,3.0,6.0,1.0,14,,,1.0,,1.0,1.0,2.0,5.0,1.0,1.0,,,5.0,,,,,,13.0,,1.0,
2006,3.0,6.0,1.0,23,,1.0,1.0,,3.0,,7.0,7.0,,2.0,,,5.0,,,,,,8.0,,,1.0
2007,5.0,1.0,3.0,19,,3.0,3.0,1.0,1.0,,5.0,4.0,,1.0,5.0,1.0,5.0,,1.0,,,3.0,10.0,,1.0,
2008,9.0,6.0,3.0,15,2.0,4.0,2.0,,,,5.0,21.0,2.0,2.0,,,4.0,1.0,,,1.0,1.0,7.0,,,
2009,13.0,11.0,,14,,5.0,2.0,1.0,30.0,4.0,2.0,21.0,3.0,3.0,1.0,,9.0,2.0,,,,1.0,6.0,1.0,,
2010,11.0,7.0,2.0,12,1.0,3.0,3.0,1.0,,,2.0,23.0,,7.0,,3.0,2.0,,,,1.0,3.0,13.0,2.0,,
2011,10.0,4.0,,25,2.0,1.0,3.0,1.0,1.0,2.0,6.0,30.0,2.0,1.0,,1.0,5.0,,,,,2.0,6.0,,,
2012,16.0,8.0,1.0,19,1.0,2.0,,2.0,5.0,7.0,6.0,24.0,6.0,4.0,,1.0,2.0,,,4.0,,2.0,11.0,,,
2013,25.0,15.0,1.0,19,1.0,1.0,9.0,6.0,6.0,10.0,5.0,30.0,3.0,,1.0,2.0,4.0,1.0,,3.0,,2.0,5.0,,1.0,1.0
2014,34.0,14.0,,24,3.0,4.0,1.0,2.0,3.0,2.0,6.0,35.0,10.0,,1.0,3.0,7.0,1.0,,2.0,,4.0,6.0,,,
2015,27.0,13.0,3.0,33,1.0,4.0,3.0,4.0,5.0,,9.0,21.0,11.0,2.0,,,7.0,2.0,,2.0,,2.0,11.0,,,
2016,29.0,14.0,1.0,30,1.0,2.0,3.0,1.0,4.0,2.0,10.0,33.0,10.0,1.0,,,3.0,2.0,,1.0,1.0,3.0,10.0,,,
2017,44.0,23.0,4.0,29,2.0,13.0,3.0,5.0,4.0,,6.0,38.0,14.0,,,1.0,10.0,,2.0,1.0,,4.0,8.0,1.0,,
2018,51.0,23.0,2.0,36,2.0,9.0,6.0,3.0,3.0,4.0,8.0,33.0,16.0,,1.0,1.0,9.0,,,,2.0,6.0,1.0,,,
2019,55.0,16.0,1.0,31,1.0,9.0,10.0,6.0,3.0,3.0,2.0,28.0,10.0,,,1.0,3.0,1.0,1.0,,,9.0,1.0,,,
2020,51.0,22.0,,21,2.0,16.0,7.0,2.0,8.0,1.0,4.0,25.0,12.0,1.0,,4.0,4.0,1.0,,1.0,1.0,5.0,8.0,,1.0,1.0
2021,66.0,13.0,1.0,33,4.0,22.0,7.0,2.0,,2.0,5.0,26.0,11.0,1.0,1.0,,,4.0,,,1.0,7.0,2.0,3.0,,
2022,80.0,24.0,2.0,30,1.0,24.0,6.0,7.0,5.0,3.0,12.0,12.0,15.0,2.0,,1.0,,,,2.0,2.0,1.0,11.0,,1.0,
2023,67.0,33.0,3.0,30,6.0,18.0,10.0,3.0,3.0,4.0,4.0,16.0,16.0,1.0,,2.0,3.0,1.0,,,1.0,4.0,5.0,3.0,,
2024,88.0,18.0,1.0,33,7.0,22.0,7.0,8.0,3.0,3.0,4.0,12.0,9.0,,5.0,1.0,4.0,2.0,1.0,,1.0,1.0,4.0,,,1.0
