,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,3,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,
1981,1.0,7,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0
1982,,4,1.0,,1.0,,,,,,1.0,1.0,2.0,,,,1.0,,,1.0,,,,,,
1983,,5,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1984,1.0,4,2.0,,1.0,,,,,,,,2.0,,,,,,,3.0,,,,,,
1985,3.0,3,3.0,3.0,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,
1986,,1,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
1987,1.0,2,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,
1988,1.0,3,4.0,1.0,,7.0,,,,,,,1.0,,,,,,,,1.0,,,,,
1989,,2,,,,2.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,
1990,1.0,2,2.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,
1991,1.0,2,,,,5.0,1.0,,,,,,,,,,,,,2.0,,,,,,
1992,,4,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,
1993,1.0,5,,1.0,2.0,,,,2.0,1.0,,,,,,,2.0,,,1.0,,,,,,
1994,1.0,7,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,
1995,,3,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
1996,,7,1.0,,,2.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,
1997,,3,4.0,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,
1998,1.0,6,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
1999,,7,2.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
2000,6.0,3,3.0,,3.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,
2001,3.0,8,4.0,,5.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,
2002,3.0,9,,3.0,3.0,2.0,2.0,,1.0,,,,2.0,1.0,,,,,,1.0,,,,,,
2003,3.0,5,3.0,1.0,,2.0,,1.0,2.0,,,,2.0,,,,1.0,,,,2.0,,,,,
2004,3.0,7,1.0,4.0,1.0,1.0,,2.0,,2.0,1.0,,5.0,2.0,,,1.0,,,,,1.0,,,,
2005,4.0,13,,1.0,3.0,,,2.0,1.0,,,,1.0,3.0,,,,,,,,,,,,
2006,1.0,6,2.0,2.0,4.0,1.0,,2.0,3.0,1.0,2.0,3.0,2.0,3.0,,,1.0,,1.0,,,,,,,
2007,4.0,13,10.0,,5.0,,,,5.0,,4.0,,3.0,,,1.0,1.0,,,1.0,,,,,1.0,
2008,4.0,18,4.0,1.0,3.0,3.0,2.0,,2.0,,7.0,1.0,4.0,1.0,,,1.0,,,1.0,,,,1.0,,
2009,11.0,16,5.0,2.0,4.0,,4.0,,1.0,2.0,4.0,2.0,,3.0,,,1.0,,2.0,,2.0,1.0,,,,
2010,2.0,25,6.0,6.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,6.0,3.0,,,,,,,1.0,2.0,,,,,
2011,2.0,19,10.0,5.0,2.0,,1.0,1.0,,3.0,,2.0,4.0,1.0,,,2.0,1.0,3.0,1.0,1.0,,,,,
2012,10.0,18,2.0,3.0,4.0,,1.0,,5.0,1.0,,,6.0,3.0,,,,1.0,1.0,,,1.0,,,,
2013,13.0,21,10.0,2.0,3.0,1.0,,2.0,2.0,,1.0,5.0,6.0,1.0,1.0,,1.0,,,,,,,,,1.0
2014,9.0,36,4.0,4.0,3.0,2.0,,,2.0,2.0,,3.0,5.0,,1.0,,3.0,1.0,,,1.0,1.0,,,,2.0
2015,16.0,31,6.0,8.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,6.0,8.0,,,,3.0,,2.0,,1.0,1.0,,,,
2016,9.0,32,8.0,3.0,6.0,2.0,,2.0,6.0,5.0,1.0,2.0,4.0,1.0,1.0,,2.0,,1.0,,,,,,,
2017,13.0,21,4.0,,4.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,,2.0,,2.0,1.0,2.0,1.0,,,,,,
2018,19.0,21,6.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,10.0,,2.0,,2.0,,,,2.0,,,,1.0,
2019,15.0,18,11.0,5.0,7.0,5.0,1.0,3.0,5.0,5.0,3.0,6.0,4.0,,2.0,,1.0,,,1.0,1.0,2.0,,,,
2020,25.0,31,22.0,3.0,7.0,6.0,4.0,3.0,6.0,2.0,2.0,5.0,4.0,,,,2.0,1.0,,,1.0,,,1.0,,1.0
2021,31.0,50,26.0,7.0,11.0,5.0,1.0,6.0,5.0,3.0,2.0,4.0,5.0,3.0,2.0,,,3.0,,,,1.0,2.0,1.0,,4.0
2022,27.0,40,25.0,1.0,19.0,5.0,2.0,8.0,11.0,9.0,1.0,7.0,11.0,2.0,2.0,,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,,
2023,43.0,48,16.0,3.0,12.0,6.0,4.0,8.0,7.0,9.0,2.0,10.0,12.0,1.0,,,,3.0,,2.0,,5.0,,1.0,,4.0
2024,44.0,46,19.0,2.0,14.0,12.0,2.0,10.0,2.0,8.0,1.0,6.0,6.0,,1.0,2.0,,2.0,,,2.0,1.0,,1.0,,
