,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,6,15,1.0,21,1.0,2,9,2.0,18,,5,1.0,,10,,,8,,1.0,,,,,2.0,,
1981,4,13,,19,1.0,1,5,,17,,11,,1.0,7,2.0,2.0,5,,,1.0,,2.0,,,,
1982,7,9,5.0,20,,1,9,,13,,6,,1.0,11,1.0,,7,,,,,1.0,,,,
1983,4,7,3.0,38,2.0,2,6,1.0,13,,13,,,17,,1.0,8,1.0,,,,,,1.0,,
1984,1,9,3.0,25,4.0,4,10,,10,,9,1.0,2.0,16,,,13,2.0,1.0,,,1.0,,1.0,3.0,
1985,6,15,4.0,19,,2,9,,10,1.0,11,,1.0,9,3.0,,8,,,1.0,,1.0,,,1.0,
1986,7,11,1.0,34,2.0,8,7,1.0,14,2.0,4,1.0,2.0,12,4.0,1.0,10,,,2.0,,2.0,,,,
1987,8,15,3.0,25,1.0,1,4,2.0,12,2.0,10,,,7,3.0,,17,1.0,,,1.0,,,2.0,,
1988,14,10,1.0,24,5.0,7,5,1.0,9,1.0,8,4.0,,18,1.0,1.0,19,,,1.0,,,,1.0,,
1989,14,17,3.0,36,1.0,6,10,1.0,23,1.0,9,1.0,1.0,15,4.0,6.0,7,,,1.0,1.0,,,,,
1990,17,15,,20,8.0,2,12,3.0,14,,14,,1.0,15,3.0,,8,,,4.0,,1.0,,2.0,,
1991,22,11,6.0,34,10.0,6,14,1.0,1,3.0,20,,1.0,33,3.0,5.0,17,2.0,,6.0,,1.0,,1.0,2.0,2.0
1992,19,13,6.0,51,9.0,10,17,,11,,21,,2.0,39,3.0,1.0,20,1.0,1.0,6.0,,,,2.0,,
1993,21,14,8.0,48,4.0,3,8,2.0,4,4.0,19,,3.0,44,6.0,1.0,17,,,6.0,,2.0,1.0,1.0,,
1994,25,44,2.0,71,9.0,7,11,6.0,48,1.0,29,,6.0,50,8.0,,14,2.0,1.0,15.0,1.0,2.0,,3.0,2.0,
1995,22,28,9.0,70,8.0,10,16,3.0,13,6.0,32,2.0,5.0,44,6.0,2.0,21,2.0,3.0,11.0,,5.0,,1.0,,
1996,31,38,13.0,119,15.0,10,22,1.0,3,7.0,24,10.0,8.0,51,11.0,3.0,20,4.0,2.0,20.0,,6.0,1.0,1.0,2.0,
