,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,5,5,2.0,2,2,1.0,5.0,2.0,4,3,,,,2.0,2.0,,7.0,,,,,,,,,1.0
1981,7,6,3.0,2,3,1.0,4.0,2.0,1,7,3.0,3.0,1.0,2.0,,1.0,5.0,,,,,,,,,
1982,11,5,4.0,7,3,2.0,5.0,2.0,3,5,1.0,1.0,2.0,3.0,8.0,1.0,2.0,,,1.0,,,,,,
1983,11,7,7.0,4,8,2.0,1.0,,6,8,4.0,1.0,,1.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,
1984,15,7,4.0,3,2,4.0,3.0,1.0,6,13,3.0,3.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,1.0,
1985,12,10,5.0,3,2,,2.0,4.0,1,17,2.0,,3.0,3.0,2.0,,1.0,1.0,1.0,1.0,,,,,,
1986,13,11,1.0,6,3,1.0,,2.0,5,16,2.0,,2.0,1.0,3.0,,,2.0,,1.0,,,,,,
1987,12,11,,3,3,3.0,4.0,,8,9,2.0,3.0,2.0,,3.0,3.0,,,,1.0,,,,,,1.0
1988,17,11,3.0,2,1,3.0,9.0,3.0,14,7,,1.0,2.0,,3.0,3.0,1.0,3.0,,,,,,1.0,,
1989,15,17,6.0,6,4,1.0,5.0,8.0,14,9,2.0,2.0,10.0,3.0,4.0,2.0,1.0,,,1.0,,,,,,
1990,37,28,14.0,11,2,3.0,13.0,7.0,13,4,1.0,4.0,2.0,,3.0,2.0,,,,4.0,,,2.0,,,
1991,42,24,4.0,2,4,4.0,4.0,3.0,11,6,,4.0,6.0,,6.0,1.0,1.0,2.0,,,,2.0,,,1.0,
1992,26,26,5.0,7,5,2.0,7.0,2.0,20,7,1.0,5.0,6.0,,4.0,3.0,2.0,5.0,,,1.0,,1.0,,,
1993,35,37,7.0,11,5,4.0,14.0,5.0,14,2,1.0,6.0,7.0,1.0,3.0,5.0,3.0,5.0,,3.0,,,1.0,2.0,1.0,1.0
1994,26,31,4.0,11,6,2.0,17.0,6.0,20,10,3.0,5.0,14.0,2.0,3.0,3.0,,9.0,,2.0,,,,,,
1995,39,47,5.0,14,3,3.0,10.0,4.0,32,8,3.0,5.0,14.0,2.0,3.0,5.0,1.0,5.0,,2.0,,3.0,,,,
1996,42,42,7.0,8,3,4.0,19.0,5.0,22,10,3.0,5.0,13.0,8.0,2.0,8.0,,2.0,,5.0,,,1.0,,,
1997,48,38,5.0,9,5,5.0,18.0,8.0,21,11,1.0,6.0,13.0,6.0,2.0,6.0,3.0,3.0,,2.0,1.0,,,4.0,,
1998,52,53,5.0,17,11,8.0,13.0,14.0,29,5,2.0,11.0,18.0,2.0,4.0,4.0,3.0,2.0,,10.0,,,,1.0,,
1999,46,59,12.0,20,11,12.0,13.0,8.0,42,11,4.0,6.0,25.0,5.0,8.0,5.0,2.0,5.0,,5.0,,4.0,,,1.0,
2000,58,63,11.0,15,5,8.0,18.0,7.0,50,6,1.0,16.0,13.0,7.0,5.0,10.0,3.0,5.0,,5.0,,1.0,,3.0,,
2001,75,112,11.0,47,11,18.0,16.0,10.0,42,9,3.0,19.0,28.0,8.0,6.0,7.0,1.0,3.0,3.0,7.0,1.0,7.0,,1.0,2.0,
