,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,19,20,2,34,4,3,2,4.0,1,3.0,38,12,8,17,,1.0,38,,1.0,2,,1,,1.0,3.0,
1981,14,22,7,20,5,7,7,3.0,2,3.0,27,17,8,6,1.0,1.0,19,,1.0,2,,5,,1.0,4.0,
1982,15,22,6,26,2,3,7,2.0,4,4.0,26,19,11,9,,,31,,1.0,2,1.0,3,,1.0,4.0,
1983,11,18,5,22,2,4,5,6.0,4,1.0,30,13,6,9,2.0,,31,2.0,1.0,1,,4,,1.0,1.0,
1984,12,26,2,17,6,4,4,5.0,2,5.0,27,28,6,10,2.0,1.0,40,1.0,,7,1.0,3,,1.0,,
1985,12,31,4,20,5,4,7,3.0,3,,21,19,12,5,3.0,,33,,1.0,1,,2,,4.0,5.0,
1986,16,29,2,36,5,4,13,6.0,2,,25,20,9,12,,3.0,30,1.0,3.0,3,3.0,1,,1.0,,
1987,15,34,4,20,9,3,7,2.0,2,2.0,15,28,18,9,1.0,1.0,42,1.0,,2,1.0,6,,1.0,,
1988,21,35,8,25,5,5,9,3.0,7,2.0,17,25,8,3,1.0,4.0,49,,,2,3.0,9,,3.0,1.0,
1989,16,39,1,28,4,3,8,5.0,17,3.0,26,29,17,12,2.0,2.0,57,3.0,1.0,7,,4,,3.0,2.0,
1990,12,43,3,34,10,7,7,,9,8.0,27,37,20,11,1.0,4.0,52,1.0,,3,5.0,18,,3.0,4.0,
1991,21,46,7,42,6,8,10,6.0,7,7.0,53,44,32,22,3.0,3.0,55,,1.0,3,1.0,7,,3.0,3.0,
1992,30,63,11,45,8,10,9,11.0,7,9.0,55,38,12,32,2.0,3.0,70,2.0,1.0,6,3.0,13,,2.0,4.0,
1993,28,61,12,53,18,8,15,10.0,7,11.0,50,71,26,39,7.0,2.0,56,5.0,,2,,9,1.0,2.0,4.0,
1994,35,71,8,62,5,16,8,8.0,10,2.0,58,48,27,34,2.0,1.0,27,2.0,1.0,4,,6,,8.0,1.0,
1995,29,59,7,62,8,15,26,5.0,13,6.0,63,67,27,33,5.0,3.0,40,1.0,1.0,8,,13,3.0,,2.0,
1996,37,92,6,52,16,17,25,6.0,3,7.0,61,74,30,32,5.0,4.0,35,4.0,,7,4.0,15,,1.0,2.0,
1997,45,85,10,66,14,18,42,8.0,15,12.0,93,50,29,43,14.0,4.0,39,2.0,1.0,7,4.0,15,,3.0,1.0,
1998,45,82,14,71,21,14,26,15.0,12,6.0,62,66,45,17,10.0,17.0,39,4.0,,11,9.0,15,,4.0,3.0,
1999,62,73,15,78,17,19,28,8.0,5,6.0,65,74,25,46,21.0,5.0,46,4.0,2.0,6,5.0,16,2.0,4.0,,1.0
2000,54,102,17,67,24,21,36,10.0,10,8.0,56,100,27,48,4.0,3.0,59,2.0,1.0,9,1.0,15,,5.0,1.0,
2001,63,114,24,81,33,18,29,16.0,9,7.0,88,82,38,39,17.0,6.0,61,4.0,4.0,10,7.0,15,1.0,9.0,2.0,
2002,75,127,34,111,24,26,41,8.0,16,11.0,72,94,43,45,7.0,6.0,61,3.0,2.0,8,10.0,19,1.0,7.0,3.0,
2003,73,164,26,122,23,40,33,14.0,14,7.0,96,115,45,40,7.0,11.0,72,6.0,3.0,8,7.0,20,2.0,9.0,3.0,
2004,93,179,43,97,36,36,49,11.0,11,11.0,71,105,57,42,9.0,12.0,53,12.0,3.0,5,8.0,16,1.0,5.0,1.0,1.0
2005,82,276,36,128,26,34,44,9.0,15,17.0,89,132,82,65,9.0,14.0,43,8.0,5.0,19,3.0,23,3.0,7.0,2.0,1.0
2006,117,272,39,147,35,54,46,21.0,16,17.0,85,151,99,50,9.0,10.0,39,5.0,7.0,12,6.0,34,6.0,9.0,3.0,
2007,127,330,46,152,59,67,50,15.0,17,23.0,101,170,80,55,10.0,10.0,48,8.0,6.0,19,9.0,29,1.0,6.0,,
2008,135,425,53,177,56,82,60,26.0,29,22.0,94,177,97,66,15.0,12.0,41,13.0,9.0,23,6.0,41,4.0,1.0,5.0,
2009,193,356,71,244,59,93,76,21.0,21,24.0,114,212,143,67,13.0,13.0,44,10.0,11.0,18,1.0,30,4.0,2.0,3.0,
2010,229,451,87,230,77,109,80,31.0,37,33.0,98,224,120,60,18.0,21.0,35,13.0,16.0,16,4.0,50,6.0,6.0,7.0,
2011,252,441,95,310,100,107,84,50.0,56,29.0,170,249,143,55,31.0,13.0,45,7.0,27.0,30,19.0,49,14.0,7.0,10.0,2.0
2012,271,505,114,359,113,142,121,60.0,69,34.0,166,275,193,62,36.0,25.0,67,16.0,14.0,22,7.0,41,8.0,8.0,4.0,2.0
2013,309,487,113,385,123,138,115,49.0,64,27.0,183,232,178,51,20.0,19.0,112,38.0,23.0,17,12.0,46,9.0,9.0,4.0,
2014,344,606,142,471,139,172,114,77.0,73,43.0,154,304,219,47,40.0,22.0,85,23.0,22.0,20,10.0,60,4.0,12.0,10.0,4.0
2015,407,685,170,592,170,296,117,104.0,80,68.0,207,353,190,64,52.0,27.0,82,20.0,42.0,27,14.0,70,2.0,12.0,5.0,1.0
2016,364,567,138,497,174,158,137,74.0,101,60.0,197,252,185,55,55.0,20.0,81,23.0,43.0,22,13.0,31,5.0,10.0,3.0,
2017,391,626,216,663,209,209,132,85.0,95,54.0,170,294,193,71,53.0,20.0,40,25.0,57.0,17,26.0,43,7.0,7.0,8.0,2.0
2018,471,695,252,575,197,198,131,93.0,94,66.0,166,273,191,52,41.0,27.0,58,28.0,65.0,19,20.0,38,4.0,10.0,6.0,10.0
2019,573,786,266,675,247,211,148,110.0,111,79.0,173,301,181,123,51.0,22.0,45,30.0,47.0,17,19.0,54,3.0,12.0,11.0,7.0
2020,559,785,305,546,292,236,194,148.0,124,113.0,175,340,223,160,55.0,28.0,65,23.0,43.0,24,13.0,41,6.0,13.0,10.0,3.0
2021,688,813,328,684,310,249,213,189.0,107,97.0,203,340,211,138,56.0,31.0,65,42.0,63.0,26,18.0,45,12.0,9.0,6.0,6.0
