,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,14,6,36,9,4,2.0,21,,6,1.0,7,1.0,2,8.0,5,2,4,3.0,4.0,,5,1.0,,,,6.0
1981,12,7,28,12,7,,20,1.0,1,2.0,4,3.0,2,,5,5,1,,,1.0,2,,,,1.0,2.0
1982,9,10,27,7,4,2.0,23,,6,,9,1.0,1,2.0,7,2,6,3.0,2.0,2.0,1,1.0,,3.0,,
1983,15,7,49,15,6,1.0,27,4.0,4,,8,,3,2.0,5,3,4,2.0,,1.0,5,1.0,,,,3.0
1984,23,8,46,14,6,2.0,27,2.0,7,,10,,3,8.0,11,2,8,5.0,,4.0,5,1.0,,,1.0,2.0
1985,22,6,57,15,16,,52,,8,4.0,4,1.0,3,4.0,8,5,8,9.0,1.0,1.0,2,,,4.0,,2.0
1986,37,14,51,15,18,3.0,67,,7,,9,,3,8.0,6,6,9,5.0,1.0,1.0,2,,,1.0,,6.0
1987,67,7,91,25,18,4.0,97,1.0,4,2.0,15,1.0,3,16.0,10,8,14,7.0,2.0,4.0,5,1.0,,2.0,2.0,3.0
1988,78,30,133,21,23,7.0,109,3.0,3,4.0,20,11.0,7,11.0,9,4,16,19.0,1.0,5.0,8,1.0,,,1.0,5.0
1989,101,13,146,32,35,7.0,134,5.0,10,4.0,13,1.0,2,16.0,8,13,18,24.0,,4.0,8,1.0,2.0,2.0,2.0,2.0
1990,95,12,139,38,25,14.0,112,2.0,7,1.0,15,2.0,4,12.0,11,11,20,16.0,1.0,6.0,13,1.0,2.0,3.0,,7.0
1991,112,18,169,44,21,14.0,121,7.0,10,2.0,25,1.0,2,14.0,15,18,30,22.0,3.0,5.0,12,1.0,2.0,5.0,3.0,10.0
1992,131,14,174,72,42,25.0,150,5.0,16,1.0,35,6.0,4,24.0,24,14,40,27.0,3.0,8.0,12,1.0,1.0,2.0,,11.0
1993,142,20,157,43,45,15.0,162,6.0,15,3.0,38,4.0,7,28.0,8,17,37,35.0,2.0,9.0,15,4.0,2.0,5.0,3.0,5.0
1994,155,19,236,55,39,14.0,150,7.0,11,6.0,42,5.0,4,43.0,12,19,44,24.0,3.0,6.0,22,2.0,2.0,9.0,1.0,7.0
1995,208,12,237,62,44,18.0,165,8.0,10,1.0,46,7.0,3,45.0,18,16,62,26.0,4.0,10.0,15,1.0,,7.0,6.0,8.0
1996,208,24,232,90,55,26.0,155,6.0,11,7.0,53,9.0,8,47.0,25,30,51,34.0,,27.0,15,2.0,2.0,11.0,5.0,14.0
1997,204,18,224,95,62,17.0,163,4.0,11,10.0,45,6.0,10,55.0,32,24,61,23.0,,32.0,18,,3.0,5.0,8.0,9.0
1998,249,28,263,115,62,17.0,187,7.0,9,7.0,74,8.0,11,65.0,51,24,82,35.0,3.0,36.0,26,1.0,1.0,5.0,8.0,14.0
1999,238,34,265,120,77,39.0,226,5.0,18,9.0,69,5.0,23,108.0,37,33,70,36.0,3.0,49.0,25,3.0,1.0,4.0,12.0,14.0
2000,277,58,300,142,109,38.0,226,6.0,18,27.0,100,17.0,20,107.0,58,33,92,36.0,6.0,53.0,24,9.0,,6.0,12.0,17.0
2001,317,80,282,140,102,56.0,213,9.0,28,17.0,98,14.0,20,100.0,65,29,78,41.0,4.0,48.0,25,3.0,3.0,5.0,18.0,13.0
2002,345,83,332,180,126,78.0,228,11.0,25,24.0,108,14.0,28,81.0,57,22,102,39.0,4.0,62.0,25,4.0,5.0,4.0,18.0,12.0
2003,345,79,327,144,113,65.0,240,3.0,23,11.0,102,17.0,29,89.0,63,30,103,29.0,6.0,64.0,22,8.0,4.0,4.0,11.0,12.0
2004,457,80,358,177,131,66.0,213,14.0,31,31.0,90,16.0,30,91.0,71,29,84,48.0,10.0,56.0,22,5.0,3.0,6.0,15.0,17.0
2005,452,103,379,206,166,73.0,248,16.0,27,28.0,117,19.0,29,80.0,71,38,94,56.0,5.0,90.0,14,13.0,7.0,2.0,12.0,22.0
2006,707,124,347,204,158,88.0,238,18.0,51,41.0,98,43.0,34,73.0,86,42,94,49.0,10.0,81.0,19,11.0,7.0,3.0,15.0,17.0
2007,842,123,398,247,194,114.0,320,15.0,67,39.0,112,34.0,27,63.0,88,36,98,47.0,6.0,73.0,23,13.0,10.0,5.0,17.0,22.0
2008,757,159,386,252,220,143.0,327,21.0,55,33.0,108,22.0,34,82.0,97,45,88,62.0,11.0,71.0,22,8.0,10.0,4.0,14.0,18.0
2009,1032,158,419,273,210,157.0,307,28.0,52,42.0,114,42.0,59,63.0,86,51,86,66.0,14.0,97.0,27,17.0,20.0,8.0,12.0,13.0
2010,1077,156,452,289,233,180.0,314,24.0,61,43.0,133,44.0,38,102.0,114,52,174,74.0,16.0,91.0,25,21.0,9.0,3.0,10.0,15.0
2011,1480,205,484,396,279,249.0,359,44.0,81,73.0,177,63.0,41,180.0,100,55,174,69.0,20.0,101.0,37,27.0,37.0,11.0,11.0,20.0
2012,1708,245,506,526,274,428.0,412,51.0,90,111.0,247,87.0,59,209.0,101,61,122,58.0,16.0,105.0,28,24.0,28.0,23.0,9.0,7.0
2013,2276,310,586,554,308,410.0,474,53.0,119,101.0,253,119.0,85,202.0,150,77,142,88.0,44.0,109.0,37,45.0,28.0,10.0,15.0,24.0
2014,2699,294,615,821,330,713.0,455,69.0,111,101.0,269,163.0,80,237.0,169,70,149,104.0,87.0,148.0,32,56.0,30.0,15.0,16.0,26.0
2015,2194,406,605,789,375,709.0,441,53.0,103,96.0,272,222.0,100,242.0,153,65,225,99.0,87.0,187.0,32,58.0,27.0,12.0,19.0,18.0
2016,1928,400,464,1042,310,927.0,343,78.0,158,117.0,373,311.0,133,310.0,192,52,205,66.0,123.0,194.0,32,78.0,31.0,18.0,20.0,4.0
2017,2192,461,500,1261,347,995.0,357,90.0,188,117.0,371,348.0,155,344.0,229,62,233,77.0,169.0,182.0,37,74.0,41.0,17.0,27.0,14.0
2018,2282,516,570,1609,459,1138.0,346,103.0,220,154.0,429,386.0,157,353.0,228,63,220,86.0,212.0,262.0,29,113.0,48.0,19.0,28.0,16.0
2019,2106,608,639,1787,543,1181.0,331,120.0,209,144.0,542,445.0,157,372.0,201,73,262,88.0,240.0,277.0,24,114.0,32.0,34.0,28.0,16.0
2020,3568,832,861,2045,725,1159.0,405,160.0,234,203.0,734,640.0,248,365.0,298,85,340,114.0,252.0,446.0,57,112.0,56.0,30.0,33.0,18.0
2021,3854,973,1065,2014,942,1106.0,495,202.0,245,210.0,712,603.0,306,380.0,343,102,306,114.0,248.0,521.0,64,107.0,71.0,31.0,31.0,14.0
2022,3799,972,1141,2324,935,1256.0,500,228.0,257,228.0,716,639.0,288,378.0,324,106,288,130.0,319.0,613.0,59,117.0,71.0,31.0,48.0,12.0
2023,4484,1078,1167,2462,1006,1430.0,599,248.0,269,293.0,830,627.0,361,496.0,346,158,317,144.0,312.0,507.0,65,145.0,82.0,55.0,43.0,16.0
2024,4418,1014,1355,2936,1195,1719.0,676,279.0,331,340.0,928,619.0,333,539.0,369,138,379,131.0,356.0,670.0,82,178.0,73.0,60.0,43.0,14.0
