,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,2.0,,2,,,,,,,,,,,,,,,,1.0,,,,,
1981,,,1.0,5.0,3,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,
1982,1.0,2.0,,3.0,4,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
1983,,2.0,,4.0,11,,,,1.0,,,,1.0,,6.0,,,,,,,,,,,
1984,,,2.0,4.0,7,,,,,,,,,,4.0,,,,,,,1.0,,,,
1985,2.0,,,1.0,7,,,,,,1.0,,,,3.0,,1.0,,,,1.0,,,,,
1986,2.0,1.0,,,8,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,
1987,3.0,,,,8,,1.0,,,2.0,,,,,1.0,,2.0,,,,,,,,,
1988,,,2.0,5.0,9,,1.0,,,1.0,,,,2.0,1.0,,1.0,,,,,,,,,
1989,4.0,1.0,,2.0,3,,1.0,,,1.0,,,,,2.0,,1.0,,1.0,,,,,,,
1990,7.0,,,7.0,7,,,,1.0,,,,,1.0,2.0,,,1.0,,,,,,1.0,,
1991,7.0,,,5.0,6,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,
1992,11.0,,,,8,,,,,1.0,,,,,4.0,,1.0,,,,,,,,,
1993,5.0,,1.0,5.0,10,,1.0,,2.0,1.0,,,,,2.0,,1.0,,,,,,,,,
1994,15.0,1.0,,1.0,4,,1.0,,,,,,,,3.0,,1.0,,,,,,,,,
1995,8.0,1.0,1.0,1.0,7,1.0,3.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,
1996,5.0,1.0,1.0,2.0,13,,,,,1.0,1.0,1.0,,3.0,2.0,,2.0,,,1.0,,,,,,
1997,12.0,1.0,1.0,1.0,14,,2.0,,,,,,2.0,1.0,8.0,,,,,,,,,,,
1998,11.0,2.0,1.0,6.0,12,,,,,,,,,1.0,9.0,,1.0,,,,,,,,,
1999,7.0,,2.0,2.0,24,,1.0,,,1.0,,,,1.0,8.0,1.0,3.0,,,,,,,,,
