,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,1.0,,2.0,,,,,,,,,4,2.0,,1.0,,,1.0,,,,,,
1981,,1.0,1.0,3.0,,,1.0,1.0,1.0,,3.0,,,5,,,,,,,,,,,,
1982,2.0,2.0,,,,1.0,1.0,,,,3.0,,,3,,,3.0,,,,,,,,,
1983,,2.0,,,,1.0,2.0,1.0,,1.0,6.0,,,4,,,7.0,,,,,1.0,,,,
1984,,,,1.0,1.0,,1.0,,1.0,,2.0,,,3,1.0,,8.0,,,2.0,,,,,1.0,
1985,1.0,,,2.0,,1.0,4.0,,,,1.0,,,2,,,4.0,,,1.0,,,,,,
1986,,,,3.0,,1.0,,,,,4.0,,,4,,,4.0,,,2.0,,,,,,
1987,3.0,,2.0,2.0,1.0,,,,,,2.0,,1.0,1,2.0,,2.0,,,,,,,,,
1988,1.0,1.0,,4.0,3.0,1.0,2.0,,,1.0,4.0,,,4,,,2.0,,,,,,,,,
1989,1.0,1.0,,4.0,2.0,3.0,1.0,1.0,1.0,,2.0,,,4,1.0,,3.0,,,2.0,,,,,,
1990,1.0,,,2.0,,2.0,3.0,,,1.0,3.0,,,4,,,3.0,,,2.0,,,,,,
1991,4.0,,,9.0,,,3.0,1.0,3.0,,4.0,,,10,,,8.0,,1.0,3.0,1.0,,,,1.0,
1992,5.0,,3.0,9.0,,3.0,4.0,,,,14.0,1.0,,18,2.0,,7.0,,,3.0,,,,,,
1993,6.0,4.0,3.0,23.0,4.0,11.0,3.0,,,,16.0,2.0,,18,1.0,,16.0,,,3.0,,1.0,,1.0,,
1994,8.0,9.0,6.0,29.0,4.0,7.0,8.0,1.0,,1.0,17.0,1.0,2.0,26,,,13.0,,1.0,3.0,,1.0,,2.0,,
1995,9.0,7.0,9.0,30.0,,9.0,4.0,2.0,1.0,3.0,25.0,1.0,2.0,27,4.0,,23.0,,,6.0,,2.0,,1.0,,
1996,7.0,2.0,8.0,21.0,2.0,22.0,6.0,1.0,3.0,,18.0,2.0,1.0,38,1.0,,22.0,,1.0,7.0,,2.0,,2.0,1.0,
1997,8.0,3.0,8.0,30.0,1.0,19.0,13.0,,1.0,1.0,32.0,2.0,,46,4.0,1.0,15.0,,,10.0,2.0,4.0,,1.0,,
1998,10.0,4.0,9.0,23.0,4.0,14.0,8.0,2.0,1.0,1.0,22.0,,1.0,37,1.0,,16.0,,,8.0,,,,,,
1999,6.0,5.0,6.0,40.0,6.0,10.0,7.0,,,,27.0,3.0,1.0,36,3.0,5.0,18.0,1.0,2.0,5.0,,3.0,,3.0,1.0,
2000,10.0,4.0,6.0,41.0,3.0,7.0,8.0,,,,25.0,,,42,7.0,1.0,28.0,,1.0,7.0,,3.0,,,,
2001,20.0,3.0,8.0,34.0,8.0,15.0,9.0,3.0,,,37.0,4.0,,39,1.0,,25.0,,2.0,7.0,,,1.0,,1.0,
2002,7.0,5.0,9.0,91.0,7.0,8.0,9.0,3.0,2.0,3.0,89.0,2.0,,80,5.0,,24.0,,,8.0,,,,1.0,1.0,
2003,16.0,8.0,8.0,74.0,7.0,15.0,8.0,1.0,1.0,1.0,57.0,2.0,3.0,49,6.0,3.0,24.0,,2.0,13.0,,,,1.0,2.0,
2004,20.0,11.0,11.0,48.0,10.0,11.0,14.0,2.0,1.0,1.0,55.0,2.0,1.0,37,4.0,,21.0,,1.0,9.0,1.0,3.0,,,3.0,
2005,40.0,16.0,6.0,56.0,12.0,23.0,19.0,3.0,1.0,5.0,75.0,2.0,2.0,39,4.0,2.0,45.0,1.0,3.0,16.0,2.0,3.0,1.0,,,1.0
2006,36.0,20.0,15.0,67.0,12.0,22.0,19.0,3.0,2.0,2.0,49.0,,2.0,52,2.0,2.0,37.0,,6.0,11.0,1.0,5.0,2.0,2.0,1.0,
2007,27.0,15.0,23.0,89.0,4.0,19.0,22.0,3.0,4.0,3.0,63.0,4.0,4.0,40,9.0,4.0,36.0,1.0,2.0,13.0,1.0,6.0,,1.0,4.0,
2008,47.0,21.0,32.0,92.0,28.0,23.0,24.0,3.0,2.0,4.0,62.0,8.0,4.0,44,11.0,,26.0,2.0,5.0,22.0,2.0,5.0,1.0,5.0,5.0,
2009,49.0,22.0,30.0,65.0,16.0,23.0,29.0,8.0,19.0,3.0,72.0,8.0,6.0,51,8.0,3.0,39.0,1.0,6.0,18.0,1.0,1.0,2.0,3.0,,
2010,44.0,17.0,25.0,86.0,24.0,23.0,28.0,8.0,18.0,4.0,60.0,8.0,5.0,42,9.0,1.0,32.0,2.0,8.0,11.0,1.0,1.0,4.0,3.0,4.0,
2011,52.0,20.0,27.0,79.0,34.0,23.0,38.0,7.0,5.0,9.0,74.0,7.0,3.0,44,14.0,2.0,52.0,2.0,4.0,17.0,1.0,4.0,4.0,2.0,2.0,1.0
2012,63.0,34.0,34.0,96.0,29.0,26.0,26.0,7.0,7.0,12.0,76.0,5.0,9.0,57,9.0,1.0,31.0,2.0,7.0,16.0,1.0,6.0,1.0,2.0,2.0,
2013,107.0,58.0,48.0,95.0,41.0,29.0,38.0,7.0,17.0,9.0,62.0,18.0,23.0,38,17.0,2.0,28.0,6.0,9.0,19.0,1.0,7.0,3.0,3.0,1.0,2.0
2014,113.0,69.0,53.0,111.0,27.0,51.0,30.0,14.0,11.0,10.0,69.0,19.0,21.0,37,19.0,8.0,29.0,4.0,5.0,21.0,2.0,3.0,5.0,2.0,4.0,
2015,109.0,230.0,74.0,100.0,48.0,56.0,42.0,29.0,82.0,16.0,74.0,49.0,58.0,43,13.0,5.0,30.0,1.0,15.0,20.0,4.0,8.0,,1.0,2.0,
2016,134.0,176.0,44.0,122.0,36.0,56.0,48.0,24.0,64.0,23.0,77.0,47.0,51.0,49,22.0,5.0,37.0,4.0,15.0,16.0,3.0,9.0,2.0,2.0,3.0,
2017,191.0,183.0,69.0,143.0,46.0,63.0,45.0,37.0,64.0,39.0,53.0,43.0,54.0,64,18.0,16.0,23.0,8.0,20.0,16.0,4.0,11.0,2.0,,1.0,2.0
2018,177.0,252.0,109.0,128.0,82.0,78.0,42.0,70.0,67.0,38.0,56.0,56.0,47.0,54,17.0,11.0,36.0,6.0,10.0,11.0,7.0,11.0,11.0,2.0,5.0,
2019,205.0,306.0,80.0,144.0,70.0,77.0,52.0,70.0,107.0,65.0,80.0,72.0,65.0,43,24.0,11.0,44.0,8.0,17.0,26.0,6.0,16.0,12.0,1.0,,3.0
2020,296.0,397.0,90.0,143.0,72.0,85.0,55.0,100.0,123.0,62.0,75.0,66.0,91.0,44,23.0,11.0,37.0,7.0,18.0,22.0,10.0,18.0,7.0,4.0,3.0,2.0
2021,435.0,548.0,135.0,136.0,109.0,125.0,75.0,113.0,196.0,81.0,73.0,86.0,96.0,46,33.0,22.0,43.0,10.0,11.0,15.0,8.0,21.0,23.0,3.0,4.0,
2022,424.0,523.0,99.0,169.0,116.0,154.0,51.0,103.0,143.0,109.0,51.0,109.0,117.0,54,35.0,15.0,37.0,7.0,15.0,21.0,9.0,25.0,9.0,3.0,1.0,
2023,447.0,575.0,161.0,186.0,112.0,138.0,71.0,112.0,99.0,91.0,72.0,140.0,172.0,35,41.0,16.0,41.0,11.0,23.0,34.0,12.0,19.0,13.0,6.0,3.0,5.0
2024,387.0,302.0,123.0,142.0,104.0,112.0,62.0,86.0,72.0,91.0,60.0,60.0,67.0,39,27.0,12.0,37.0,11.0,18.0,23.0,13.0,12.0,25.0,4.0,3.0,2.0
