,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1985,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
1986,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
1987,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1988,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,
1989,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
1990,,1.0,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,
1991,,3.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
1992,,3.0,,1.0,2.0,1.0,,,,,,2.0,1.0,2.0,,,,,,,,,,,,
1993,2.0,3.0,,6.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,
1994,2.0,,,3.0,,3.0,1.0,,,1.0,2.0,,,3.0,3.0,,1.0,,,,,,,,,
1995,4.0,4.0,1.0,4.0,,,,,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,
1996,1.0,5.0,1.0,11.0,,1.0,,,4.0,2.0,,,,1.0,1.0,2.0,1.0,,,,,1.0,,,,
1997,2.0,2.0,,10.0,2.0,4.0,2.0,,2.0,4.0,,2.0,,4.0,1.0,4.0,,,,,,,,,,
1998,2.0,3.0,1.0,11.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,2.0,1.0,,,,,1.0,,,,1.0,,
1999,3.0,5.0,1.0,13.0,,,1.0,,3.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,1.0,,,,1.0,,,,,
2000,4.0,5.0,,12.0,2.0,4.0,,,1.0,,1.0,,1.0,6.0,,1.0,3.0,2.0,,,,,,,,
2001,3.0,2.0,1.0,17.0,,4.0,,2.0,1.0,1.0,,,1.0,5.0,,2.0,2.0,,,1.0,,,,,2.0,
2002,6.0,4.0,7.0,38.0,,25.0,2.0,4.0,1.0,2.0,2.0,,1.0,5.0,,1.0,,1.0,,6.0,,,,,,
2003,13.0,3.0,9.0,42.0,2.0,20.0,3.0,1.0,2.0,3.0,6.0,1.0,1.0,10.0,1.0,,4.0,,,3.0,,1.0,,,,
2004,28.0,11.0,15.0,30.0,4.0,13.0,13.0,5.0,2.0,1.0,5.0,,4.0,6.0,,3.0,7.0,,,5.0,1.0,1.0,1.0,1.0,1.0,
2005,26.0,2.0,18.0,25.0,10.0,18.0,6.0,3.0,1.0,2.0,8.0,,1.0,15.0,1.0,2.0,5.0,,1.0,2.0,,,,1.0,,
2006,38.0,3.0,10.0,46.0,4.0,14.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,19.0,1.0,6.0,5.0,1.0,,6.0,2.0,1.0,3.0,,2.0,1.0
2007,34.0,16.0,19.0,39.0,9.0,17.0,7.0,1.0,2.0,6.0,4.0,3.0,3.0,23.0,2.0,1.0,3.0,1.0,1.0,4.0,,2.0,,,1.0,
2008,52.0,15.0,19.0,35.0,11.0,16.0,9.0,3.0,2.0,8.0,4.0,4.0,10.0,15.0,2.0,6.0,4.0,,,1.0,1.0,,3.0,1.0,,
2009,44.0,4.0,25.0,35.0,9.0,16.0,14.0,6.0,2.0,8.0,3.0,8.0,21.0,20.0,11.0,5.0,9.0,3.0,,11.0,,2.0,3.0,1.0,,
2010,41.0,11.0,32.0,62.0,21.0,23.0,9.0,7.0,4.0,8.0,2.0,6.0,10.0,24.0,9.0,5.0,5.0,2.0,1.0,12.0,3.0,3.0,,,,
2011,47.0,25.0,33.0,55.0,21.0,25.0,9.0,8.0,8.0,10.0,4.0,7.0,20.0,15.0,7.0,5.0,6.0,4.0,1.0,17.0,1.0,3.0,2.0,,1.0,
2012,52.0,32.0,50.0,94.0,26.0,39.0,23.0,6.0,9.0,7.0,11.0,20.0,22.0,16.0,7.0,1.0,17.0,4.0,1.0,16.0,1.0,8.0,3.0,,,
2013,86.0,36.0,38.0,80.0,28.0,60.0,18.0,1.0,17.0,5.0,7.0,19.0,33.0,14.0,7.0,5.0,8.0,3.0,2.0,21.0,1.0,5.0,1.0,3.0,1.0,
2014,93.0,44.0,56.0,116.0,49.0,38.0,18.0,13.0,28.0,13.0,10.0,20.0,36.0,8.0,14.0,1.0,2.0,3.0,8.0,15.0,1.0,4.0,3.0,4.0,,
2015,106.0,57.0,59.0,112.0,38.0,47.0,29.0,9.0,16.0,6.0,9.0,25.0,59.0,8.0,9.0,5.0,6.0,5.0,7.0,21.0,2.0,4.0,1.0,4.0,2.0,
2016,108.0,59.0,62.0,109.0,44.0,62.0,24.0,9.0,17.0,5.0,8.0,27.0,36.0,15.0,19.0,3.0,7.0,4.0,4.0,19.0,,2.0,,2.0,,
2017,122.0,58.0,61.0,112.0,51.0,52.0,29.0,10.0,29.0,12.0,6.0,25.0,44.0,11.0,24.0,8.0,17.0,3.0,8.0,19.0,5.0,9.0,4.0,2.0,,
2018,148.0,69.0,62.0,148.0,79.0,53.0,43.0,11.0,26.0,22.0,16.0,35.0,49.0,17.0,21.0,9.0,26.0,6.0,6.0,19.0,1.0,8.0,1.0,1.0,2.0,1.0
2019,164.0,84.0,80.0,134.0,89.0,39.0,61.0,15.0,46.0,23.0,20.0,21.0,30.0,40.0,29.0,23.0,17.0,2.0,9.0,16.0,3.0,1.0,7.0,1.0,1.0,1.0
2020,168.0,90.0,101.0,153.0,102.0,51.0,55.0,27.0,32.0,44.0,30.0,26.0,44.0,91.0,31.0,4.0,21.0,14.0,9.0,21.0,6.0,16.0,4.0,2.0,1.0,
2021,189.0,94.0,94.0,142.0,96.0,59.0,68.0,41.0,34.0,37.0,18.0,34.0,76.0,81.0,26.0,7.0,13.0,9.0,10.0,17.0,2.0,7.0,3.0,2.0,,
2022,177.0,78.0,95.0,157.0,91.0,58.0,50.0,41.0,35.0,25.0,17.0,36.0,50.0,69.0,29.0,16.0,20.0,5.0,12.0,25.0,6.0,14.0,4.0,2.0,,1.0
2023,187.0,81.0,97.0,167.0,113.0,82.0,58.0,33.0,26.0,25.0,27.0,26.0,36.0,72.0,24.0,24.0,17.0,13.0,10.0,19.0,2.0,7.0,3.0,6.0,,2.0
2024,250.0,76.0,118.0,219.0,129.0,91.0,75.0,44.0,26.0,26.0,45.0,35.0,49.0,104.0,43.0,20.0,20.0,23.0,26.0,22.0,6.0,2.0,3.0,4.0,3.0,
