,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,3.0,,1,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,
1981,,1.0,2,,1.0,,,,1.0,,,,,2.0,,,1.0,,,,,,1.0,,,
1982,1.0,1.0,3,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,
1983,5.0,5.0,2,,2.0,,3.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,
1984,2.0,3.0,1,1.0,,,2.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,
1985,3.0,1.0,3,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,
1986,,,3,1.0,,,4.0,,,,,,,,,,,1.0,,,,,,,,
1987,6.0,,3,2.0,4.0,1.0,1.0,1.0,,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
1988,12.0,3.0,2,1.0,,1.0,3.0,1.0,,,,,,,1.0,,,,,,,,,,,
1989,20.0,1.0,2,,,,7.0,3.0,,,,,,1.0,2.0,,,1.0,,,,,,1.0,,
1990,19.0,1.0,4,3.0,1.0,1.0,2.0,1.0,,,1.0,,,1.0,2.0,,,1.0,,1.0,,,,,,
1991,11.0,2.0,6,1.0,4.0,,4.0,3.0,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,
1992,12.0,,7,2.0,1.0,,4.0,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,
1993,14.0,3.0,3,,4.0,,2.0,1.0,,,1.0,1.0,,,1.0,,,2.0,,,2.0,,,,,1.0
1994,26.0,1.0,3,1.0,9.0,,5.0,5.0,1.0,,,,,,3.0,,,5.0,,1.0,3.0,,,1.0,,1.0
1995,29.0,2.0,4,1.0,3.0,,3.0,5.0,1.0,3.0,,,,,,,1.0,3.0,,5.0,1.0,,,1.0,,
1996,24.0,4.0,7,,4.0,1.0,4.0,,2.0,,,,1.0,2.0,2.0,1.0,3.0,5.0,,,,,,,,
1997,17.0,4.0,4,,5.0,,6.0,3.0,,1.0,,,1.0,,6.0,,7.0,3.0,,,1.0,,,2.0,1.0,
1998,13.0,3.0,3,,2.0,1.0,10.0,3.0,,,,,1.0,,8.0,,,3.0,,2.0,,,,,,
1999,22.0,6.0,8,,7.0,,8.0,3.0,,3.0,,1.0,,1.0,16.0,,,3.0,,,,,,3.0,1.0,1.0
2000,32.0,15.0,7,1.0,16.0,2.0,14.0,8.0,2.0,,3.0,,,,4.0,,,4.0,,,,2.0,,,,
2001,32.0,4.0,11,1.0,13.0,2.0,9.0,1.0,1.0,,2.0,,5.0,,5.0,,2.0,8.0,,,2.0,,,,,
2002,31.0,11.0,13,5.0,6.0,6.0,10.0,3.0,3.0,2.0,2.0,,,,,,,7.0,,,,1.0,,1.0,,
2003,38.0,15.0,9,1.0,11.0,,19.0,7.0,3.0,3.0,1.0,2.0,8.0,,11.0,,,8.0,,,,,,,,
2004,24.0,7.0,17,1.0,13.0,4.0,13.0,6.0,,4.0,,2.0,3.0,1.0,1.0,,1.0,4.0,,,10.0,,,,,
2005,29.0,9.0,25,2.0,20.0,2.0,13.0,9.0,4.0,1.0,3.0,,3.0,,3.0,,4.0,3.0,,1.0,,,,,,
2006,39.0,10.0,36,5.0,15.0,2.0,18.0,8.0,3.0,1.0,1.0,1.0,3.0,2.0,5.0,,5.0,4.0,,2.0,1.0,,,3.0,,
2007,53.0,19.0,24,11.0,24.0,1.0,16.0,12.0,4.0,,5.0,1.0,6.0,,7.0,1.0,1.0,8.0,,,1.0,,,,,
2008,73.0,14.0,45,8.0,26.0,5.0,19.0,18.0,1.0,6.0,,3.0,4.0,1.0,6.0,,3.0,19.0,1.0,2.0,,2.0,1.0,1.0,,
2009,48.0,17.0,56,4.0,44.0,5.0,16.0,16.0,2.0,2.0,2.0,1.0,6.0,2.0,10.0,,2.0,6.0,,5.0,,,,,,
2010,62.0,20.0,39,5.0,33.0,,37.0,14.0,5.0,2.0,2.0,1.0,2.0,2.0,11.0,1.0,,7.0,1.0,2.0,,,2.0,,,
2011,93.0,26.0,43,11.0,35.0,6.0,25.0,18.0,,2.0,3.0,2.0,1.0,1.0,10.0,,1.0,10.0,1.0,1.0,6.0,,,2.0,1.0,
2012,76.0,24.0,66,8.0,39.0,3.0,25.0,10.0,3.0,3.0,6.0,6.0,4.0,2.0,5.0,,3.0,6.0,,3.0,,1.0,1.0,3.0,,
2013,88.0,22.0,62,15.0,39.0,5.0,44.0,21.0,4.0,3.0,5.0,3.0,5.0,3.0,15.0,3.0,3.0,6.0,,3.0,,1.0,,3.0,,2.0
2014,120.0,37.0,62,11.0,38.0,5.0,34.0,18.0,7.0,4.0,1.0,1.0,8.0,1.0,14.0,2.0,3.0,8.0,4.0,1.0,2.0,2.0,,,,
2015,100.0,17.0,68,12.0,55.0,4.0,57.0,20.0,1.0,6.0,1.0,2.0,4.0,5.0,13.0,,2.0,9.0,1.0,2.0,2.0,1.0,,,3.0,
2016,141.0,21.0,70,14.0,52.0,8.0,41.0,16.0,6.0,6.0,4.0,6.0,2.0,3.0,17.0,1.0,2.0,13.0,2.0,7.0,3.0,2.0,,2.0,3.0,
2017,139.0,20.0,77,12.0,56.0,10.0,42.0,18.0,6.0,5.0,6.0,2.0,6.0,2.0,13.0,1.0,3.0,8.0,1.0,1.0,5.0,1.0,2.0,3.0,,1.0
2018,160.0,25.0,77,16.0,66.0,17.0,40.0,21.0,6.0,6.0,10.0,2.0,2.0,4.0,13.0,,4.0,18.0,1.0,3.0,12.0,1.0,1.0,,2.0,2.0
2019,183.0,37.0,97,27.0,69.0,21.0,55.0,21.0,10.0,11.0,7.0,8.0,6.0,2.0,16.0,3.0,7.0,14.0,2.0,3.0,7.0,4.0,1.0,,1.0,
2020,187.0,36.0,114,27.0,71.0,12.0,73.0,17.0,11.0,7.0,4.0,8.0,9.0,13.0,18.0,3.0,3.0,23.0,2.0,13.0,7.0,3.0,1.0,4.0,,
