,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,6,,6,2.0,,,2,,,,,,1.0,,,,,1.0,,,,,,,,
1981,7,2.0,5,1.0,4.0,,2,1.0,,,,,,,,,2.0,1.0,,2.0,3.0,,,,,
1982,9,1.0,10,,1.0,,4,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,,,,1.0,,
1983,9,4.0,14,,3.0,,6,,3.0,,,,1.0,,,1.0,,,,,,,,,,
1984,6,,20,,2.0,,6,,,,,1.0,3.0,,,,2.0,1.0,,,,,,,,
1985,12,4.0,19,,1.0,,4,,4.0,1.0,,,,,2.0,2.0,,2.0,,,,,,,,
1986,10,,9,2.0,6.0,1.0,4,1.0,,1.0,,,,1.0,1.0,1.0,2.0,2.0,,,,,,1.0,,
1987,19,1.0,22,1.0,2.0,1.0,8,1.0,,3.0,,,,,,1.0,1.0,2.0,,,,1.0,,,,
1988,28,1.0,16,2.0,4.0,,11,1.0,,2.0,,1.0,,,,,,3.0,,,1.0,,,,,2.0
1989,24,3.0,19,2.0,4.0,,9,3.0,2.0,1.0,,1.0,2.0,,1.0,4.0,2.0,4.0,,,1.0,,,,,
1990,36,4.0,23,2.0,7.0,,13,3.0,1.0,4.0,,1.0,2.0,,,,,4.0,,,,1.0,,1.0,,
1991,24,2.0,28,2.0,2.0,,12,1.0,1.0,2.0,,,1.0,,2.0,2.0,,3.0,,,,,,1.0,,1.0
1992,22,1.0,25,1.0,3.0,1.0,14,3.0,,1.0,1.0,1.0,,,1.0,2.0,2.0,6.0,,,3.0,,,1.0,,
1993,34,2.0,30,1.0,4.0,,17,2.0,,2.0,2.0,1.0,3.0,,1.0,,1.0,4.0,,1.0,,,,,,1.0
1994,41,5.0,30,,4.0,2.0,16,2.0,,2.0,,2.0,2.0,,,3.0,2.0,11.0,,,1.0,1.0,,2.0,,1.0
1995,35,5.0,26,1.0,2.0,1.0,11,1.0,2.0,2.0,,,1.0,,1.0,4.0,1.0,10.0,,,1.0,,,1.0,,2.0
1996,56,8.0,25,3.0,5.0,,13,3.0,2.0,3.0,,,1.0,,,4.0,,4.0,,,,,,1.0,,1.0
1997,44,6.0,31,1.0,4.0,1.0,19,3.0,1.0,5.0,,1.0,6.0,,,3.0,1.0,11.0,,,,,,1.0,,
1998,58,2.0,51,1.0,4.0,,10,2.0,1.0,3.0,2.0,,5.0,,1.0,4.0,,18.0,,2.0,3.0,,,,,
1999,38,2.0,21,1.0,3.0,,13,1.0,1.0,2.0,1.0,1.0,4.0,,1.0,4.0,,12.0,,,4.0,,1.0,1.0,,1.0
2000,37,11.0,32,,6.0,3.0,22,1.0,1.0,2.0,,1.0,2.0,,,5.0,,20.0,,,2.0,,,3.0,,
2001,49,14.0,53,,6.0,1.0,25,4.0,3.0,4.0,,2.0,4.0,,1.0,5.0,1.0,12.0,,,1.0,,1.0,2.0,,1.0
2002,67,15.0,37,1.0,6.0,3.0,26,4.0,7.0,4.0,,2.0,2.0,1.0,4.0,6.0,,22.0,,,,,,1.0,,2.0
2003,51,13.0,44,1.0,4.0,3.0,12,6.0,5.0,7.0,,4.0,3.0,,1.0,2.0,1.0,20.0,,,1.0,1.0,1.0,2.0,1.0,
2004,51,11.0,49,5.0,7.0,3.0,25,6.0,10.0,9.0,1.0,3.0,2.0,,1.0,6.0,,17.0,1.0,1.0,7.0,,,2.0,,1.0
