,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
1984,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1985,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1987,2.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
1988,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1989,2.0,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,
1990,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
1991,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
1992,4.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
1993,2.0,,,,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,,
1994,1.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1995,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0
1996,,,1.0,1.0,2.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0
1997,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,
1998,2.0,4.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0
1999,2.0,2.0,1.0,,3.0,,,,2.0,,,,,,2.0,,,,,,,,,,,
2000,3.0,2.0,4.0,,2.0,,4.0,,,,,,,,,,,,,2.0,,,,,,1.0
2001,6.0,2.0,,,2.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,
2002,4.0,,2.0,,1.0,2.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,
2003,4.0,2.0,3.0,3.0,1.0,,2.0,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,,1.0
2004,4.0,5.0,2.0,,1.0,,,,,,3.0,,,1.0,1.0,,1.0,,,7.0,,,,,,
2005,7.0,1.0,4.0,1.0,6.0,1.0,3.0,,,1.0,2.0,,,2.0,1.0,,3.0,,,6.0,,,,,,
2006,7.0,2.0,3.0,1.0,3.0,,1.0,,,1.0,,,,,2.0,,,1.0,1.0,5.0,,,,,,
2007,7.0,2.0,4.0,2.0,2.0,,,1.0,,1.0,,,,,3.0,,1.0,,,2.0,,,,,,
2008,4.0,,5.0,4.0,1.0,,1.0,,,,1.0,,,,1.0,,4.0,,1.0,2.0,,,,,,
2009,5.0,5.0,2.0,2.0,6.0,,,,,,1.0,1.0,1.0,,3.0,,3.0,,,,,,,,,
2010,9.0,5.0,5.0,,2.0,,1.0,,,,,,1.0,,3.0,,1.0,,1.0,1.0,,,,,,
2011,17.0,1.0,4.0,,4.0,,,,,,,,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0
2012,18.0,5.0,6.0,1.0,3.0,,6.0,,2.0,1.0,1.0,,2.0,,2.0,,3.0,,1.0,,1.0,,,,,
2013,16.0,2.0,5.0,2.0,10.0,1.0,4.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,
2014,13.0,2.0,7.0,4.0,10.0,,4.0,,,,1.0,,,1.0,4.0,,1.0,,1.0,3.0,,,,,,
2015,15.0,3.0,8.0,2.0,11.0,2.0,,,1.0,1.0,,,,,3.0,,,,2.0,1.0,2.0,,,,,
2016,36.0,6.0,7.0,1.0,8.0,,2.0,,,1.0,1.0,,,,1.0,2.0,5.0,,3.0,3.0,,1.0,,1.0,,
2017,26.0,4.0,5.0,2.0,11.0,3.0,3.0,,,1.0,1.0,,2.0,1.0,6.0,,6.0,2.0,2.0,,2.0,,,,,
2018,34.0,4.0,8.0,10.0,11.0,,3.0,,2.0,2.0,3.0,,2.0,,2.0,3.0,6.0,3.0,2.0,2.0,1.0,,,,1.0,1.0
2019,37.0,6.0,9.0,10.0,7.0,3.0,2.0,,1.0,1.0,,1.0,2.0,2.0,4.0,,1.0,4.0,3.0,4.0,1.0,,,,1.0,
2020,39.0,6.0,6.0,14.0,10.0,4.0,2.0,,1.0,,2.0,2.0,3.0,2.0,6.0,3.0,,,2.0,6.0,1.0,1.0,,,,
2021,30.0,5.0,4.0,12.0,20.0,11.0,,,1.0,,5.0,1.0,,2.0,6.0,,5.0,1.0,4.0,5.0,3.0,2.0,,,,
2022,31.0,7.0,7.0,14.0,17.0,7.0,5.0,2.0,1.0,2.0,1.0,3.0,,1.0,8.0,1.0,3.0,2.0,1.0,6.0,,3.0,,,,
2023,29.0,11.0,10.0,14.0,18.0,10.0,5.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,7.0,1.0,1.0,3.0,1.0,13.0,3.0,,2.0,,,
2024,26.0,9.0,13.0,9.0,21.0,19.0,4.0,,2.0,1.0,3.0,3.0,1.0,1.0,7.0,2.0,2.0,6.0,5.0,7.0,1.0,1.0,1.0,,1.0,
