,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2,,1.0,2,3.0,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,
1981,5,3.0,1.0,1,3.0,,,,,,,,,,,,,,,,,,,,,
1982,5,,1.0,1,3.0,3.0,,,1.0,,,,,,,,,1.0,,,,,,,,
1983,1,2.0,1.0,2,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,1.0,
1984,4,4.0,,4,,2.0,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,
1985,4,3.0,,3,1.0,1.0,,,1.0,2.0,1.0,,,1.0,,,3.0,,,,,,,,1.0,
1986,7,1.0,,2,2.0,,3.0,,2.0,4.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,
1987,8,2.0,1.0,3,4.0,2.0,1.0,,1.0,3.0,,1.0,,1.0,,,1.0,,,,,1.0,,2.0,,
1988,18,3.0,,3,1.0,2.0,5.0,1.0,,4.0,3.0,1.0,3.0,,,2.0,,2.0,,,2.0,2.0,,,,
1989,21,8.0,1.0,4,1.0,,8.0,5.0,2.0,3.0,,,,1.0,1.0,1.0,3.0,1.0,,,,1.0,,,,
1990,24,14.0,2.0,3,1.0,3.0,7.0,4.0,1.0,4.0,,2.0,1.0,,1.0,4.0,1.0,3.0,,,,1.0,,,,
1991,32,8.0,,5,,1.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,,1.0,3.0,2.0,4.0,1.0,,2.0,,1.0,,,
1992,33,13.0,1.0,3,1.0,3.0,2.0,2.0,5.0,3.0,1.0,,,1.0,,2.0,3.0,2.0,,1.0,,,,1.0,1.0,
1993,36,18.0,2.0,5,1.0,3.0,3.0,1.0,9.0,9.0,,5.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,
1994,27,23.0,,3,3.0,1.0,5.0,1.0,3.0,6.0,1.0,5.0,4.0,,,1.0,5.0,1.0,1.0,,,,,,,
1995,18,27.0,3.0,4,3.0,5.0,2.0,,6.0,9.0,,8.0,5.0,7.0,,1.0,4.0,2.0,,1.0,2.0,2.0,,,,
1996,18,29.0,2.0,3,3.0,2.0,4.0,7.0,9.0,4.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,,1.0,,1.0,,,,,
1997,30,32.0,,5,3.0,4.0,6.0,2.0,9.0,7.0,,13.0,3.0,6.0,1.0,1.0,1.0,1.0,,4.0,2.0,1.0,,,,
1998,32,21.0,1.0,7,,2.0,5.0,8.0,9.0,9.0,,15.0,3.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,,,1.0,
1999,62,23.0,4.0,7,4.0,4.0,10.0,7.0,14.0,4.0,1.0,12.0,5.0,2.0,2.0,4.0,,3.0,,3.0,,2.0,1.0,,,
2000,41,26.0,2.0,12,4.0,5.0,5.0,10.0,4.0,13.0,1.0,10.0,12.0,1.0,3.0,,,1.0,,3.0,,1.0,,1.0,,
2001,45,33.0,3.0,9,4.0,6.0,2.0,7.0,1.0,16.0,,12.0,8.0,,1.0,2.0,,3.0,,1.0,2.0,,1.0,,,
2002,39,31.0,1.0,18,3.0,20.0,1.0,12.0,7.0,10.0,,11.0,7.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,7.0,1.0,,,1.0
2003,65,25.0,3.0,13,6.0,10.0,14.0,3.0,11.0,18.0,,14.0,6.0,,5.0,3.0,,4.0,1.0,,1.0,3.0,,,,
2004,52,31.0,1.0,11,5.0,8.0,5.0,8.0,6.0,18.0,,9.0,7.0,,4.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,
2005,66,39.0,4.0,27,6.0,16.0,12.0,12.0,13.0,21.0,1.0,16.0,6.0,3.0,6.0,,2.0,2.0,,5.0,3.0,2.0,3.0,1.0,1.0,1.0
2006,41,44.0,3.0,26,5.0,14.0,9.0,8.0,12.0,19.0,1.0,18.0,8.0,,6.0,2.0,,7.0,1.0,3.0,2.0,3.0,,,1.0,
2007,66,48.0,2.0,24,10.0,23.0,6.0,12.0,13.0,14.0,2.0,10.0,3.0,,8.0,2.0,2.0,4.0,,5.0,2.0,3.0,5.0,,1.0,
2008,77,57.0,4.0,44,17.0,35.0,13.0,13.0,13.0,17.0,,15.0,7.0,2.0,6.0,5.0,,9.0,1.0,5.0,2.0,3.0,8.0,1.0,,
2009,95,52.0,4.0,34,10.0,21.0,17.0,12.0,17.0,21.0,1.0,14.0,11.0,,5.0,3.0,2.0,12.0,1.0,5.0,1.0,1.0,4.0,3.0,,
2010,87,54.0,6.0,47,18.0,40.0,11.0,16.0,22.0,26.0,4.0,12.0,10.0,3.0,5.0,7.0,,9.0,,8.0,1.0,5.0,8.0,,,
2011,126,70.0,6.0,22,21.0,39.0,23.0,15.0,14.0,25.0,4.0,13.0,10.0,4.0,7.0,7.0,1.0,9.0,1.0,7.0,2.0,8.0,10.0,,,
