,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,7,10,5,4.0,11,2.0,,,2.0,,,2.0,1.0,,1.0,,,,,,,,,,,
1981,9,11,16,1.0,14,1.0,5.0,,,1.0,,,1.0,,2.0,,,,,,,,,,,
1982,7,8,8,9.0,10,,6.0,,2.0,,1.0,,2.0,1.0,1.0,,,4.0,,1.0,,,1.0,,,
1983,12,15,9,,9,3.0,1.0,2.0,2.0,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,
1984,6,8,11,1.0,15,,,2.0,,1.0,,,3.0,,3.0,,1.0,2.0,,,1.0,,,1.0,,
1985,3,10,11,1.0,19,,3.0,1.0,,1.0,2.0,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,1.0
1986,9,7,14,,21,,2.0,1.0,1.0,,,,3.0,,2.0,,,2.0,1.0,,,,,,,
1987,11,6,8,6.0,11,1.0,3.0,2.0,1.0,,1.0,2.0,2.0,,1.0,,,1.0,,1.0,,,,1.0,,
1988,19,8,17,1.0,18,2.0,3.0,1.0,,,,,,,1.0,1.0,1.0,3.0,,2.0,,,,,,
1989,8,16,10,5.0,11,,4.0,2.0,1.0,2.0,3.0,1.0,2.0,,,,,1.0,1.0,,,,,,,
1990,19,14,17,3.0,15,1.0,5.0,2.0,1.0,4.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,,5.0,1.0,1.0,,,
1991,17,11,14,1.0,12,3.0,4.0,,3.0,4.0,,1.0,4.0,1.0,1.0,,,3.0,,1.0,1.0,,,,,1.0
1992,17,14,8,2.0,9,,2.0,2.0,,6.0,,1.0,,,1.0,,,2.0,,,,,,,,
1993,20,20,13,3.0,8,,1.0,3.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,,1.0,2.0,,,,1.0,
1994,35,6,10,2.0,8,,7.0,,2.0,11.0,1.0,1.0,5.0,,1.0,,,7.0,,,2.0,,,1.0,,
1995,28,14,9,,16,2.0,1.0,7.0,2.0,3.0,,,5.0,,3.0,,,6.0,2.0,,5.0,,,,,
1996,44,11,3,1.0,8,,3.0,2.0,2.0,7.0,,3.0,2.0,,1.0,,1.0,18.0,1.0,,2.0,,,,,
1997,41,17,13,3.0,13,,6.0,4.0,1.0,4.0,,3.0,1.0,,1.0,2.0,,5.0,,2.0,3.0,1.0,,,,
1998,35,10,10,1.0,8,2.0,4.0,4.0,3.0,6.0,1.0,2.0,5.0,,,1.0,,4.0,,3.0,1.0,,,,,
1999,53,10,12,3.0,5,,6.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,7.0,,,3.0,,,,,
2000,61,9,27,5.0,19,3.0,8.0,2.0,2.0,3.0,,2.0,6.0,,,,,4.0,,,10.0,1.0,,,,
2001,97,10,17,6.0,22,2.0,6.0,3.0,3.0,13.0,,3.0,10.0,,1.0,3.0,,10.0,1.0,,6.0,1.0,,,,
2002,77,21,21,13.0,17,2.0,9.0,3.0,4.0,11.0,,5.0,9.0,,,,,12.0,,1.0,7.0,1.0,,,,
2003,80,15,23,5.0,23,2.0,8.0,4.0,4.0,11.0,,,7.0,,2.0,1.0,,8.0,,1.0,9.0,4.0,2.0,,,
2004,104,7,16,,21,10.0,12.0,2.0,1.0,12.0,,3.0,11.0,,1.0,2.0,,14.0,,1.0,9.0,1.0,,,,1.0
2005,111,28,14,7.0,27,14.0,8.0,3.0,2.0,7.0,1.0,3.0,3.0,,1.0,1.0,,6.0,1.0,2.0,7.0,2.0,,,,1.0
2006,110,24,34,6.0,27,5.0,7.0,6.0,6.0,19.0,,3.0,6.0,,,2.0,,11.0,1.0,1.0,8.0,1.0,1.0,,,
2007,147,29,35,4.0,38,8.0,8.0,5.0,4.0,24.0,,3.0,9.0,,4.0,1.0,,18.0,,1.0,10.0,2.0,,,,
2008,168,41,22,8.0,28,5.0,9.0,15.0,4.0,19.0,6.0,4.0,11.0,,2.0,2.0,,12.0,1.0,4.0,18.0,5.0,,,,
2009,173,35,38,15.0,48,3.0,10.0,8.0,8.0,19.0,5.0,4.0,11.0,,2.0,2.0,,20.0,,1.0,15.0,1.0,,,,
2010,176,41,45,7.0,44,8.0,12.0,9.0,4.0,21.0,3.0,3.0,10.0,,1.0,,2.0,20.0,,2.0,12.0,1.0,,1.0,,
2011,197,32,42,9.0,46,10.0,10.0,11.0,6.0,30.0,3.0,6.0,12.0,1.0,4.0,,,24.0,2.0,4.0,9.0,2.0,1.0,1.0,,4.0
2012,253,45,55,16.0,59,8.0,17.0,8.0,3.0,17.0,6.0,22.0,13.0,1.0,4.0,,,15.0,3.0,3.0,15.0,6.0,,1.0,,1.0
2013,288,46,56,18.0,61,15.0,19.0,10.0,7.0,17.0,7.0,19.0,11.0,1.0,2.0,1.0,,20.0,1.0,2.0,18.0,3.0,,,,
2014,309,57,63,26.0,60,16.0,27.0,15.0,7.0,23.0,9.0,15.0,16.0,,4.0,2.0,4.0,31.0,2.0,3.0,29.0,1.0,1.0,,,1.0
2015,328,60,71,25.0,63,10.0,25.0,11.0,2.0,40.0,9.0,19.0,23.0,,3.0,3.0,2.0,19.0,2.0,3.0,36.0,4.0,2.0,,1.0,
2016,361,69,69,19.0,72,14.0,26.0,11.0,5.0,35.0,9.0,17.0,14.0,,2.0,2.0,2.0,27.0,1.0,4.0,50.0,6.0,2.0,,1.0,
2017,433,53,84,38.0,67,17.0,32.0,17.0,4.0,31.0,9.0,15.0,13.0,,8.0,5.0,1.0,25.0,4.0,1.0,65.0,8.0,2.0,,,4.0
2018,432,75,95,39.0,83,14.0,23.0,15.0,8.0,52.0,11.0,16.0,14.0,,12.0,2.0,9.0,29.0,3.0,6.0,58.0,5.0,1.0,1.0,1.0,
2019,424,53,87,37.0,88,24.0,44.0,26.0,14.0,51.0,21.0,30.0,21.0,3.0,13.0,2.0,13.0,38.0,6.0,5.0,50.0,3.0,1.0,2.0,2.0,
2020,614,120,98,43.0,110,20.0,43.0,33.0,15.0,64.0,20.0,25.0,38.0,2.0,19.0,4.0,15.0,43.0,3.0,13.0,74.0,4.0,,1.0,1.0,1.0
2021,589,113,109,53.0,168,31.0,45.0,42.0,16.0,85.0,15.0,24.0,38.0,2.0,12.0,4.0,8.0,45.0,2.0,19.0,56.0,5.0,2.0,3.0,2.0,2.0
2022,545,142,129,68.0,120,28.0,33.0,38.0,14.0,56.0,6.0,25.0,34.0,3.0,14.0,2.0,7.0,53.0,3.0,25.0,51.0,14.0,1.0,1.0,,1.0
2023,567,176,125,91.0,126,48.0,50.0,39.0,26.0,68.0,6.0,27.0,44.0,3.0,11.0,5.0,2.0,48.0,1.0,14.0,34.0,9.0,1.0,5.0,1.0,2.0
