,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1.0,2.0,4.0,,,,2.0,,,,,,,,2.0,,,,,,,,1.0,1.0,,
1981,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
1982,1.0,,2.0,,,1.0,1.0,,,,1.0,,1.0,,3.0,1.0,,,,,1.0,,1.0,,,
1983,4.0,1.0,5.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,
1984,4.0,1.0,1.0,,1.0,,1.0,,1.0,,,2.0,,,1.0,,,1.0,,,1.0,,,2.0,,
1985,2.0,3.0,5.0,,,,1.0,,,,,,1.0,,2.0,,,,,,1.0,,,,,
1986,2.0,,2.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,
1987,4.0,,,,1.0,,2.0,,,,,2.0,,,2.0,,,,,,,,,,,
1988,6.0,1.0,4.0,,1.0,,1.0,,,,,,,,6.0,,,3.0,,,,,,,,
1989,8.0,3.0,2.0,,2.0,1.0,4.0,,1.0,,,,,,5.0,,,,,,,,,,,
1990,7.0,,5.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,
1991,5.0,,2.0,,2.0,,2.0,,,,,1.0,,,3.0,,,,,,,2.0,,,,
1992,3.0,,,,4.0,,4.0,,,,1.0,,,,9.0,,,2.0,,,,,,,,
1993,4.0,1.0,4.0,,3.0,,7.0,,,,,,,,7.0,,,2.0,,,,,,,,
1994,4.0,1.0,4.0,,4.0,,6.0,,,2.0,1.0,,,,9.0,2.0,,1.0,,1.0,,,,,,
1995,10.0,1.0,5.0,,4.0,,1.0,,,,,,,,2.0,,,2.0,,1.0,,,,,,
1996,5.0,4.0,3.0,,13.0,,6.0,,,3.0,,,,,5.0,,,1.0,,,,,,,,
1997,,5.0,4.0,,16.0,,3.0,,,,,1.0,,,10.0,,,3.0,,,,,,,,
1998,6.0,5.0,6.0,1.0,15.0,,5.0,,,,,,,1.0,5.0,,,6.0,,,,,,1.0,,1.0
1999,8.0,2.0,4.0,,8.0,,5.0,,1.0,,,,,,7.0,,2.0,6.0,,,,,,,,
2000,11.0,2.0,8.0,,14.0,,1.0,,1.0,3.0,,1.0,,,12.0,1.0,,8.0,,1.0,,,,,,
2001,5.0,4.0,5.0,,5.0,,5.0,,1.0,,,,,,11.0,,,3.0,,,,,,,,
2002,7.0,3.0,9.0,1.0,13.0,1.0,4.0,,,,,1.0,,,10.0,,,2.0,,,,,,,,
2003,13.0,11.0,9.0,,14.0,,5.0,,,,,,1.0,,21.0,,1.0,2.0,,,,,,,,
2004,13.0,13.0,6.0,1.0,19.0,,6.0,,,,1.0,2.0,,,13.0,,1.0,2.0,,1.0,2.0,1.0,,,,
2005,14.0,5.0,13.0,,28.0,1.0,11.0,1.0,1.0,2.0,,3.0,,1.0,14.0,,,4.0,,2.0,,1.0,,,,
2006,4.0,15.0,16.0,1.0,44.0,1.0,11.0,,1.0,1.0,1.0,,,,25.0,,,3.0,1.0,3.0,1.0,,,,,
2007,11.0,10.0,11.0,,36.0,2.0,8.0,1.0,1.0,1.0,,,,,23.0,,,4.0,,,,,,,,
2008,10.0,9.0,16.0,2.0,59.0,1.0,6.0,,,,2.0,,1.0,,29.0,,1.0,5.0,,1.0,,,,,,
2009,6.0,7.0,12.0,,68.0,1.0,8.0,,1.0,,2.0,,3.0,,26.0,,,4.0,,2.0,,,,,,
2010,16.0,15.0,16.0,2.0,79.0,3.0,5.0,2.0,1.0,2.0,,,1.0,,23.0,,,5.0,,3.0,,,,,,
2011,13.0,6.0,4.0,1.0,57.0,1.0,6.0,,,4.0,,,,,17.0,,1.0,6.0,,1.0,,,,,,
2012,21.0,12.0,15.0,3.0,63.0,1.0,6.0,,2.0,1.0,,,1.0,,21.0,,,3.0,,2.0,1.0,,,,,
2013,17.0,21.0,16.0,2.0,47.0,2.0,10.0,1.0,2.0,1.0,,1.0,3.0,4.0,18.0,,,10.0,,2.0,,1.0,,,,
2014,39.0,18.0,21.0,3.0,85.0,3.0,9.0,4.0,1.0,4.0,1.0,6.0,4.0,4.0,29.0,,1.0,10.0,,6.0,,1.0,1.0,,,1.0
2015,31.0,15.0,17.0,2.0,65.0,3.0,9.0,1.0,2.0,,1.0,1.0,,2.0,28.0,,,6.0,,2.0,,1.0,1.0,,,
2016,31.0,17.0,18.0,1.0,67.0,4.0,10.0,,1.0,2.0,,5.0,3.0,1.0,21.0,,,5.0,1.0,2.0,1.0,1.0,1.0,,,
2017,28.0,24.0,17.0,6.0,86.0,3.0,12.0,4.0,1.0,4.0,,4.0,2.0,1.0,24.0,,,14.0,,7.0,,1.0,1.0,,,1.0
2018,36.0,32.0,21.0,5.0,74.0,4.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,35.0,1.0,2.0,13.0,,1.0,1.0,1.0,,1.0,,
2019,36.0,25.0,23.0,3.0,75.0,3.0,12.0,5.0,,5.0,2.0,2.0,,,25.0,,,5.0,,2.0,1.0,,,,,
2020,28.0,35.0,26.0,9.0,85.0,3.0,11.0,,5.0,4.0,2.0,5.0,1.0,,37.0,9.0,1.0,7.0,4.0,1.0,1.0,,1.0,,,
2021,28.0,22.0,28.0,5.0,84.0,2.0,8.0,5.0,6.0,5.0,4.0,4.0,1.0,,30.0,,2.0,5.0,1.0,1.0,,,,,,
2022,26.0,37.0,36.0,7.0,100.0,4.0,9.0,2.0,4.0,11.0,3.0,5.0,,1.0,24.0,1.0,,12.0,1.0,3.0,,3.0,1.0,1.0,,
2023,24.0,76.0,24.0,4.0,88.0,4.0,20.0,4.0,8.0,10.0,3.0,7.0,1.0,,24.0,1.0,,7.0,1.0,,,,2.0,3.0,1.0,
2024,22.0,62.0,27.0,4.0,87.0,5.0,5.0,4.0,6.0,11.0,,5.0,3.0,1.0,28.0,1.0,1.0,5.0,1.0,1.0,,,,,1.0,
