,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,3,2.0,1.0,,1,,,2.0,,,1.0,1.0,,1.0,,,,,1.0,,,,,1.0
1981,4.0,1.0,3,,2.0,,1,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,1.0
1982,,1.0,4,,,,2,,,,,,,,1.0,,,,,,1.0,,,,,
1983,,,4,,2.0,,2,,,,,,,1.0,1.0,,,2.0,,,1.0,,,,,
1984,3.0,,7,,,,1,,,1.0,,,,,1.0,1.0,,,,,,,,,,
1985,6.0,2.0,8,,,,1,,1.0,,,,,,1.0,,1.0,2.0,,,,,,,,
1986,2.0,,4,,3.0,,4,,,,,,,1.0,1.0,1.0,,3.0,,,,1.0,,,1.0,
1987,12.0,,11,2.0,1.0,,5,,1.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,1.0
1988,19.0,2.0,17,2.0,1.0,1.0,5,,1.0,1.0,,,1.0,,,2.0,,4.0,,,1.0,,,,,2.0
1989,13.0,3.0,22,1.0,,1.0,12,,2.0,1.0,1.0,,1.0,1.0,1.0,5.0,2.0,8.0,,1.0,3.0,,,,,1.0
1990,12.0,1.0,22,1.0,7.0,,9,2.0,1.0,1.0,,,3.0,1.0,2.0,4.0,2.0,6.0,,1.0,2.0,,1.0,1.0,1.0,2.0
1991,26.0,1.0,23,,1.0,,8,,2.0,1.0,1.0,,1.0,,2.0,7.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0
1992,8.0,2.0,24,2.0,4.0,1.0,15,3.0,1.0,,3.0,2.0,,,4.0,3.0,2.0,7.0,,1.0,1.0,,,,1.0,
1993,10.0,2.0,33,2.0,3.0,,12,1.0,3.0,2.0,1.0,,2.0,,1.0,1.0,,5.0,,1.0,3.0,,1.0,,,1.0
1994,18.0,5.0,42,4.0,5.0,3.0,19,1.0,2.0,4.0,,,,1.0,4.0,3.0,1.0,2.0,,3.0,5.0,1.0,,,,
1995,22.0,3.0,25,1.0,4.0,,11,1.0,5.0,,1.0,1.0,,,5.0,3.0,,2.0,,,2.0,2.0,,,,
1996,10.0,4.0,22,2.0,9.0,,9,2.0,5.0,3.0,,2.0,,,,,1.0,2.0,1.0,6.0,1.0,,,,,1.0
1997,14.0,3.0,30,1.0,15.0,3.0,10,,,2.0,1.0,3.0,2.0,,6.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,,,,1.0
1998,19.0,3.0,32,1.0,5.0,1.0,21,1.0,2.0,4.0,,2.0,2.0,,3.0,3.0,1.0,7.0,,2.0,2.0,,,,,1.0
1999,14.0,3.0,30,2.0,7.0,1.0,18,,3.0,3.0,2.0,1.0,2.0,,1.0,4.0,,11.0,,1.0,3.0,,1.0,,,1.0
2000,31.0,7.0,31,1.0,12.0,3.0,11,2.0,4.0,2.0,1.0,,9.0,,3.0,2.0,1.0,11.0,,1.0,2.0,,,,,
2001,19.0,18.0,30,6.0,15.0,3.0,15,,10.0,5.0,1.0,1.0,3.0,,6.0,,,7.0,,,1.0,1.0,,1.0,,
2002,12.0,9.0,47,1.0,14.0,1.0,13,,2.0,5.0,2.0,2.0,9.0,,1.0,2.0,,4.0,2.0,,3.0,,,,,
2003,18.0,21.0,33,9.0,16.0,4.0,8,1.0,4.0,5.0,3.0,2.0,8.0,1.0,5.0,2.0,,9.0,,2.0,1.0,,,,,
2004,32.0,15.0,47,4.0,20.0,3.0,14,3.0,1.0,15.0,,6.0,5.0,,3.0,4.0,1.0,9.0,,,2.0,,,1.0,1.0,
2005,33.0,21.0,52,6.0,15.0,1.0,13,1.0,3.0,4.0,1.0,6.0,6.0,,5.0,1.0,,6.0,,2.0,7.0,,,,,2.0
2006,40.0,23.0,55,3.0,25.0,5.0,18,4.0,6.0,9.0,1.0,2.0,11.0,,3.0,2.0,2.0,11.0,,,2.0,1.0,,,,1.0
2007,17.0,22.0,46,9.0,15.0,5.0,17,4.0,10.0,7.0,1.0,6.0,5.0,1.0,8.0,1.0,3.0,12.0,,,2.0,1.0,,,,1.0
2008,33.0,18.0,58,14.0,27.0,6.0,13,,11.0,5.0,1.0,4.0,8.0,2.0,5.0,3.0,2.0,6.0,,2.0,3.0,2.0,,,,
