,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,205,95,209,65,34,11,63,19,15,12,21,5,13,22,17,4,21,32,,14.0,16,,3,6,4.0,10
1981,191,98,178,67,38,22,63,22,11,15,24,5,17,20,21,9,26,28,1.0,12.0,12,7.0,2,7,3.0,7
1982,211,107,177,93,35,20,61,28,30,13,14,8,15,30,18,6,34,17,5.0,20.0,18,3.0,4,8,1.0,6
1983,197,98,210,83,45,24,65,25,26,18,14,13,17,24,27,11,18,19,11.0,14.0,18,5.0,3,6,2.0,6
1984,201,110,208,94,55,26,59,25,26,16,26,8,11,17,26,7,35,27,3.0,24.0,12,6.0,5,11,,7
1985,245,127,223,84,57,38,59,22,21,17,22,9,12,15,36,6,32,20,7.0,19.0,19,8.0,3,18,2.0,2
1986,243,127,237,113,71,35,82,27,21,28,24,10,22,15,27,16,36,31,7.0,16.0,35,4.0,4,8,4.0,5
1987,302,123,250,108,76,25,85,21,29,21,34,13,20,16,34,9,47,25,8.0,13.0,29,10.0,5,8,6.0,7
1988,297,116,252,86,75,34,95,21,26,25,31,12,16,14,32,7,42,34,6.0,19.0,24,8.0,6,15,7.0,10
1989,370,113,245,100,60,31,95,32,13,20,29,13,20,20,33,6,55,38,7.0,19.0,31,11.0,3,9,4.0,12
1990,470,111,278,81,64,11,95,14,31,37,40,11,19,9,27,9,48,43,5.0,11.0,34,5.0,6,18,1.0,11
1991,444,103,257,86,42,23,87,24,32,33,19,20,23,8,32,6,45,29,7.0,9.0,51,11.0,5,8,3.0,5
1992,427,110,226,78,57,22,85,27,15,39,15,12,23,20,21,8,30,28,1.0,3.0,43,9.0,6,6,1.0,5
1993,399,98,257,63,60,19,64,18,23,27,22,10,17,15,14,10,40,25,3.0,11.0,35,5.0,5,3,1.0,6
1994,342,84,189,60,70,21,52,21,9,28,18,16,20,11,12,6,25,34,5.0,4.0,40,3.0,3,9,1.0,2
1995,328,59,196,55,66,20,61,19,9,21,19,20,19,22,13,2,29,43,3.0,8.0,31,3.0,2,6,3.0,4
1996,345,90,258,60,51,21,68,21,11,27,23,18,27,21,18,1,33,31,6.0,6.0,38,2.0,8,15,2.0,9
1997,314,97,242,76,47,23,54,23,13,31,23,25,29,15,15,1,22,29,3.0,9.0,29,1.0,7,7,1.0,8
1998,313,90,223,54,56,14,42,12,13,22,19,19,25,16,20,6,16,32,6.0,,30,7.0,7,13,1.0,3
1999,364,118,268,60,57,22,58,34,29,32,23,12,29,15,14,8,17,28,6.0,13.0,51,6.0,8,20,1.0,7
2000,571,194,321,101,98,38,78,41,26,79,24,25,41,9,24,5,27,44,6.0,12.0,52,37.0,8,15,5.0,5
2001,583,148,352,83,135,37,64,29,23,69,19,25,29,18,20,13,28,34,8.0,16.0,45,24.0,13,18,2.0,6
2002,779,163,425,135,161,51,108,41,27,89,25,43,46,15,13,6,32,58,10.0,16.0,61,40.0,27,16,4.0,10
2003,692,199,466,162,148,72,126,46,31,96,27,53,63,13,33,12,27,68,13.0,17.0,67,32.0,22,25,1.0,8
2004,1175,277,572,200,226,93,168,60,49,158,43,66,89,12,42,18,43,62,16.0,28.0,68,24.0,42,42,8.0,13
2005,1186,391,660,257,226,87,179,81,66,185,46,83,123,29,62,18,54,92,19.0,20.0,78,44.0,38,47,7.0,12
2006,1305,396,693,293,238,106,126,94,55,171,59,73,107,39,45,24,69,86,20.0,20.0,83,71.0,28,44,7.0,16
2007,1275,386,595,316,264,116,141,75,86,131,84,73,136,31,21,17,39,89,23.0,29.0,75,55.0,31,64,5.0,10
2008,1345,406,580,252,235,113,152,103,62,166,66,98,135,38,37,30,39,90,15.0,33.0,66,53.0,37,60,2.0,12
2009,1621,550,657,303,318,138,178,118,96,201,94,133,185,41,49,39,53,91,39.0,26.0,105,69.0,30,74,7.0,10
2010,1941,688,1004,529,426,205,248,132,120,243,133,225,254,67,67,42,78,155,39.0,51.0,139,81.0,60,135,5.0,28
2011,2190,948,1004,622,487,277,288,206,187,289,123,293,366,59,86,34,80,136,53.0,56.0,141,120.0,68,83,10.0,20
2012,2295,1327,1108,770,607,269,329,215,233,278,140,419,409,89,138,38,77,136,73.0,85.0,168,156.0,70,97,9.0,30
2013,2873,1867,1519,1087,884,455,418,323,309,403,182,548,562,148,182,40,114,178,113.0,139.0,226,188.0,80,170,13.0,34
2014,3700,2095,2027,1376,1065,596,572,334,331,498,238,620,630,158,235,76,142,219,128.0,178.0,255,233.0,115,209,9.0,45
2015,3772,1873,2044,1300,1122,563,543,329,322,445,305,589,620,133,175,86,160,218,108.0,139.0,261,191.0,103,229,19.0,47
2016,4116,1966,2046,1531,1286,620,645,357,412,509,359,682,669,144,220,72,205,235,147.0,173.0,249,230.0,95,186,21.0,45
2017,4189,2190,2512,2007,1551,830,792,426,380,589,472,796,795,169,282,111,226,297,162.0,224.0,377,265.0,95,255,30.0,59
2018,4813,2678,2960,2538,1870,976,907,491,475,633,509,1095,962,173,366,96,271,342,225.0,257.0,338,322.0,102,249,38.0,68
2019,5123,3305,3522,3296,2317,1322,1024,572,584,748,768,1419,1328,185,431,106,305,356,291.0,362.0,441,426.0,109,281,42.0,71
2020,6766,4279,4690,3628,2814,1616,1334,929,682,949,903,1690,1816,244,497,160,372,444,357.0,694.0,590,516.0,146,371,63.0,77
2021,6925,4803,4928,3942,2961,1787,1462,1004,717,1033,961,1683,1973,267,499,189,349,448,378.0,794.0,589,498.0,164,350,53.0,82
2022,6994,4317,4210,3879,3029,1878,1375,1002,653,1084,977,1880,1979,265,537,187,370,536,430.0,652.0,549,479.0,133,392,58.0,87
2023,7280,4798,3980,4119,3098,2058,1358,1010,699,1162,1020,2048,1964,222,475,155,453,542,439.0,698.0,544,522.0,143,361,45.0,67
2024,7150,4790,4132,4206,3040,2369,1388,1040,632,1236,1015,1926,1730,288,489,232,417,495,504.0,654.0,607,527.0,136,338,51.0,41
