,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,4.0,6,6.0,,1.0,,,,1.0,2.0,,,3.0,,,,,,,,,,,,,
1981,4.0,1,3.0,,2.0,,,,1.0,4.0,2.0,1.0,3.0,,2.0,,,,,,,,,,,
1982,6.0,14,2.0,1.0,3.0,,1.0,,4.0,1.0,,,3.0,,,,,,,,,,,,,
1983,3.0,5,2.0,,,,,,,,,,,,,,,,,,,,,,,
1984,3.0,2,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
1985,,10,2.0,3.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,
1986,5.0,7,9.0,,1.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,
1987,3.0,9,7.0,2.0,,,1.0,2.0,4.0,,,1.0,2.0,,,,,1.0,,,,,,,,
1988,1.0,3,3.0,1.0,1.0,1.0,,2.0,6.0,4.0,,,2.0,,,,,,,,,,,,,
1989,3.0,7,2.0,2.0,2.0,,,1.0,4.0,,1.0,,1.0,,1.0,,1.0,,,,2.0,,,,,1.0
1990,5.0,9,3.0,1.0,1.0,1.0,,1.0,4.0,,,,2.0,,,,,,1.0,,,,,,,
1991,6.0,4,10.0,,3.0,,4.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,,,,,
1992,5.0,7,7.0,,2.0,,1.0,,5.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,
1993,8.0,7,11.0,2.0,3.0,,2.0,,2.0,4.0,,,,,1.0,,,2.0,,,,,,,,
1994,8.0,12,10.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,,2.0,2.0,,1.0,,,,,,,,,,,
1995,14.0,6,8.0,,,2.0,1.0,,8.0,4.0,,2.0,1.0,,1.0,,,,,,,,,,,
1996,14.0,11,9.0,,3.0,1.0,4.0,1.0,5.0,2.0,,,1.0,,2.0,2.0,,,,1.0,,,,,,
1997,11.0,9,10.0,3.0,3.0,2.0,4.0,2.0,8.0,4.0,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1998,9.0,13,10.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,,
1999,8.0,22,13.0,2.0,5.0,1.0,4.0,1.0,8.0,2.0,,,4.0,,2.0,,,1.0,1.0,,1.0,,,1.0,,
2000,21.0,34,19.0,4.0,9.0,2.0,5.0,1.0,7.0,4.0,2.0,2.0,1.0,,2.0,4.0,,3.0,,1.0,1.0,2.0,1.0,,,2.0
2001,15.0,37,15.0,2.0,12.0,6.0,4.0,2.0,9.0,,2.0,6.0,5.0,1.0,4.0,,,,1.0,1.0,,1.0,,,,
2002,17.0,35,18.0,6.0,10.0,5.0,6.0,3.0,10.0,7.0,5.0,7.0,3.0,,3.0,,1.0,,1.0,,,1.0,,1.0,,
2003,16.0,23,32.0,4.0,8.0,8.0,3.0,2.0,4.0,2.0,2.0,5.0,4.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,
