,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,21,38,89,5,8,,18,2,27,3,,1,5,1,4,,1,1,4,2,4,1,,1,,
1981,18,40,86,2,8,1,12,2,46,3,,,5,1,4,1,,2,,,4,,,,,1
1982,14,67,85,3,13,1,12,3,39,3,2,,5,,2,,2,1,2,1,2,1,,1,1,2
1983,19,60,83,7,12,1,6,9,22,8,2,,6,3,5,,2,1,,,4,1,,,,2
1984,30,62,57,7,22,3,9,6,41,6,,2,6,3,9,1,2,3,2,,2,5,,2,,1
1985,14,80,54,2,13,4,18,14,26,5,2,5,7,4,7,2,,3,2,2,1,1,,,,3
1986,24,95,59,5,21,1,11,12,38,9,3,1,11,7,6,,3,4,1,,4,1,,,,2
1987,35,106,84,12,15,9,14,15,35,10,2,5,12,1,4,2,5,2,2,,2,1,1,1,,2
1988,33,115,56,17,25,17,17,12,49,9,2,12,13,3,7,1,9,5,1,4,1,,,2,,1
1989,50,105,37,9,29,17,18,11,42,7,1,1,12,3,6,,3,6,1,4,4,3,,2,,1
1990,62,125,50,11,29,11,19,11,37,9,2,9,16,1,6,2,2,10,,4,7,3,4,,,2
1991,69,149,54,19,24,16,23,18,43,21,4,7,11,3,18,3,4,8,3,,12,2,1,3,,2
1992,75,213,62,22,43,31,21,22,65,14,5,14,12,8,12,,7,8,2,4,6,12,,,1,3
1993,74,170,87,39,34,24,29,16,58,18,3,19,16,5,8,1,5,8,2,2,8,9,1,1,,1
1994,73,266,87,20,24,33,38,25,81,23,4,15,12,5,6,2,5,7,1,1,4,8,,2,1,2
1995,98,227,84,25,27,29,31,17,58,17,4,17,16,5,8,2,7,6,1,1,3,13,1,2,,4
1996,92,222,83,32,27,22,28,15,50,22,12,14,14,11,7,4,11,10,3,3,5,10,1,3,,6
1997,120,231,76,28,45,24,28,23,80,18,4,24,15,10,13,2,9,11,1,7,5,11,2,4,,7
1998,145,237,123,22,73,20,22,28,92,38,13,24,29,6,16,7,9,16,2,2,3,9,8,4,2,4
1999,125,270,185,36,77,25,36,35,77,40,13,39,38,7,17,4,8,13,6,2,9,12,11,1,,5
2000,143,310,144,37,99,32,42,29,103,51,15,35,29,14,9,7,7,17,3,3,7,4,2,1,,4
2001,189,277,152,31,84,25,45,27,94,43,11,28,26,22,22,8,9,22,6,2,8,10,3,3,,8
2002,236,315,190,63,120,39,59,37,103,52,15,33,27,20,27,7,2,34,3,8,8,12,,5,2,14
2003,261,348,198,47,97,31,63,43,136,64,18,28,48,15,23,11,10,51,6,4,18,18,7,2,,11
2004,269,399,169,43,109,28,67,57,115,80,13,34,36,39,25,4,9,35,8,2,17,28,10,7,1,8
2005,342,440,213,72,117,50,67,51,110,81,17,44,44,32,36,11,19,37,14,5,14,23,21,8,4,8
2006,447,514,389,86,205,60,98,64,144,110,27,65,42,36,61,13,13,74,16,4,27,20,22,9,2,14
2007,472,533,313,79,212,100,113,50,132,105,31,60,60,35,41,22,10,56,11,5,24,25,26,4,2,28
2008,519,622,397,86,248,56,106,78,152,122,34,74,76,19,43,16,11,65,17,11,35,21,20,15,1,21
2009,533,594,385,77,247,68,112,80,169,124,29,93,104,46,41,13,9,57,15,11,23,30,28,16,6,26
2010,622,736,352,120,234,79,133,88,200,159,41,84,98,46,47,21,7,52,19,14,31,23,26,13,4,19
2011,667,815,399,96,272,78,155,115,203,192,49,102,132,42,93,8,15,84,27,15,24,23,32,14,4,19
2012,890,912,407,141,316,114,168,125,244,234,34,110,139,55,74,16,20,137,50,13,50,23,31,12,1,43
2013,1302,1055,504,174,414,153,200,224,236,332,55,155,143,58,76,30,49,164,36,19,52,34,39,20,6,38
2014,1789,2210,681,269,535,257,326,387,503,715,47,485,573,51,90,50,37,208,74,97,80,54,267,23,7,48
2015,1543,1425,607,185,453,230,219,297,343,537,43,188,231,57,108,44,35,101,48,28,52,42,92,28,3,20
2016,1293,1597,747,290,535,253,220,315,446,526,58,271,322,76,118,31,34,106,71,46,64,53,83,27,11,28
2017,1503,1781,795,325,630,281,274,385,467,576,56,263,399,90,130,40,35,116,87,38,58,59,107,20,2,18
2018,1563,2027,872,396,721,385,303,410,604,615,78,319,423,102,151,50,32,129,64,47,65,68,99,22,6,35
2019,1832,2479,1117,580,878,493,370,509,625,869,89,405,557,124,161,58,62,134,87,35,92,77,158,31,8,26
2020,2217,2976,1302,588,1113,704,443,690,561,827,111,526,775,110,193,64,50,146,103,79,93,92,216,50,7,34
2021,2586,3832,1298,720,1311,1203,431,913,638,815,113,558,1210,122,253,89,62,139,115,122,77,91,272,33,9,33
2022,2485,3458,1290,736,1347,1261,392,962,618,824,115,668,1292,95,201,78,50,171,126,116,77,104,221,52,7,32
2023,2651,3880,1257,934,1332,1336,425,960,599,822,120,817,1430,128,233,109,84,197,130,89,79,94,196,37,7,28
2024,2847,3570,1136,915,1278,1163,417,930,574,888,132,864,752,172,208,116,62,165,130,96,93,116,190,20,20,31
