,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1.0,5,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,
1981,,4,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,
1982,1.0,1,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
1983,1.0,3,2.0,2.0,,,,,,,6.0,,,,,,1.0,,,,,,,,1.0,
1984,,2,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,
1985,4.0,5,3.0,4.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,,,1.0,3.0,,,,,,,,,
1986,4.0,10,3.0,3.0,,,2.0,,,,,,,1.0,,,5.0,,,1.0,,,,,,
1987,,7,2.0,2.0,,,3.0,,1.0,,2.0,,,,,,2.0,,,,,,,,,
1988,4.0,15,2.0,6.0,1.0,,2.0,,3.0,,2.0,,,,,,7.0,,,,,,,,,
1989,2.0,14,3.0,8.0,,,3.0,2.0,1.0,,1.0,,,2.0,1.0,2.0,3.0,,,1.0,,,,,,
1990,2.0,4,,3.0,,,,,,1.0,1.0,1.0,,1.0,,,2.0,,,2.0,,,,,,
1991,,4,2.0,4.0,,2.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,1.0,,,,,,,,,
1992,3.0,7,2.0,5.0,,1.0,,,3.0,,2.0,,,1.0,,,4.0,,,1.0,,,,,,
1993,2.0,6,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,2.0,,,3.0,,,,,,,,1.0,
1994,3.0,7,3.0,7.0,,2.0,1.0,3.0,1.0,,3.0,,2.0,2.0,,,4.0,1.0,,2.0,,,,1.0,,
1995,4.0,10,5.0,4.0,1.0,,1.0,2.0,2.0,1.0,4.0,,,2.0,,1.0,,,1.0,,,,,,,
1996,5.0,7,5.0,12.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,,4.0,,,4.0,,1.0,2.0,,,,,,
1997,2.0,8,3.0,6.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,,1.0,,,,1.0
1998,6.0,3,4.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,8.0,1.0,1.0,4.0,,2.0,,,,
1999,9.0,8,6.0,11.0,2.0,2.0,2.0,7.0,1.0,2.0,3.0,1.0,,5.0,,,9.0,,,4.0,,1.0,,,,
2000,9.0,13,8.0,9.0,7.0,5.0,,4.0,4.0,3.0,3.0,,,7.0,3.0,2.0,8.0,,,5.0,2.0,1.0,,1.0,3.0,
2001,20.0,10,4.0,11.0,7.0,4.0,1.0,6.0,4.0,2.0,5.0,1.0,2.0,5.0,1.0,,7.0,,1.0,5.0,,,,,1.0,
2002,18.0,19,12.0,17.0,8.0,5.0,5.0,6.0,4.0,4.0,5.0,2.0,2.0,6.0,3.0,1.0,17.0,1.0,2.0,7.0,1.0,2.0,,,2.0,
2003,19.0,19,7.0,23.0,12.0,4.0,8.0,4.0,3.0,4.0,7.0,7.0,3.0,10.0,2.0,1.0,13.0,1.0,3.0,7.0,1.0,1.0,,,2.0,1.0
2004,40.0,23,12.0,14.0,5.0,4.0,6.0,12.0,6.0,3.0,3.0,5.0,9.0,15.0,6.0,,14.0,1.0,1.0,5.0,1.0,,,,1.0,1.0
2005,34.0,28,5.0,14.0,18.0,4.0,10.0,11.0,7.0,6.0,8.0,6.0,4.0,15.0,10.0,3.0,12.0,1.0,1.0,12.0,,2.0,,,3.0,
2006,42.0,20,12.0,24.0,15.0,10.0,8.0,9.0,3.0,11.0,7.0,5.0,3.0,8.0,9.0,4.0,16.0,3.0,2.0,7.0,,1.0,1.0,,4.0,
2007,48.0,32,15.0,31.0,17.0,11.0,11.0,6.0,1.0,13.0,10.0,4.0,3.0,17.0,5.0,,18.0,1.0,,11.0,3.0,5.0,1.0,2.0,7.0,1.0
2008,53.0,23,17.0,50.0,20.0,18.0,19.0,10.0,5.0,9.0,7.0,5.0,10.0,12.0,5.0,,26.0,5.0,,5.0,1.0,1.0,,2.0,2.0,
2009,65.0,34,13.0,35.0,21.0,10.0,20.0,10.0,5.0,8.0,14.0,8.0,3.0,8.0,7.0,2.0,33.0,5.0,1.0,4.0,2.0,4.0,2.0,1.0,5.0,
2010,75.0,65,17.0,45.0,17.0,36.0,20.0,12.0,6.0,15.0,19.0,22.0,5.0,6.0,15.0,5.0,38.0,8.0,1.0,4.0,4.0,11.0,4.0,11.0,3.0,
2011,71.0,55,22.0,63.0,27.0,64.0,19.0,11.0,6.0,8.0,22.0,13.0,5.0,20.0,13.0,3.0,32.0,3.0,6.0,10.0,4.0,6.0,5.0,2.0,9.0,
2012,103.0,71,34.0,51.0,37.0,74.0,23.0,12.0,9.0,18.0,35.0,20.0,8.0,17.0,10.0,5.0,49.0,3.0,10.0,17.0,6.0,8.0,5.0,3.0,11.0,1.0
2013,126.0,57,26.0,97.0,57.0,55.0,40.0,21.0,13.0,23.0,42.0,24.0,6.0,31.0,16.0,7.0,39.0,10.0,13.0,13.0,10.0,8.0,8.0,3.0,3.0,
2014,151.0,66,36.0,73.0,52.0,70.0,42.0,18.0,20.0,26.0,53.0,33.0,10.0,23.0,13.0,8.0,46.0,10.0,10.0,22.0,7.0,16.0,24.0,4.0,7.0,
2015,173.0,78,38.0,86.0,49.0,86.0,40.0,29.0,20.0,27.0,52.0,22.0,9.0,21.0,9.0,7.0,35.0,7.0,18.0,18.0,8.0,15.0,6.0,3.0,4.0,3.0
2016,178.0,102,44.0,94.0,47.0,75.0,38.0,29.0,22.0,27.0,53.0,27.0,18.0,18.0,14.0,5.0,40.0,17.0,19.0,17.0,9.0,12.0,1.0,7.0,4.0,3.0
2017,227.0,126,52.0,126.0,61.0,117.0,52.0,52.0,22.0,63.0,40.0,38.0,12.0,25.0,13.0,11.0,48.0,11.0,17.0,19.0,10.0,14.0,4.0,8.0,2.0,5.0
2018,279.0,137,62.0,142.0,51.0,104.0,52.0,45.0,31.0,40.0,55.0,50.0,23.0,32.0,12.0,8.0,29.0,5.0,17.0,19.0,12.0,16.0,9.0,10.0,1.0,2.0
2019,250.0,151,61.0,207.0,71.0,148.0,53.0,43.0,39.0,72.0,68.0,76.0,21.0,31.0,9.0,13.0,22.0,19.0,27.0,43.0,12.0,11.0,11.0,9.0,3.0,1.0
2020,308.0,257,65.0,226.0,78.0,148.0,61.0,89.0,41.0,81.0,63.0,98.0,26.0,37.0,11.0,11.0,37.0,15.0,21.0,32.0,14.0,19.0,17.0,9.0,6.0,1.0
2021,449.0,222,100.0,237.0,77.0,181.0,82.0,127.0,46.0,67.0,65.0,78.0,28.0,37.0,19.0,16.0,24.0,17.0,27.0,51.0,15.0,35.0,10.0,13.0,4.0,4.0
2022,561.0,280,106.0,324.0,98.0,168.0,65.0,116.0,38.0,89.0,85.0,90.0,35.0,44.0,22.0,21.0,32.0,19.0,24.0,45.0,17.0,18.0,19.0,10.0,5.0,2.0
2023,702.0,272,76.0,350.0,120.0,207.0,114.0,107.0,42.0,92.0,92.0,136.0,39.0,47.0,35.0,24.0,32.0,32.0,52.0,43.0,20.0,26.0,23.0,13.0,4.0,3.0
