,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,91,44,29,29,16,10,28,7,18,15,11,1.0,6,20,3,8,19,5,1,9,2.0,5,,3.0,1,1
1981,81,33,30,22,18,13,33,4,11,14,2,,5,35,9,12,27,9,3,10,2.0,10,,1.0,2,2
1982,80,48,36,30,14,19,39,8,23,12,11,2.0,3,28,3,11,15,1,9,2,2.0,3,,1.0,2,1
1983,86,55,24,50,28,18,25,7,24,23,21,1.0,3,42,8,8,13,4,5,6,4.0,6,1.0,1.0,2,2
1984,65,40,25,53,17,17,45,4,21,15,22,6.0,6,38,5,16,25,6,7,6,3.0,9,1.0,,2,3
1985,94,60,26,49,23,21,38,5,24,16,19,2.0,8,52,10,8,20,7,4,16,,6,2.0,1.0,6,1
1986,95,64,42,66,18,32,47,7,43,9,30,2.0,11,52,6,10,36,5,2,17,4.0,3,1.0,2.0,5,2
1987,96,64,32,71,34,36,54,17,29,20,37,3.0,11,63,17,18,54,18,10,17,2.0,8,1.0,2.0,4,1
1988,146,73,58,119,26,37,82,6,23,21,41,4.0,9,76,22,16,59,17,7,17,8.0,8,2.0,2.0,3,3
1989,171,68,43,135,36,37,80,13,39,16,36,5.0,10,74,21,19,61,19,9,16,7.0,7,1.0,2.0,12,4
1990,342,83,78,162,61,62,121,8,36,25,48,8.0,8,103,26,41,71,17,3,29,9.0,17,4.0,7.0,9,3
1991,390,66,67,182,49,66,144,11,53,30,63,8.0,17,106,36,34,78,20,13,26,8.0,11,6.0,,17,3
1992,485,76,80,194,69,72,130,19,44,43,66,2.0,21,111,40,22,90,19,6,28,8.0,14,3.0,9.0,14,5
1993,463,86,90,232,64,63,164,15,53,33,79,8.0,24,141,49,31,106,27,7,33,11.0,12,5.0,8.0,18,7
1994,511,102,112,246,86,93,191,21,93,44,110,20.0,24,149,22,34,118,23,14,41,8.0,27,5.0,11.0,24,5
1995,657,141,139,316,97,101,190,36,90,51,85,11.0,33,181,49,38,111,34,11,48,14.0,14,2.0,10.0,28,5
1996,523,130,142,354,116,124,230,36,96,38,132,23.0,39,224,54,60,130,34,19,48,19.0,20,6.0,6.0,26,6
1997,726,193,178,425,136,120,270,47,93,72,185,24.0,32,245,50,54,180,28,14,55,13.0,34,6.0,23.0,34,7
1998,797,236,180,443,179,202,277,50,122,79,179,35.0,55,309,75,49,169,41,9,55,21.0,45,3.0,12.0,30,4
1999,815,273,248,570,220,223,346,54,123,94,216,26.0,74,392,100,56,237,59,21,75,17.0,56,3.0,13.0,45,7
2000,855,361,278,607,233,249,377,56,146,96,272,59.0,91,408,96,70,235,45,23,86,23.0,45,5.0,14.0,50,6
2001,904,375,316,707,305,300,441,103,138,90,334,80.0,105,419,131,67,310,58,24,107,28.0,68,10.0,21.0,58,5
2002,1018,474,330,1575,396,1007,466,104,214,130,405,88.0,155,526,199,73,284,53,26,132,27.0,94,13.0,33.0,63,8
2003,1242,480,405,1257,416,667,582,114,177,136,440,122.0,205,601,175,85,307,68,40,146,42.0,81,15.0,48.0,65,7
2004,1282,508,482,1296,488,642,697,144,186,153,550,122.0,205,582,172,108,379,99,37,127,40.0,83,13.0,42.0,83,4
2005,1515,708,517,1545,576,776,733,175,268,169,509,186.0,221,611,214,114,394,90,36,183,40.0,102,10.0,39.0,85,9
2006,1939,836,578,1847,719,913,858,193,308,276,644,197.0,256,735,294,151,456,125,46,217,45.0,135,37.0,68.0,74,15
2007,1983,979,606,1833,868,958,910,282,389,278,586,306.0,317,711,339,159,440,110,51,233,62.0,131,40.0,66.0,87,18
2008,2493,1147,749,2104,958,1175,1042,309,482,275,768,317.0,360,763,381,211,493,133,71,309,58.0,192,45.0,71.0,131,29
2009,2736,1513,839,2375,1071,1232,1133,446,560,389,738,358.0,387,796,427,219,500,168,70,305,67.0,208,60.0,66.0,115,22
2010,3238,1794,804,2574,1208,1466,1297,502,620,520,766,421.0,440,901,539,263,579,183,82,362,77.0,243,52.0,81.0,153,23
2011,4097,2088,981,2796,1390,1506,1471,628,812,613,867,526.0,486,960,535,270,597,208,111,362,96.0,285,66.0,84.0,180,26
2012,4667,2799,1011,3075,1601,1706,1643,929,981,795,949,637.0,502,1156,523,399,596,240,130,435,97.0,320,98.0,121.0,206,26
2013,5650,2827,1119,3321,1809,1789,1691,895,1013,807,1026,736.0,566,1126,637,433,682,287,139,393,101.0,335,128.0,135.0,217,35
2014,6099,3495,1301,3568,1990,1922,1778,1033,1285,1001,994,811.0,582,1195,636,501,689,301,155,384,140.0,502,148.0,117.0,194,36
2015,6673,3859,1431,3732,2045,1829,1810,1100,1274,1002,1063,860.0,545,1173,698,518,666,315,179,379,134.0,390,157.0,151.0,196,59
2016,6885,4257,1342,3720,2122,1728,1788,1166,1541,1071,1042,922.0,587,1308,671,478,623,346,225,406,112.0,464,155.0,147.0,171,66
2017,7351,4889,1410,4082,2185,1716,1832,1312,1618,1124,1017,1029.0,621,1274,674,545,614,379,221,385,132.0,527,145.0,143.0,177,56
2018,7739,4939,1640,4262,2453,1933,1927,1185,1659,1150,1040,1086.0,611,1239,670,486,597,378,248,337,147.0,568,165.0,137.0,162,43
2019,8579,5690,1689,4629,2670,1972,1989,1319,2308,1424,1107,1219.0,717,1266,714,512,601,398,311,332,152.0,541,241.0,159.0,187,60
2020,9704,5928,1863,4798,2904,2085,2215,1606,2143,1503,1268,1205.0,820,1271,870,561,646,412,346,400,198.0,516,210.0,163.0,201,60
2021,11144,6456,2045,5097,3249,2172,2350,1973,1878,1795,1183,1426.0,873,1162,982,662,600,475,325,408,200.0,571,312.0,194.0,207,75
2022,10779,5520,2099,5282,3135,2163,2429,1793,1567,1577,1187,1410.0,931,1105,800,703,489,411,379,488,214.0,552,279.0,159.0,170,89
2023,10467,6579,2220,5295,3339,2422,2214,1841,1609,1870,1082,1579.0,987,1216,806,660,539,396,382,428,225.0,560,298.0,133.0,180,78
