,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,10,1,4,2,,,1,1,1,1,,,,,,,,2,,,,,,,,1
1981,3,2,,3,,,2,,,2,1,,,,,,2,,,,,,,,,
1982,3,13,3,1,2,,,1,1,3,,,,,,,1,1,1,,,,,,,
1983,6,6,2,1,3,,1,1,8,1,,,,,,,,,,,,,,1,,
1984,8,7,2,,1,,,1,4,2,,,2,,,,,3,1,,,,,,1,
1985,11,8,3,1,,,4,,4,,,,,,,,,1,,,,,,,,
1986,25,4,3,1,1,,4,2,1,5,1,1,,1,,1,,2,,,1,,,,,
1987,7,4,4,1,1,1,7,,2,1,,,1,1,,,,4,,,2,1,,,,
1988,20,7,4,1,2,,2,2,1,1,,,,,1,,,2,,,1,,,1,,
1989,11,7,3,1,2,,2,,2,2,,,,,1,,1,2,,,1,,,,,
1990,25,11,3,,4,1,7,,3,1,,1,1,,,,2,5,,1,1,,,,,
1991,32,8,1,,4,1,6,,2,1,,,2,,,,,7,,1,1,,,,,1
1992,26,4,9,1,8,1,5,1,2,2,,,2,,2,,,7,,,,,,,,4
1993,16,8,3,,1,3,2,3,3,1,1,,2,,1,,,3,,,1,,,,1,
1994,32,2,5,,2,,2,,1,1,1,1,,1,,,,2,,,,,,,,
1995,22,9,2,1,5,,5,,5,4,3,1,,,1,,1,5,,,,1,,,,
1996,37,9,6,3,5,3,1,1,1,1,3,,,3,1,,2,3,,,,,,,,2
1997,24,11,3,3,2,2,2,,5,1,4,,2,2,,1,2,9,,,,,,,,
1998,39,10,2,3,2,3,4,,5,2,9,,4,1,,,1,9,,,1,1,2,,,1
1999,47,9,4,2,,1,2,3,5,2,5,,1,,2,1,1,4,1,,,,,,,
2000,51,9,6,1,3,2,8,1,7,4,4,,2,,,,5,7,,,,,1,,,
2001,46,14,10,4,6,6,9,2,2,4,1,2,2,,1,3,5,10,,,,,,3,1,1
2002,55,15,10,8,4,3,14,,9,4,4,1,1,2,2,2,4,13,1,,2,1,,,2,3
2003,49,14,10,4,10,3,7,2,3,3,5,4,2,2,,,4,17,3,1,,1,,3,4,
2004,50,16,12,4,8,5,13,5,3,4,8,1,,1,1,,3,13,1,,1,,,,2,1
2005,80,31,11,11,6,12,18,6,5,4,14,1,,,,3,11,12,2,,,,,,6,1
2006,93,34,10,18,8,6,11,5,11,6,10,1,4,1,3,1,7,16,,,1,,1,2,,
2007,90,29,12,10,8,9,16,7,4,8,14,1,2,,1,2,5,17,1,,2,3,,,3,3
2008,93,30,12,9,11,6,15,1,5,14,9,4,7,,1,1,6,17,,,3,5,6,,,3
2009,151,44,24,23,16,10,19,9,11,20,14,1,3,,3,1,16,25,2,1,3,3,4,1,2,2
2010,151,56,24,17,23,10,25,7,7,20,8,10,6,1,1,2,15,25,1,,4,7,3,3,1,2
2011,198,68,38,18,20,18,34,11,17,38,11,6,9,1,2,3,7,24,3,2,2,5,2,,,1
2012,178,77,30,25,29,15,20,14,21,18,17,4,6,1,3,,11,10,2,1,4,5,6,2,1,2
2013,271,108,71,23,24,14,36,15,21,44,20,8,8,2,4,2,10,42,4,,10,6,6,4,5,2
2014,298,138,63,36,42,23,31,25,21,45,21,9,11,2,6,1,13,37,3,1,4,6,11,2,,1
2015,295,138,71,36,49,43,31,26,31,67,21,19,16,4,3,6,14,31,9,3,5,6,20,4,3,3
2016,404,253,91,41,71,46,41,32,32,93,17,21,20,8,5,5,11,42,5,4,13,7,10,3,2,2
2017,404,250,135,73,64,50,49,61,42,85,27,26,24,8,4,6,10,31,5,3,11,13,22,1,3,5
2018,379,284,126,62,105,46,63,45,53,91,11,33,46,4,12,6,8,39,13,1,13,13,17,2,1,2
2019,459,453,124,96,109,50,62,50,76,112,15,38,55,9,10,10,16,38,13,1,9,38,24,5,,8
2020,546,477,127,80,117,84,71,108,63,142,15,32,61,14,5,28,22,32,10,3,11,21,20,8,1,5
2021,529,440,151,87,105,108,60,94,48,143,20,41,71,7,9,10,15,40,13,11,17,12,30,8,1,8
2022,476,428,157,75,139,97,72,97,44,119,35,45,96,9,3,12,12,33,16,9,16,15,29,4,3,1
2023,527,563,163,88,131,101,58,111,73,156,27,53,153,14,10,15,9,33,12,9,16,15,22,8,1,8
2024,674,525,148,104,106,121,71,113,41,173,24,70,67,13,9,13,10,48,16,11,13,21,16,7,3,6
