,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,16,3,3,5,2.0,,2,7,2.0,2,1.0,,,,,3.0,,,,,,,,,,
1981,16,8,2,6,1.0,1.0,3,6,,8,,,1.0,,,2.0,2.0,,,,,,1.0,,,
1982,22,7,1,5,1.0,1.0,2,6,,9,3.0,,2.0,,2.0,2.0,4.0,,,1.0,1.0,,,1.0,,
1983,20,4,5,10,3.0,1.0,5,7,,8,1.0,,,,,4.0,1.0,2.0,1.0,4.0,,,,,,1.0
1984,31,9,5,13,,1.0,6,16,3.0,7,2.0,,,1.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,,1.0,,1.0
1985,33,9,8,10,3.0,,1,6,,14,4.0,1.0,3.0,5.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,
1986,45,14,9,13,1.0,1.0,2,15,1.0,8,4.0,4.0,2.0,,2.0,1.0,5.0,8.0,2.0,1.0,1.0,,3.0,,,
1987,38,15,3,14,1.0,,7,11,3.0,13,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,,,,1.0,,
1988,31,7,5,15,4.0,1.0,7,18,2.0,21,9.0,1.0,2.0,1.0,2.0,3.0,7.0,3.0,1.0,1.0,,1.0,,,1.0,
1989,55,11,2,16,6.0,2.0,8,13,,14,5.0,2.0,,4.0,6.0,4.0,5.0,5.0,2.0,1.0,,1.0,,,3.0,
1990,51,10,4,10,3.0,1.0,11,10,1.0,19,4.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,5.0,2.0,,1.0,,1.0,
1991,61,28,4,22,4.0,1.0,4,16,1.0,23,9.0,1.0,5.0,2.0,1.0,4.0,5.0,3.0,1.0,1.0,5.0,2.0,,,,
1992,70,12,6,9,2.0,,12,17,3.0,23,13.0,1.0,5.0,6.0,1.0,3.0,11.0,2.0,,,2.0,1.0,1.0,1.0,3.0,1.0
1993,88,9,4,26,5.0,,10,11,1.0,17,6.0,3.0,4.0,2.0,4.0,4.0,17.0,4.0,1.0,2.0,3.0,2.0,1.0,,,
1994,85,16,7,17,7.0,1.0,13,16,5.0,25,15.0,5.0,4.0,3.0,2.0,2.0,19.0,1.0,1.0,2.0,2.0,1.0,3.0,,1.0,2.0
1995,65,16,8,14,5.0,,5,22,3.0,26,16.0,3.0,7.0,1.0,6.0,3.0,8.0,3.0,,1.0,2.0,2.0,,,1.0,
1996,72,14,4,18,4.0,2.0,4,11,1.0,38,8.0,2.0,6.0,4.0,1.0,4.0,6.0,5.0,,2.0,2.0,2.0,1.0,,,
1997,121,24,6,32,8.0,4.0,6,13,3.0,54,6.0,4.0,3.0,1.0,,6.0,14.0,5.0,1.0,2.0,7.0,,1.0,1.0,4.0,1.0
1998,116,22,2,21,3.0,3.0,12,16,6.0,43,6.0,,8.0,5.0,4.0,8.0,10.0,3.0,,1.0,4.0,,5.0,1.0,,
1999,125,16,9,35,13.0,2.0,9,19,2.0,43,8.0,1.0,7.0,3.0,4.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,
2000,154,20,6,28,4.0,2.0,23,16,6.0,55,7.0,1.0,8.0,,2.0,4.0,9.0,8.0,2.0,1.0,4.0,5.0,2.0,1.0,,4.0
2001,186,35,9,28,8.0,5.0,32,19,10.0,57,2.0,5.0,10.0,4.0,5.0,4.0,9.0,12.0,1.0,4.0,4.0,5.0,7.0,3.0,1.0,3.0
2002,179,25,6,50,10.0,9.0,8,19,7.0,70,8.0,10.0,12.0,,6.0,5.0,6.0,8.0,2.0,3.0,7.0,5.0,8.0,,,
2003,194,41,10,59,7.0,10.0,26,21,6.0,69,6.0,7.0,19.0,6.0,7.0,7.0,6.0,7.0,,3.0,4.0,3.0,9.0,1.0,,
2004,224,24,9,45,5.0,32.0,24,24,2.0,65,19.0,10.0,13.0,2.0,1.0,6.0,9.0,4.0,2.0,8.0,4.0,5.0,6.0,1.0,6.0,2.0
2005,257,43,10,63,14.0,16.0,24,20,9.0,73,10.0,14.0,18.0,10.0,5.0,12.0,11.0,7.0,4.0,5.0,3.0,4.0,8.0,5.0,5.0,
2006,268,44,14,81,17.0,38.0,26,27,6.0,63,15.0,15.0,16.0,17.0,4.0,5.0,6.0,14.0,3.0,4.0,4.0,5.0,5.0,2.0,,2.0
2007,284,53,12,122,20.0,51.0,38,30,10.0,65,20.0,16.0,16.0,18.0,5.0,6.0,11.0,11.0,5.0,21.0,4.0,10.0,9.0,4.0,4.0,1.0
2008,370,61,27,147,18.0,87.0,34,58,7.0,94,14.0,29.0,24.0,22.0,7.0,10.0,8.0,17.0,3.0,14.0,12.0,15.0,11.0,1.0,4.0,1.0
2009,446,70,20,209,28.0,79.0,32,33,13.0,79,21.0,32.0,23.0,26.0,11.0,18.0,15.0,17.0,6.0,11.0,13.0,13.0,4.0,5.0,2.0,1.0
2010,511,105,26,260,52.0,120.0,59,52,18.0,89,22.0,43.0,26.0,34.0,12.0,26.0,14.0,21.0,13.0,17.0,9.0,20.0,16.0,3.0,8.0,4.0
2011,583,145,33,313,53.0,186.0,91,78,31.0,107,32.0,38.0,31.0,41.0,11.0,44.0,14.0,14.0,30.0,25.0,7.0,19.0,4.0,10.0,25.0,5.0
2012,720,185,44,452,86.0,258.0,158,78,18.0,107,54.0,44.0,40.0,59.0,15.0,26.0,34.0,10.0,27.0,26.0,13.0,21.0,12.0,14.0,32.0,1.0
