,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
1981,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
1982,,2.0,,,2.0,,,,1.0,1.0,,,,,5.0,,,,,,,,,,,
1983,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
1984,,4.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,
1985,1.0,,,,,,1.0,,5.0,1.0,,,,,,,,,,,,,,,,
1986,1.0,1.0,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,
1987,1.0,3.0,,,1.0,,1.0,,,,,1.0,,,,,,2.0,,,,,,,,
1988,5.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,2.0,,,2.0,,,,,,,,
1989,3.0,2.0,,1.0,,,,1.0,4.0,,,,,,2.0,,,1.0,,,,,,,,
1990,4.0,10.0,2.0,,,,3.0,,2.0,1.0,,,,,,,,,,,,,,,,
1991,1.0,4.0,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,2.0,,,,,,,,,
1992,1.0,6.0,3.0,,,,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,
1993,2.0,5.0,2.0,,1.0,,1.0,,4.0,,,,,,2.0,,3.0,,,,,,,,,
1994,4.0,2.0,4.0,,1.0,1.0,6.0,,5.0,,,,,,,,3.0,,,,,,,,,
1995,2.0,4.0,5.0,2.0,1.0,2.0,4.0,,1.0,,,,,,1.0,,2.0,,,1.0,,1.0,,,1.0,
1996,5.0,5.0,5.0,2.0,4.0,2.0,5.0,,2.0,1.0,,,,,1.0,1.0,9.0,,,,1.0,,,,,
1997,3.0,2.0,6.0,2.0,4.0,,3.0,,5.0,,1.0,,,,6.0,,5.0,,,2.0,,,,,,
1998,9.0,10.0,12.0,4.0,4.0,3.0,4.0,,3.0,,,3.0,,,6.0,,3.0,1.0,,1.0,,,,,,
1999,7.0,4.0,10.0,2.0,1.0,5.0,4.0,,,1.0,1.0,,1.0,,3.0,2.0,1.0,1.0,,1.0,,,,,,
2000,4.0,10.0,6.0,3.0,4.0,7.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,6.0,,2.0,,,2.0,,,,,,
2001,6.0,9.0,9.0,4.0,3.0,3.0,3.0,1.0,6.0,1.0,,,3.0,,7.0,,1.0,,,3.0,,,,,,1.0
2002,1.0,11.0,9.0,2.0,8.0,16.0,4.0,,10.0,1.0,,2.0,4.0,,7.0,,3.0,,,,,1.0,,,,
2003,10.0,13.0,12.0,6.0,6.0,12.0,3.0,1.0,8.0,2.0,,,7.0,1.0,10.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,,
2004,19.0,24.0,16.0,8.0,10.0,10.0,6.0,2.0,6.0,2.0,,,4.0,,13.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,
2005,13.0,30.0,27.0,8.0,14.0,10.0,5.0,,10.0,3.0,,1.0,4.0,,17.0,,,,,4.0,,2.0,,,,
2006,33.0,20.0,26.0,7.0,14.0,9.0,8.0,3.0,11.0,3.0,2.0,3.0,4.0,4.0,13.0,,,2.0,,6.0,,2.0,,,,
2007,32.0,20.0,32.0,3.0,19.0,12.0,16.0,2.0,13.0,4.0,,,11.0,2.0,16.0,2.0,,2.0,,1.0,,,,,,
2008,38.0,38.0,45.0,5.0,25.0,20.0,18.0,2.0,16.0,2.0,,1.0,8.0,2.0,25.0,,,,,3.0,1.0,3.0,,,,
2009,40.0,31.0,38.0,6.0,25.0,14.0,17.0,5.0,15.0,3.0,1.0,,7.0,3.0,27.0,,1.0,4.0,,3.0,,2.0,,,,
2010,35.0,35.0,47.0,13.0,25.0,5.0,15.0,5.0,16.0,4.0,1.0,2.0,7.0,1.0,27.0,3.0,,2.0,1.0,2.0,2.0,1.0,,,,
2011,45.0,36.0,42.0,6.0,37.0,6.0,16.0,4.0,19.0,7.0,1.0,5.0,10.0,1.0,24.0,2.0,1.0,7.0,,1.0,2.0,2.0,,,2.0,
2012,72.0,55.0,60.0,8.0,23.0,11.0,16.0,3.0,20.0,19.0,3.0,10.0,4.0,5.0,20.0,2.0,2.0,10.0,,1.0,,2.0,,,,
2013,73.0,43.0,64.0,8.0,48.0,17.0,13.0,7.0,16.0,11.0,,9.0,4.0,3.0,28.0,4.0,1.0,6.0,1.0,,2.0,,,1.0,,
2014,54.0,47.0,52.0,14.0,43.0,10.0,18.0,3.0,22.0,11.0,,1.0,7.0,,25.0,1.0,1.0,11.0,,1.0,,4.0,,1.0,,
2015,72.0,39.0,63.0,13.0,56.0,9.0,31.0,5.0,19.0,9.0,,1.0,4.0,2.0,39.0,3.0,,8.0,,2.0,1.0,3.0,1.0,,,1.0
2016,84.0,54.0,62.0,16.0,78.0,13.0,32.0,11.0,16.0,20.0,,3.0,5.0,5.0,37.0,2.0,1.0,7.0,1.0,1.0,4.0,2.0,4.0,1.0,,1.0
2017,100.0,68.0,72.0,8.0,65.0,14.0,44.0,5.0,20.0,18.0,1.0,5.0,6.0,4.0,37.0,4.0,1.0,11.0,2.0,1.0,3.0,2.0,,1.0,,
2018,98.0,67.0,56.0,16.0,70.0,13.0,30.0,5.0,25.0,12.0,,5.0,9.0,,47.0,4.0,,5.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0
2019,93.0,74.0,73.0,10.0,83.0,11.0,35.0,3.0,21.0,17.0,,5.0,9.0,2.0,46.0,2.0,3.0,9.0,4.0,1.0,2.0,1.0,,,,
2020,108.0,70.0,69.0,15.0,83.0,11.0,49.0,10.0,23.0,14.0,1.0,4.0,9.0,7.0,48.0,4.0,4.0,15.0,5.0,2.0,2.0,,,2.0,,
2021,111.0,93.0,85.0,12.0,101.0,11.0,33.0,11.0,29.0,10.0,,4.0,6.0,3.0,55.0,5.0,1.0,21.0,3.0,2.0,2.0,2.0,,1.0,,
2022,154.0,102.0,74.0,27.0,90.0,7.0,36.0,20.0,24.0,26.0,3.0,7.0,7.0,2.0,35.0,5.0,2.0,8.0,5.0,1.0,1.0,3.0,1.0,1.0,,
2023,135.0,199.0,89.0,27.0,110.0,17.0,47.0,15.0,76.0,27.0,4.0,7.0,11.0,3.0,36.0,6.0,2.0,8.0,2.0,3.0,2.0,1.0,,1.0,1.0,
2024,154.0,160.0,76.0,19.0,103.0,15.0,46.0,32.0,41.0,13.0,1.0,,6.0,4.0,45.0,12.0,1.0,6.0,2.0,2.0,4.0,1.0,,1.0,,
