,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,26,7,17,57,3,11,14,2.0,6,1.0,27,1.0,1,41,8,1.0,19,1.0,1.0,12,2.0,,,,3,
1981,29,3,17,64,4,11,22,2.0,10,1.0,29,3.0,3,45,5,1.0,22,3.0,4.0,19,,4.0,,,4,2.0
1982,17,9,19,59,3,22,9,2.0,10,,49,,2,18,7,1.0,19,5.0,1.0,18,,8.0,,,5,
1983,35,5,18,76,8,16,25,3.0,4,1.0,47,2.0,1,36,2,1.0,26,,1.0,14,,3.0,,2.0,4,
1984,26,13,21,80,7,22,14,1.0,5,3.0,48,1.0,5,42,5,6.0,21,3.0,,15,2.0,3.0,,,1,1.0
1985,24,7,16,97,7,29,17,2.0,2,2.0,65,3.0,5,45,10,,38,6.0,2.0,26,2.0,3.0,,3.0,6,
1986,24,10,13,92,7,10,16,2.0,11,,51,1.0,4,54,8,7.0,25,1.0,1.0,23,,,,1.0,5,
1987,55,10,22,105,5,34,29,1.0,10,1.0,51,2.0,1,48,7,4.0,34,7.0,,28,2.0,3.0,,3.0,5,
1988,72,5,14,95,12,8,16,6.0,15,4.0,45,1.0,2,57,5,7.0,26,11.0,2.0,15,3.0,3.0,,2.0,1,
1989,81,14,11,76,12,25,26,1.0,10,3.0,37,,6,43,5,12.0,29,4.0,4.0,26,5.0,1.0,,3.0,3,
1990,89,22,10,107,11,22,30,6.0,10,7.0,44,1.0,4,60,10,9.0,32,6.0,1.0,22,1.0,,1.0,3.0,4,
1991,286,17,12,110,8,25,59,7.0,8,5.0,57,2.0,4,71,8,12.0,34,14.0,2.0,25,6.0,2.0,2.0,4.0,3,
1992,295,16,16,144,8,34,69,2.0,20,11.0,74,2.0,7,108,12,16.0,43,24.0,,33,4.0,2.0,3.0,5.0,8,1.0
1993,215,15,18,159,15,44,57,,14,11.0,100,8.0,2,139,15,15.0,54,18.0,5.0,48,5.0,5.0,2.0,5.0,9,1.0
1994,235,20,18,237,30,62,59,9.0,19,11.0,125,4.0,4,138,17,9.0,91,13.0,6.0,51,4.0,4.0,2.0,4.0,14,
1995,263,20,18,255,19,76,80,4.0,27,13.0,133,4.0,7,202,16,15.0,108,16.0,3.0,60,11.0,8.0,3.0,4.0,13,2.0
1996,262,17,29,317,27,67,83,6.0,16,18.0,166,9.0,10,231,40,14.0,113,20.0,8.0,100,9.0,5.0,1.0,3.0,15,
1997,355,19,24,364,32,90,104,7.0,20,12.0,194,7.0,8,289,42,8.0,140,19.0,6.0,109,3.0,10.0,5.0,8.0,11,
1998,383,27,47,424,44,108,130,3.0,25,15.0,235,9.0,7,288,30,17.0,172,20.0,5.0,94,5.0,8.0,8.0,11.0,16,1.0
