,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,317,94,123,1200,137,123,377,27,26,9,737,14,26,966,247,132,964,13,42,187,9,27,,61,96,1
1981,381,79,159,1126,126,104,432,31,33,8,830,22,28,1150,235,104,1055,22,20,207,12,23,3.0,90,116,2
1982,345,86,158,1169,151,121,448,26,25,10,825,20,28,1106,226,107,1139,18,27,182,19,20,9.0,95,119,3
1983,377,110,140,1215,121,163,376,20,32,21,819,22,27,1170,208,115,1219,14,31,200,10,21,7.0,87,114,6
1984,388,110,161,1139,164,158,418,25,49,12,903,21,36,1196,267,123,1224,18,48,256,18,17,5.0,99,120,5
1985,327,129,137,1239,145,143,513,20,43,13,860,21,45,1317,269,140,1265,15,29,201,16,21,5.0,130,98,2
1986,369,159,166,1191,146,143,460,27,27,15,826,28,37,1100,276,106,1187,32,37,218,12,20,9.0,107,113,4
1987,540,150,150,1156,172,175,518,28,45,20,855,17,38,1199,274,138,1476,44,43,222,18,22,5.0,128,127,6
1988,643,162,166,1251,179,187,609,42,47,31,866,34,42,1576,300,185,1371,63,39,216,14,21,10.0,139,111,11
1989,693,224,235,1450,207,223,806,49,53,35,968,21,44,1942,364,195,1478,59,47,290,28,25,8.0,167,120,12
1990,805,287,205,1870,245,240,859,36,55,28,1211,44,59,2314,427,225,1699,96,61,289,32,22,6.0,165,124,5
1991,935,311,294,2179,295,251,964,61,55,49,1256,41,80,2737,507,240,1698,96,55,373,25,35,4.0,199,133,8
1992,843,346,286,2146,285,316,881,58,72,33,1120,53,83,2707,577,284,1251,89,67,386,23,26,13.0,123,105,10
1993,1045,351,332,2218,343,301,1031,59,76,63,1191,58,102,2756,664,275,1448,121,60,394,31,36,20.0,120,117,6
1994,1171,344,370,2673,353,381,961,60,100,42,1311,84,82,3406,633,323,1589,98,53,427,15,42,11.0,148,140,9
1995,1253,448,328,2682,382,428,1054,76,96,60,1507,81,86,3607,698,327,1451,122,49,569,24,52,16.0,114,155,12
1996,1591,463,392,3254,413,457,1144,84,83,64,1748,71,107,4288,706,342,1578,112,59,729,36,46,18.0,146,140,10
1997,2012,535,420,3354,488,462,1305,98,114,92,1933,69,129,4820,737,380,1658,150,46,691,42,46,13.0,158,119,30
1998,2050,473,540,3563,548,477,1718,84,110,118,2081,93,144,4914,759,460,1775,174,69,730,63,54,19.0,224,145,20
1999,2089,495,553,3527,548,521,1707,114,122,91,2149,98,162,5151,780,512,1911,191,66,751,60,51,33.0,226,146,25
2000,2581,602,875,4676,850,615,2238,153,145,129,2782,105,168,6046,1037,603,2394,230,114,960,64,67,34.0,262,220,24
