,Documents
1980,5970
1981,6410
1982,6490
1983,6658
1984,6989
1985,7151
1986,6828
1987,7583
1988,8326
1989,9754
1990,11427
1991,12893
1992,12199
1993,13233
1994,14838
1995,15685
1996,18100
1997,19913
1998,21399
1999,22102
2000,28018
2001,30621
2002,35737
2003,34201
2004,33861
2005,34412
2006,38173
2007,40275
2008,43008
2009,44159
2010,47751
2011,50574
2012,53659
2013,62087
2014,75421
2015,91732
2016,102901
2017,110991
2018,131366
2019,160735
2020,183141
2021,201421
2022,176164
2023,160931
2024,142985
