,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2.0,1.0,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
1981,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
1982,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
1983,3.0,,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
1984,1.0,2.0,2.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,
1985,8.0,1.0,1.0,,,,2.0,,,,,,,,,,,4.0,,,,,,,,
1986,3.0,1.0,5.0,,,,3.0,1.0,,,,,,,,,3.0,3.0,1.0,,,,,,,1.0
1987,8.0,1.0,2.0,,,,5.0,,,,,1.0,1.0,1.0,,,1.0,2.0,,,,,,1.0,,
1988,10.0,1.0,2.0,1.0,2.0,,4.0,,,,1.0,,,,,,,3.0,,,1.0,,,,,
1989,6.0,2.0,2.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,,,,,,3.0,,,,,,1.0,,
1990,6.0,1.0,4.0,,1.0,,3.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0
1991,7.0,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,3.0,,,,,,,,
1992,11.0,,1.0,2.0,,,,,,,,,,,,1.0,,5.0,1.0,,,1.0,,,,
1993,16.0,3.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,,5.0,,1.0,,,,,,
1994,13.0,1.0,3.0,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,
1995,8.0,3.0,4.0,4.0,,,1.0,,,,1.0,,,,,,,4.0,,,,,,,,
1996,9.0,2.0,5.0,1.0,2.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,
1997,7.0,4.0,6.0,,1.0,,3.0,,,1.0,,,,,,,,1.0,,,,,,,,
1998,9.0,,2.0,2.0,1.0,,,1.0,,1.0,,,,,,,,4.0,1.0,,1.0,,,,,
1999,4.0,2.0,1.0,,1.0,,2.0,,,,,,,,1.0,,,3.0,,,,,,,,
2000,47.0,12.0,11.0,12.0,3.0,,,1.0,2.0,,,3.0,,,,,1.0,1.0,,3.0,6.0,4.0,,1.0,,
2001,74.0,11.0,5.0,5.0,5.0,,,5.0,,5.0,,11.0,3.0,1.0,,,,,,2.0,10.0,12.0,,,,
2002,46.0,4.0,13.0,11.0,,4.0,1.0,3.0,,1.0,1.0,3.0,3.0,1.0,,,1.0,1.0,,2.0,9.0,14.0,,,,
2003,41.0,9.0,10.0,15.0,4.0,4.0,,5.0,,16.0,,,2.0,3.0,,1.0,,1.0,1.0,1.0,4.0,4.0,,,,
2004,56.0,18.0,10.0,11.0,12.0,2.0,1.0,1.0,1.0,2.0,,6.0,2.0,,,1.0,,4.0,2.0,,,12.0,,1.0,,
2005,46.0,17.0,15.0,9.0,11.0,5.0,1.0,2.0,2.0,2.0,,3.0,4.0,,,,,,,1.0,6.0,8.0,,1.0,,
2006,50.0,12.0,12.0,17.0,6.0,7.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,,9.0,10.0,,,,
2007,83.0,8.0,15.0,10.0,7.0,7.0,1.0,3.0,1.0,11.0,1.0,5.0,2.0,1.0,,1.0,1.0,2.0,2.0,5.0,8.0,7.0,,1.0,,1.0
2008,67.0,24.0,12.0,3.0,7.0,2.0,3.0,1.0,1.0,7.0,,12.0,7.0,,,1.0,,6.0,,2.0,3.0,8.0,1.0,1.0,,2.0
2009,69.0,18.0,21.0,14.0,13.0,4.0,4.0,13.0,1.0,5.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,7.0,,3.0,13.0,18.0,1.0,1.0,,1.0
2010,89.0,15.0,15.0,10.0,10.0,5.0,3.0,11.0,3.0,6.0,1.0,12.0,12.0,1.0,3.0,5.0,1.0,9.0,1.0,,3.0,16.0,,1.0,1.0,
2011,111.0,25.0,19.0,21.0,21.0,3.0,4.0,7.0,4.0,13.0,2.0,10.0,6.0,2.0,1.0,1.0,,9.0,2.0,5.0,8.0,12.0,,,,
2012,160.0,33.0,27.0,14.0,33.0,8.0,7.0,11.0,5.0,13.0,5.0,13.0,12.0,4.0,2.0,,3.0,14.0,,3.0,3.0,11.0,,,,
