,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,30,6,7,56,12,5,13,2,1,,8,1,,18,7,,16,4,2,7,,1,,4,,
1981,61,11,8,49,18,6,17,1,3,4.0,10,1,1.0,18,6,,14,5,4,11,4.0,4,1.0,3,6.0,
1982,76,8,15,87,18,17,17,2,1,2.0,14,4,3.0,38,12,2.0,25,7,1,11,1.0,2,4.0,1,2.0,1.0
1983,95,15,19,86,27,19,20,2,1,2.0,22,6,2.0,25,12,7.0,25,8,3,9,5.0,3,,4,1.0,2.0
1984,154,17,27,80,25,23,27,3,5,4.0,20,10,1.0,18,18,2.0,29,5,10,20,6.0,3,3.0,2,2.0,4.0
1985,182,17,33,112,24,20,31,5,4,6.0,16,10,6.0,31,9,3.0,37,9,9,15,2.0,6,2.0,1,1.0,3.0
1986,204,16,21,109,31,37,33,4,2,8.0,27,5,4.0,30,18,6.0,50,15,13,20,5.0,8,2.0,6,5.0,2.0
1987,305,17,44,160,35,33,42,8,3,5.0,22,5,8.0,26,22,7.0,55,18,3,23,8.0,8,7.0,9,6.0,4.0
1988,410,21,57,146,28,29,56,9,3,15.0,25,4,5.0,41,15,7.0,73,30,10,35,15.0,8,6.0,8,7.0,13.0
1989,406,30,31,153,61,39,62,4,4,16.0,36,4,7.0,30,18,2.0,63,28,13,32,9.0,8,12.0,8,9.0,10.0
1990,454,18,32,177,40,48,65,4,4,9.0,28,13,9.0,39,17,10.0,68,32,9,34,17.0,10,20.0,15,8.0,10.0
1991,514,26,38,193,41,51,64,9,14,15.0,33,12,18.0,44,21,7.0,46,36,9,38,13.0,10,11.0,8,11.0,16.0
1992,536,20,54,194,46,38,84,10,6,20.0,30,10,5.0,39,17,10.0,53,26,6,26,14.0,14,10.0,7,7.0,12.0
1993,521,15,56,212,55,52,73,17,8,23.0,36,12,8.0,49,19,13.0,50,28,14,30,17.0,23,9.0,11,10.0,13.0
1994,554,24,47,258,61,67,81,9,4,33.0,32,15,6.0,49,17,13.0,53,21,15,36,10.0,18,16.0,15,6.0,5.0
1995,619,25,57,284,58,59,97,13,4,32.0,40,18,5.0,49,30,14.0,77,28,12,27,18.0,14,10.0,7,12.0,10.0
1996,699,25,54,288,56,54,94,16,7,31.0,39,30,6.0,40,15,10.0,65,17,13,28,10.0,18,18.0,12,13.0,7.0
1997,679,31,53,282,59,76,75,7,5,28.0,41,31,9.0,40,27,20.0,64,21,4,36,20.0,19,15.0,9,14.0,6.0
1998,687,31,67,275,36,55,99,9,9,23.0,35,24,14.0,41,20,23.0,60,19,7,25,9.0,16,24.0,9,12.0,8.0
1999,692,30,55,295,43,69,120,9,10,40.0,46,29,18.0,37,15,19.0,66,18,6,28,12.0,18,13.0,10,16.0,9.0
2000,764,37,88,287,56,69,99,14,8,47.0,55,37,19.0,48,26,34.0,69,32,8,40,18.0,20,14.0,24,10.0,11.0
2001,680,30,46,305,48,61,93,13,7,32.0,50,29,17.0,50,21,11.0,87,19,4,43,8.0,16,24.0,16,13.0,14.0
2002,749,39,79,590,42,206,106,13,9,44.0,80,36,28.0,85,21,20.0,107,30,5,58,10.0,26,40.0,22,11.0,6.0
2003,761,41,54,403,43,133,106,16,8,40.0,62,65,15.0,66,39,27.0,95,30,15,68,9.0,18,38.0,17,22.0,10.0
2004,856,34,72,388,53,134,140,12,9,53.0,69,50,20.0,62,31,23.0,111,32,14,57,13.0,20,30.0,11,17.0,10.0
2005,785,34,66,390,44,139,127,20,8,41.0,72,51,19.0,70,23,28.0,105,32,10,68,7.0,12,34.0,9,12.0,13.0
