,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,22,27,6,23,7,10,11,10,2,4,38,45,24,20,3,1,28,1.0,1.0,6,1.0,1,1.0,1,1,
1981,16,40,7,24,2,9,18,10,5,3,28,56,13,30,6,6,27,,3.0,6,,4,,4,3,1.0
1982,18,28,8,16,9,8,12,7,5,4,30,19,9,16,7,5,24,3.0,2.0,7,,7,,1,2,
1983,30,33,9,23,3,5,18,10,7,3,20,26,10,13,3,2,23,1.0,1.0,6,,5,,4,2,2.0
1984,30,45,6,23,7,4,8,12,11,2,40,25,19,20,7,4,19,3.0,5.0,3,,6,,3,2,
1985,38,48,8,33,6,10,18,10,10,3,18,40,16,30,3,3,22,1.0,,9,1.0,6,2.0,2,2,2.0
1986,47,52,6,33,10,13,8,17,15,3,35,31,17,30,3,7,14,2.0,1.0,11,1.0,7,2.0,5,3,1.0
1987,36,44,6,32,6,22,20,16,7,9,37,14,10,30,5,10,35,4.0,1.0,11,1.0,1,1.0,6,3,
1988,59,35,5,58,13,23,26,17,17,13,54,10,20,48,5,14,32,1.0,1.0,17,4.0,3,3.0,4,1,1.0
1989,69,60,10,77,11,22,28,22,19,12,43,11,33,48,9,14,39,3.0,,16,,2,1.0,19,1,
1990,110,62,21,69,27,31,39,22,20,14,42,17,25,54,21,17,52,4.0,2.0,13,3.0,4,,11,9,
1991,96,106,23,86,30,30,28,21,24,18,48,18,40,55,15,11,41,5.0,1.0,21,5.0,7,1.0,9,7,
1992,133,100,23,118,36,43,63,26,28,18,52,36,34,75,13,16,56,11.0,2.0,21,3.0,4,,11,5,
1993,99,117,29,111,32,53,49,33,27,24,53,31,31,77,11,15,48,12.0,4.0,32,5.0,4,,7,11,
1994,132,145,27,140,61,69,74,22,30,18,72,37,41,98,15,11,63,11.0,10.0,29,4.0,3,,10,6,1.0
1995,141,128,32,173,43,44,78,26,39,19,81,34,33,114,16,10,67,11.0,7.0,35,1.0,8,1.0,16,5,
1996,179,155,36,205,65,91,73,37,32,32,81,40,46,124,24,19,73,17.0,7.0,32,5.0,11,3.0,11,7,1.0
1997,224,183,36,221,78,78,94,37,40,29,100,58,42,107,42,16,104,24.0,10.0,44,5.0,12,8.0,10,15,
1998,224,183,79,236,67,99,115,33,64,27,109,69,76,103,27,17,92,20.0,5.0,49,7.0,11,1.0,12,22,2.0
1999,256,202,49,230,86,113,117,38,51,24,141,72,60,135,32,21,115,28.0,4.0,45,11.0,22,7.0,11,14,2.0
2000,391,224,81,280,94,116,183,50,51,32,167,67,60,127,45,59,118,46.0,6.0,52,15.0,10,11.0,23,17,1.0
2001,396,266,92,295,79,149,154,50,72,39,188,73,69,136,46,18,131,40.0,9.0,54,7.0,11,,16,19,8.0
2002,433,360,95,593,108,349,188,51,96,58,175,91,84,189,74,32,148,44.0,6.0,90,5.0,34,10.0,23,18,4.0
