,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,101,12,88,129,48,26,102,6,14,6.0,87,1,5,123,55,7,138,13,3,40,6,9,,5,7,6
1981,104,14,77,111,36,26,103,3,9,,66,3,11,108,46,13,99,7,2,34,8,4,1.0,4,8,6
1982,118,25,64,107,34,32,99,9,12,5.0,73,3,6,135,60,14,100,12,3,36,3,11,1.0,9,5,10
1983,120,35,77,110,65,51,87,11,10,,54,2,8,117,67,14,104,14,4,33,6,9,,5,6,5
1984,142,29,67,138,48,42,103,8,12,,77,3,7,101,59,17,113,9,3,36,5,10,,2,8,11
1985,102,29,74,173,52,41,100,4,7,5.0,122,1,11,132,73,19,119,18,5,50,4,5,1.0,6,14,7
1986,124,42,94,138,70,34,112,6,6,3.0,72,2,17,166,68,22,125,10,3,39,9,5,,6,10,5
1987,206,33,123,177,78,49,130,7,15,2.0,81,10,14,159,81,34,140,29,2,55,12,6,,8,5,11
1988,277,35,129,161,60,45,172,21,11,5.0,111,6,15,187,73,40,118,50,3,47,9,3,1.0,11,14,4
1989,274,44,133,177,86,47,198,20,11,6.0,111,4,28,202,60,38,142,64,2,49,9,7,1.0,9,21,7
1990,541,63,180,230,101,58,287,19,20,35.0,133,5,22,224,61,73,186,60,4,66,12,4,2.0,11,8,16
1991,470,52,156,242,102,56,261,20,26,17.0,129,8,13,214,65,45,175,70,7,60,19,8,,22,18,12
1992,470,51,167,260,97,77,300,24,13,21.0,145,9,22,230,71,54,182,86,7,74,22,16,,5,11,14
1993,475,50,164,279,103,69,298,18,15,20.0,193,2,16,279,62,48,209,62,8,65,23,8,3.0,14,21,11
1994,442,57,125,265,132,95,271,15,16,16.0,149,9,24,288,44,36,242,75,10,78,32,13,5.0,12,29,11
