,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,3.0,2.0,11,2.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,
1981,1.0,4.0,7,,3.0,,2.0,,,,,,,,,,,,,,,,,,,
1982,2.0,4.0,5,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,
1983,1.0,,4,3.0,,1.0,2.0,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,
1984,,2.0,4,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0
1985,1.0,5.0,1,,1.0,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,
1986,2.0,,4,,,,,2.0,,,,,,2.0,1.0,,,,,,1.0,,,,,
1987,,1.0,3,1.0,1.0,,3.0,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,
1988,2.0,4.0,4,2.0,3.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
1989,2.0,1.0,2,,2.0,,,,,,,,,,,,,1.0,,,,,,,,
1990,4.0,1.0,4,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
1991,2.0,2.0,4,2.0,2.0,,,2.0,,,,,,,,,,1.0,,,,,,,,
1992,6.0,1.0,6,2.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,
1993,3.0,2.0,2,1.0,1.0,,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,,,
1994,4.0,4.0,3,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,
1995,1.0,2.0,5,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,
1996,8.0,,3,,4.0,,,1.0,,1.0,,2.0,,,,,3.0,2.0,1.0,,,,,,,
1997,9.0,,1,,,,,,4.0,,1.0,,1.0,,,,,,,,,,,1.0,,1.0
1998,3.0,1.0,2,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,2.0,,,,,,,,
1999,3.0,5.0,6,,,,,,,,,,1.0,,,,,,,,,,,,,
2000,2.0,13.0,5,,5.0,,,,,3.0,,,,1.0,,,,,,,,,,,,
2001,7.0,8.0,4,2.0,,,,3.0,2.0,,,,2.0,1.0,,,,2.0,,,1.0,,,,,
2002,4.0,7.0,1,,2.0,1.0,,2.0,1.0,2.0,,1.0,,,1.0,,,,,,2.0,,,,,
2003,5.0,7.0,2,,2.0,,1.0,,6.0,,1.0,,,,,,,2.0,,,1.0,,,,,
2004,3.0,5.0,4,2.0,1.0,,,2.0,3.0,2.0,,,,,,,,1.0,,,,,,,,
2005,4.0,7.0,8,6.0,3.0,1.0,2.0,,2.0,,,1.0,1.0,,,,,,,,,1.0,,,,
2006,11.0,13.0,4,2.0,,4.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,
2007,1.0,11.0,2,2.0,1.0,,,2.0,1.0,1.0,,1.0,,,2.0,,,,2.0,,1.0,,1.0,,,
2008,4.0,4.0,1,2.0,3.0,1.0,1.0,,3.0,4.0,,3.0,2.0,,,,,1.0,,,2.0,,,,,
2009,6.0,10.0,4,1.0,,,2.0,,3.0,,,2.0,2.0,,,,,,,,4.0,1.0,,1.0,,
2010,16.0,12.0,9,3.0,2.0,,5.0,1.0,,1.0,1.0,3.0,,,,,,2.0,,,8.0,1.0,,,,
2011,19.0,14.0,11,,6.0,1.0,,,,1.0,1.0,,2.0,,,,,5.0,1.0,,,1.0,,,,
2012,25.0,6.0,11,,6.0,,,1.0,2.0,,,,1.0,,,,,4.0,,1.0,2.0,1.0,,,,
2013,31.0,16.0,7,3.0,6.0,2.0,2.0,2.0,1.0,,1.0,,,,1.0,,,1.0,,1.0,2.0,,,,,
2014,36.0,12.0,13,1.0,5.0,2.0,3.0,3.0,2.0,4.0,,2.0,1.0,,,,,2.0,,,,,,,,
2015,82.0,11.0,19,1.0,8.0,,3.0,4.0,,1.0,,1.0,1.0,,1.0,,,1.0,,2.0,5.0,,,,,
2016,129.0,9.0,19,3.0,15.0,,8.0,,3.0,3.0,1.0,2.0,6.0,,2.0,,,1.0,,,5.0,,,,,
2017,113.0,7.0,22,2.0,15.0,1.0,2.0,7.0,,13.0,,7.0,4.0,,2.0,1.0,,3.0,,,7.0,1.0,,,1.0,
2018,93.0,9.0,15,4.0,14.0,1.0,3.0,5.0,4.0,6.0,,4.0,9.0,,2.0,,,1.0,,1.0,3.0,3.0,,,,
2019,82.0,26.0,26,4.0,14.0,9.0,4.0,5.0,4.0,7.0,,5.0,12.0,,1.0,,,8.0,1.0,,2.0,4.0,,1.0,,1.0
2020,136.0,20.0,36,17.0,30.0,5.0,5.0,14.0,1.0,5.0,,9.0,12.0,,,,,5.0,3.0,5.0,9.0,4.0,,1.0,,
2021,144.0,44.0,31,12.0,25.0,6.0,7.0,11.0,5.0,11.0,,8.0,26.0,1.0,1.0,,2.0,12.0,1.0,9.0,8.0,1.0,1.0,,,2.0
2022,140.0,59.0,51,12.0,46.0,15.0,6.0,11.0,8.0,18.0,4.0,12.0,25.0,2.0,2.0,,,13.0,4.0,11.0,10.0,2.0,1.0,1.0,,3.0
2023,143.0,59.0,47,5.0,26.0,14.0,8.0,15.0,3.0,16.0,1.0,30.0,37.0,,5.0,,1.0,17.0,,7.0,10.0,5.0,,3.0,,
2024,179.0,62.0,37,30.0,27.0,17.0,13.0,14.0,3.0,23.0,2.0,30.0,37.0,,,1.0,,13.0,,5.0,9.0,5.0,,,,
