,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2,,3.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,
1981,4,1.0,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
1982,7,1.0,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,
1983,5,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,2.0,,,1.0,,
1984,6,1.0,,2.0,1.0,,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,
1985,5,1.0,,,,,3.0,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,,,2.0,,,,,
1986,4,,1.0,2.0,1.0,,2.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,
1987,9,5.0,4.0,,1.0,,,1.0,,,,,,,2.0,1.0,1.0,2.0,,,,,,1.0,,1.0
1988,7,,2.0,,,,3.0,,,2.0,,,,1.0,1.0,5.0,1.0,4.0,,,,,,,,
1989,9,1.0,7.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,,,2.0,3.0,3.0,,1.0,,,,1.0,,
1990,9,3.0,6.0,,2.0,,3.0,2.0,,,,,,,1.0,1.0,1.0,3.0,,,3.0,,,,,
1991,14,2.0,1.0,2.0,,,1.0,,6.0,1.0,,1.0,1.0,,,,2.0,1.0,,,,,,,,
1992,9,,2.0,7.0,1.0,,1.0,1.0,4.0,2.0,,,,7.0,1.0,,1.0,,,1.0,2.0,,,,,
1993,10,,3.0,2.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0
1994,11,,1.0,2.0,,,1.0,2.0,1.0,1.0,,,,1.0,,1.0,2.0,1.0,,,1.0,,,,,
1995,7,1.0,,1.0,,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,
1996,5,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
1997,8,1.0,,1.0,,,4.0,1.0,3.0,1.0,,1.0,1.0,,,2.0,,1.0,,,,,,,,
1998,9,1.0,,1.0,,,2.0,3.0,,1.0,,1.0,1.0,,,1.0,,,,,3.0,,,,,
1999,11,2.0,,1.0,1.0,,2.0,1.0,2.0,,,,,,,2.0,,,,,1.0,,,,,
2000,14,8.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,2.0,,2.0,,1.0,,,,,,
2001,3,8.0,,,2.0,1.0,2.0,1.0,2.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,
2002,13,3.0,2.0,,1.0,1.0,1.0,3.0,1.0,2.0,,2.0,1.0,,,,,2.0,,,2.0,,,,,
2003,12,6.0,2.0,,,,3.0,,1.0,3.0,,,3.0,,,2.0,,,,,2.0,,1.0,,,
2004,9,9.0,5.0,2.0,1.0,6.0,1.0,2.0,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,
2005,11,9.0,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,,,,,,1.0,,2.0,,,,1.0,,
2006,4,13.0,,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,
2007,8,12.0,3.0,,1.0,,2.0,2.0,6.0,3.0,,3.0,,,,,1.0,,,,,2.0,,,,
2008,18,11.0,8.0,2.0,,,3.0,3.0,3.0,2.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,
2009,41,19.0,2.0,6.0,9.0,1.0,5.0,1.0,5.0,3.0,1.0,,4.0,,2.0,,,3.0,,,4.0,,1.0,1.0,,
2010,20,16.0,6.0,8.0,5.0,3.0,5.0,3.0,8.0,4.0,,2.0,,,,2.0,1.0,1.0,,1.0,3.0,1.0,,,,
2011,27,15.0,7.0,6.0,5.0,4.0,9.0,2.0,8.0,11.0,,,6.0,1.0,,1.0,1.0,3.0,1.0,1.0,,2.0,,,,
2012,33,26.0,12.0,5.0,3.0,6.0,4.0,4.0,5.0,7.0,,2.0,1.0,,1.0,3.0,,6.0,,,1.0,,,2.0,,
2013,47,40.0,2.0,5.0,5.0,4.0,7.0,7.0,10.0,2.0,1.0,3.0,2.0,,1.0,4.0,,4.0,,1.0,1.0,1.0,2.0,1.0,,1.0
2014,53,38.0,4.0,6.0,11.0,4.0,6.0,8.0,7.0,8.0,1.0,,1.0,,1.0,6.0,,4.0,,,,,,1.0,,
2015,50,14.0,3.0,6.0,6.0,1.0,10.0,3.0,5.0,4.0,,4.0,,,,1.0,4.0,3.0,1.0,,1.0,,3.0,,,1.0
2016,57,26.0,4.0,5.0,7.0,3.0,6.0,3.0,17.0,8.0,,3.0,2.0,,1.0,1.0,2.0,3.0,,,2.0,2.0,,2.0,,1.0
2017,109,36.0,12.0,9.0,6.0,7.0,7.0,8.0,13.0,12.0,2.0,5.0,8.0,1.0,,1.0,,3.0,,,5.0,5.0,,1.0,,
2018,174,58.0,9.0,13.0,10.0,5.0,12.0,9.0,17.0,8.0,2.0,7.0,6.0,,2.0,7.0,1.0,5.0,1.0,,3.0,3.0,1.0,4.0,,
2019,208,45.0,13.0,8.0,6.0,9.0,16.0,11.0,14.0,9.0,2.0,5.0,6.0,,1.0,6.0,2.0,3.0,1.0,,4.0,3.0,1.0,1.0,1.0,1.0
2020,275,51.0,20.0,6.0,11.0,7.0,23.0,22.0,13.0,19.0,3.0,10.0,8.0,1.0,,8.0,3.0,9.0,,4.0,1.0,3.0,3.0,1.0,,3.0
2021,450,64.0,17.0,20.0,14.0,20.0,27.0,30.0,17.0,36.0,,10.0,10.0,4.0,2.0,10.0,1.0,8.0,,3.0,10.0,6.0,8.0,4.0,,
2022,608,77.0,36.0,19.0,25.0,13.0,35.0,53.0,24.0,28.0,3.0,20.0,17.0,5.0,4.0,15.0,2.0,16.0,2.0,8.0,9.0,3.0,13.0,5.0,,2.0
2023,605,130.0,37.0,37.0,27.0,28.0,26.0,49.0,16.0,48.0,8.0,37.0,39.0,6.0,8.0,14.0,,22.0,3.0,12.0,12.0,12.0,9.0,7.0,,3.0
2024,566,136.0,41.0,32.0,51.0,38.0,39.0,41.0,14.0,47.0,2.0,48.0,39.0,12.0,5.0,16.0,1.0,22.0,8.0,7.0,24.0,19.0,9.0,4.0,1.0,2.0
