,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,17,13,1,27,4.0,4,13,3,8,,7,3.0,5,8,3,2,14,2,1.0,4.0,1.0,,,,2.0,1.0
1981,16,14,9,45,,12,16,8,6,,10,,7,8,7,10,11,1,2.0,,,1.0,,1.0,1.0,1.0
1982,18,13,7,49,8.0,8,23,1,9,2.0,9,1.0,4,11,15,3,15,4,1.0,3.0,1.0,,,,,
1983,15,14,10,39,5.0,15,23,8,15,2.0,11,3.0,9,3,14,5,16,6,,2.0,1.0,2.0,,,2.0,
1984,22,9,9,53,3.0,7,22,4,7,1.0,9,2.0,13,9,11,7,11,4,,2.0,1.0,1.0,,1.0,2.0,
1985,30,19,13,52,9.0,7,29,2,9,2.0,14,1.0,8,9,9,5,9,2,,,,1.0,,2.0,1.0,
1986,28,11,8,51,10.0,14,24,3,12,3.0,8,1.0,6,12,11,6,7,3,,3.0,1.0,,1.0,,1.0,
1987,30,22,7,57,13.0,13,34,9,5,4.0,5,,7,18,21,12,9,9,,2.0,,1.0,,1.0,1.0,1.0
1988,30,22,13,46,10.0,9,33,12,13,7.0,12,1.0,14,22,10,19,12,1,,6.0,,2.0,,,1.0,
1989,47,31,17,57,18.0,13,42,8,6,4.0,8,3.0,14,16,16,15,10,7,1.0,2.0,,,,,5.0,
1990,41,29,13,61,18.0,13,46,5,16,5.0,6,1.0,12,15,16,20,7,7,,3.0,3.0,4.0,,,2.0,
1991,41,27,7,45,28.0,17,40,14,13,5.0,11,4.0,10,14,14,15,6,5,,2.0,1.0,1.0,1.0,,2.0,
1992,47,27,10,61,23.0,14,40,10,14,3.0,17,1.0,10,10,16,15,8,5,,3.0,2.0,2.0,,,1.0,1.0
1993,58,27,11,59,16.0,15,53,13,14,6.0,8,4.0,8,11,13,8,7,9,,3.0,1.0,,,,1.0,
1994,42,37,6,59,9.0,18,41,3,13,1.0,9,3.0,15,9,12,11,4,9,,5.0,1.0,1.0,,,1.0,
1995,41,37,7,61,5.0,27,51,9,16,4.0,13,4.0,16,13,7,7,3,6,1.0,8.0,1.0,3.0,,1.0,3.0,
1996,65,33,9,63,11.0,16,42,12,27,5.0,15,3.0,5,15,14,17,9,7,,1.0,,,,2.0,3.0,
1997,62,40,9,51,9.0,13,31,15,21,15.0,20,6.0,15,13,5,15,9,2,,7.0,3.0,3.0,,,3.0,1.0
1998,92,33,10,31,17.0,15,38,16,14,12.0,7,6.0,15,11,6,19,5,7,1.0,3.0,3.0,1.0,1.0,1.0,3.0,
1999,140,36,11,40,12.0,15,33,12,17,19.0,6,7.0,12,7,5,8,3,12,,5.0,2.0,3.0,,1.0,2.0,
2000,78,42,7,40,10.0,14,45,14,22,14.0,7,6.0,13,12,7,13,3,8,1.0,5.0,5.0,5.0,,,2.0,1.0
2001,69,57,9,41,13.0,11,34,10,12,15.0,8,8.0,12,11,10,12,6,8,,3.0,4.0,,,1.0,,
2002,57,42,6,44,16.0,24,24,9,24,14.0,9,8.0,13,7,6,9,2,4,2.0,1.0,5.0,1.0,,,1.0,2.0
2003,62,49,8,56,9.0,13,37,15,21,9.0,16,15.0,15,5,13,13,6,10,,3.0,1.0,2.0,,1.0,1.0,
2004,64,50,10,42,7.0,16,34,12,27,8.0,15,11.0,8,11,4,11,2,9,,5.0,3.0,,,,1.0,1.0
2005,96,50,7,69,13.0,38,38,18,31,14.0,19,25.0,16,12,4,9,7,4,1.0,2.0,,7.0,,,,1.0
2006,84,75,13,100,23.0,47,39,19,30,11.0,12,6.0,19,18,12,16,6,7,,5.0,2.0,1.0,,,,
2007,113,63,16,110,22.0,53,38,20,30,20.0,18,19.0,9,36,9,14,8,9,1.0,3.0,3.0,6.0,,,1.0,1.0
2008,121,68,23,76,12.0,36,42,18,33,9.0,15,22.0,19,23,3,14,8,11,,2.0,3.0,4.0,2.0,1.0,1.0,1.0
2009,139,106,19,71,12.0,36,57,21,36,9.0,18,25.0,29,33,7,22,5,12,2.0,5.0,4.0,8.0,2.0,2.0,1.0,2.0
2010,136,76,16,71,10.0,34,48,15,27,17.0,20,17.0,26,23,10,16,11,15,4.0,8.0,1.0,4.0,1.0,,3.0,
2011,105,92,12,81,14.0,27,47,20,33,18.0,26,16.0,23,27,8,22,12,6,,7.0,2.0,4.0,,1.0,1.0,3.0
2012,110,95,22,99,29.0,29,62,37,47,10.0,24,34.0,29,44,13,26,9,16,,5.0,4.0,5.0,1.0,,5.0,1.0
2013,142,123,30,106,29.0,37,56,27,45,17.0,31,37.0,49,28,10,19,12,13,4.0,5.0,3.0,9.0,,1.0,3.0,1.0
2014,130,147,29,117,19.0,56,74,19,39,20.0,41,34.0,35,44,4,26,16,14,8.0,5.0,5.0,8.0,1.0,3.0,3.0,1.0
2015,205,164,36,128,23.0,60,77,26,49,35.0,39,44.0,36,34,8,19,9,13,9.0,3.0,6.0,8.0,1.0,,,
2016,218,145,50,122,11.0,67,75,39,55,21.0,35,36.0,34,37,11,30,12,14,1.0,13.0,6.0,9.0,4.0,5.0,2.0,5.0
