,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,3.0,36,1.0,1.0,1.0,1.0,,,2,,1.0,,,,,,,,,,,,,,,
1981,1.0,35,1.0,1.0,,2.0,,,5,,,,1.0,,,,,,,,,,,,,
1982,2.0,24,1.0,,2.0,1.0,,,4,1.0,,1.0,,,,,,,,,,,,,,
1983,3.0,45,1.0,,,,1.0,,2,1.0,,,2.0,2.0,,,,,,,,,,,,1.0
1984,4.0,48,1.0,,1.0,,1.0,1.0,5,1.0,,,5.0,,,,,,,,,,,1.0,,
1985,1.0,49,,1.0,2.0,,3.0,1.0,8,,,,1.0,,,,,,,,,,,,,
1986,4.0,81,2.0,,3.0,,,3.0,7,1.0,,4.0,3.0,,,,,,,,,,,,,
1987,,66,,,,4.0,,1.0,11,2.0,1.0,2.0,3.0,,,1.0,,,,,,,,,,
1988,5.0,86,4.0,4.0,4.0,,,3.0,5,2.0,,,5.0,,1.0,,,,,,,,,,,
1989,3.0,94,8.0,1.0,2.0,,,1.0,22,1.0,,1.0,5.0,1.0,,,,,,,,,,,,
1990,8.0,56,3.0,1.0,3.0,,,,6,,3.0,1.0,7.0,,,,,,,2.0,,,1.0,,,
1991,2.0,94,2.0,1.0,3.0,,,2.0,5,,1.0,2.0,9.0,,,1.0,,,,,,1.0,,,,
1992,1.0,86,4.0,3.0,2.0,,2.0,,1,1.0,,1.0,10.0,,,1.0,,3.0,,,,,,,,1.0
1993,6.0,85,5.0,1.0,6.0,,1.0,,4,1.0,,1.0,2.0,,1.0,,,1.0,,,,,,,,
1994,6.0,103,2.0,2.0,3.0,,,,3,,,5.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,,
1995,5.0,86,,,6.0,1.0,1.0,,3,1.0,,,3.0,,,1.0,,1.0,,,,,,,,
1996,6.0,84,3.0,,1.0,1.0,2.0,,8,1.0,,,,,1.0,,1.0,,2.0,,,,,,,
1997,7.0,81,4.0,1.0,7.0,1.0,,,10,,,4.0,2.0,,2.0,,,1.0,,2.0,1.0,,,,,
1998,3.0,96,3.0,2.0,1.0,3.0,1.0,2.0,4,3.0,,,4.0,,1.0,1.0,,1.0,,,,,,,,
1999,3.0,103,4.0,1.0,3.0,,2.0,4.0,3,4.0,,1.0,2.0,,,,,1.0,,,,,,,,
2000,11.0,105,2.0,1.0,2.0,3.0,,1.0,9,1.0,,5.0,7.0,,,,,1.0,1.0,1.0,1.0,,,,,
2001,10.0,109,7.0,2.0,5.0,3.0,1.0,6.0,6,4.0,2.0,4.0,9.0,,3.0,,,,1.0,2.0,,1.0,,,,
2002,15.0,129,8.0,1.0,4.0,2.0,2.0,7.0,7,4.0,1.0,4.0,6.0,1.0,3.0,,,,,1.0,,,,,,
2003,16.0,121,7.0,1.0,3.0,6.0,1.0,6.0,17,5.0,1.0,4.0,5.0,,1.0,,,,1.0,,,1.0,2.0,,,
2004,19.0,126,3.0,1.0,9.0,6.0,,7.0,15,2.0,,2.0,11.0,,2.0,2.0,,,,1.0,,,,,,
2005,26.0,113,11.0,3.0,7.0,5.0,2.0,4.0,9,4.0,,3.0,7.0,,1.0,,1.0,,,1.0,,,1.0,,,1.0
2006,25.0,89,10.0,7.0,7.0,3.0,6.0,3.0,11,7.0,,1.0,5.0,,1.0,,2.0,1.0,,1.0,2.0,2.0,,,,
