,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,2.0,,
1981,1.0,1.0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
1982,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
1983,,,3.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
1984,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
1985,1.0,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0
1986,2.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
1987,5.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
1988,2.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
1989,5.0,1.0,2.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
1990,3.0,3.0,2.0,,1.0,,2.0,1.0,1.0,,,,,,1.0,,,2.0,,,1.0,,,,,
1991,9.0,,4.0,,,,2.0,1.0,,,2.0,,,,1.0,,,1.0,,,2.0,,,,,
1992,7.0,,1.0,2.0,,,,,1.0,3.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0
1993,5.0,,7.0,,,,2.0,,,1.0,,,1.0,,1.0,,,3.0,,,,,,,,
1994,17.0,4.0,5.0,,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,
1995,22.0,3.0,4.0,,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,
1996,15.0,2.0,6.0,2.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
1997,9.0,2.0,3.0,1.0,,,3.0,1.0,,,,,,,2.0,,,1.0,,,,,,,,
1998,22.0,,9.0,,1.0,,2.0,,,1.0,,,,2.0,1.0,,,1.0,,,3.0,,,,,
1999,18.0,3.0,4.0,1.0,,,1.0,1.0,1.0,,,2.0,2.0,,1.0,,,1.0,,,3.0,,,,1.0,
2000,23.0,6.0,9.0,2.0,,4.0,3.0,,,1.0,,1.0,1.0,,2.0,,,3.0,,,,2.0,,,,
2001,21.0,10.0,5.0,4.0,1.0,2.0,2.0,1.0,,5.0,2.0,,,,1.0,,,3.0,,,,,,,,2.0
2002,16.0,11.0,12.0,3.0,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,,1.0,,,,
2003,23.0,8.0,13.0,4.0,4.0,4.0,2.0,,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,,1.0,,2.0,1.0,,1.0,1.0,,
2004,22.0,12.0,12.0,5.0,3.0,2.0,7.0,,2.0,4.0,5.0,3.0,3.0,,2.0,2.0,,1.0,,1.0,,,1.0,,,
2005,23.0,5.0,14.0,13.0,2.0,,5.0,3.0,3.0,3.0,1.0,,,2.0,,1.0,,4.0,,,1.0,,,,,
2006,17.0,9.0,16.0,3.0,4.0,,2.0,,3.0,9.0,2.0,1.0,,3.0,2.0,2.0,1.0,3.0,,,2.0,,,1.0,,1.0
2007,39.0,13.0,16.0,7.0,5.0,1.0,2.0,1.0,,4.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,,1.0,2.0,,2.0,,,
2008,35.0,7.0,19.0,8.0,3.0,,5.0,2.0,2.0,1.0,2.0,,,,2.0,,,2.0,,4.0,1.0,,,,,
2009,31.0,15.0,15.0,6.0,5.0,1.0,4.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,2.0
